#
# column 1: log10(energy) [log10(GeV)]
# column 2: E^2 * best fit flux [GeV cm^-2 s^-1 sr^-1]
# column 3: E^2 * max flux      [GeV cm^-2 s^-1 sr^-1]
# column 4: E^2 * min flux      [GeV cm^-2 s^-1 sr^-1]
# All fluxes single flavor!
#
1.122018454301962947e+03 8.412629999999999465e-11 1.379829999999999980e-10 1.679000000000000096e-11
1.412537544622754012e+03 1.018239999999999991e-10 1.671760000000000026e-10 2.035330000000000133e-11
1.778279410038922833e+03 1.247899999999999899e-10 2.051100000000000031e-10 2.496890000000000037e-11
2.238721138568339939e+03 1.512450000000000035e-10 2.488610000000000157e-10 3.027949999999999997e-11
2.818382931264454783e+03 1.862279999999999953e-10 3.067620000000000001e-10 3.729369999999999810e-11
3.548133892335752989e+03 2.271209999999999956e-10 3.745039999999999818e-10 4.548590000000000109e-11
4.466835921509630680e+03 2.767990000000000075e-10 4.568550000000000214e-10 5.543099999999999837e-11
5.623413251903491073e+03 3.452519999999999882e-10 5.703109999999999758e-10 6.912759999999999556e-11
7.079457843841380964e+03 4.172569999999999892e-10 6.897650000000000474e-10 8.352619999999999845e-11
8.912509381337458763e+03 5.094720000000000166e-10 8.427319999999999598e-10 1.019609999999999982e-10
1.122018454301962993e+04 6.218330000000000384e-10 1.029159999999999991e-09 1.244169999999999954e-10
1.412537544622755377e+04 7.540200000000000494e-10 1.248510000000000065e-09 1.508309999999999933e-10
1.778279410038922651e+04 9.169809999999999791e-10 1.518919999999999962e-09 1.833899999999999995e-10
2.238721138568337847e+04 1.090850000000000012e-09 1.807469999999999963e-09 2.181220000000000094e-10
2.818382931264454965e+04 1.314510000000000044e-09 2.178610000000000193e-09 2.628029999999999868e-10
3.548133892335752898e+04 1.567969999999999911e-09 2.599220000000000047e-09 3.134360000000000227e-10
4.466835921509634500e+04 1.824230000000000017e-09 3.024539999999999980e-09 3.646209999999999861e-10
5.623413251903490891e+04 2.075959999999999933e-09 3.442439999999999954e-09 4.148929999999999754e-10
7.079457843841373688e+04 2.421239999999999799e-09 4.015619999999999829e-09 4.838439999999999889e-10
8.912509381337459490e+04 2.713570000000000174e-09 4.501229999999999768e-09 5.421769999999999569e-10
1.122018454301962920e+05 3.096119999999999851e-09 5.136879999999999739e-09 6.184729999999999590e-10
1.412537544622755377e+05 3.474290000000000004e-09 5.766029999999999785e-09 6.937630000000000164e-10
1.778279410038922797e+05 3.815479999999999732e-09 6.334850000000000308e-09 7.614599999999999740e-10
2.238721138568337774e+05 4.245629999999999948e-09 7.052860000000000396e-09 8.465500000000000390e-10
2.818382931264454965e+05 4.607220000000000144e-09 7.658530000000000022e-09 9.174930000000000286e-10
3.548133892335753189e+05 5.079280000000000269e-09 8.449800000000000331e-09 1.009599999999999905e-09
4.466835921509634936e+05 5.399000000000000071e-09 8.987799999999999920e-09 1.070499999999999974e-09
5.623413251903491328e+05 5.817779999999999735e-09 9.687789999999999692e-09 1.150040000000000094e-09
7.079457843841373688e+05 6.120459999999999770e-09 1.018520000000000077e-08 1.205500000000000025e-09
8.912509381337459199e+05 6.548330000000000278e-09 1.087159999999999956e-08 1.285179999999999898e-09
