# 
# column 1: log10(energy) [log10(GeV)]
# column 2: E^2 * best fit flux [GeV cm^-2 s^-1 sr^-1]
# column 3: E^2 * max flux      [GeV cm^-2 s^-1 sr^-1]
# column 4: E^2 * min flux      [GeV cm^-2 s^-1 sr^-1]
# All fluxes single flavor!
# 
1.122018454301962947e+03 8.864789999999999833e-12 1.976869999999999916e-11 1.476719999999999904e-14
1.412537544622754012e+03 1.034850000000000018e-11 2.303150000000000016e-11 1.720139999999999903e-14
1.778279410038922833e+03 1.192059999999999992e-11 2.654510000000000005e-11 1.954670000000000028e-14
2.238721138568339939e+03 1.366519999999999957e-11 3.051270000000000104e-11 2.199169999999999958e-14
2.818382931264454783e+03 1.536030000000000110e-11 3.445750000000000095e-11 2.418669999999999995e-14
3.548133892335752989e+03 1.755050000000000120e-11 3.962069999999999818e-11 2.695619999999999890e-14
4.466835921509630680e+03 2.014670000000000098e-11 4.582389999999999905e-11 3.009130000000000048e-14
5.623413251903491073e+03 2.387010000000000024e-11 5.473939999999999918e-11 3.457500000000000035e-14
7.079457843841380964e+03 2.794439999999999955e-11 6.459700000000000192e-11 3.924360000000000052e-14
8.912509381337458763e+03 3.373989999999999844e-11 7.858719999999999617e-11 4.595590000000000035e-14
1.122018454301962993e+04 4.059220000000000227e-11 9.520289999999999857e-11 5.371199999999999873e-14
1.412537544622755377e+04 4.935529999999999913e-11 1.164619999999999955e-10 6.362300000000000062e-14
1.778279410038922651e+04 6.083039999999999655e-11 1.443079999999999994e-10 7.662870000000000447e-14
2.238721138568337847e+04 7.462429999999999738e-11 1.778620000000000109e-10 9.214880000000000515e-14
2.818382931264454965e+04 9.224830000000000548e-11 2.207650000000000126e-10 1.119979999999999964e-13
3.548133892335752898e+04 1.133500000000000015e-10 2.721919999999999840e-10 1.357270000000000032e-13
4.466835921509634500e+04 1.402729999999999973e-10 3.378329999999999851e-10 1.660329999999999904e-13
5.623413251903490891e+04 1.747809999999999985e-10 4.219519999999999921e-10 2.049470000000000101e-13
7.079457843841373688e+04 2.178090000000000127e-10 5.268459999999999610e-10 2.534480000000000021e-13
8.912509381337459490e+04 2.701239999999999763e-10 6.543429999999999602e-10 3.123849999999999861e-13
1.122018454301962920e+05 3.327330000000000234e-10 8.068389999999999680e-10 3.829040000000000010e-13
1.412537544622755377e+05 4.104380000000000151e-10 9.959480000000000436e-10 4.704999999999999642e-13
1.778279410038922797e+05 5.002969999999999940e-10 1.214470000000000046e-09 5.718080000000000208e-13
2.238721138568337774e+05 6.143010000000000483e-10 1.491420000000000005e-09 7.004990000000000225e-13
2.818382931264454965e+05 7.534449999999999764e-10 1.829039999999999921e-09 8.576480000000000428e-13
3.548133892335753189e+05 8.973010000000000016e-10 2.177530000000000027e-09 1.020010000000000013e-12
4.466835921509634936e+05 1.076999999999999900e-09 2.612300000000000171e-09 1.222960000000000072e-12
5.623413251903491328e+05 1.271689999999999979e-09 3.082600000000000088e-09 1.442760000000000004e-12
7.079457843841373688e+05 1.488720000000000004e-09 3.606000000000000162e-09 1.687670000000000017e-12
8.912509381337459199e+05 1.721259999999999906e-09 4.165879999999999680e-09 1.949910000000000120e-12
1.122018454301962862e+06 1.957369999999999828e-09 4.732910000000000358e-09 2.215780000000000076e-12
1.412537544622755377e+06 2.213979999999999834e-09 5.347749999999999860e-09 2.504379999999999877e-12
1.778279410038922913e+06 2.435749999999999990e-09 5.876029999999999612e-09 2.752960000000000015e-12
2.238721138568338007e+06 2.675549999999999927e-09 6.444370000000000153e-09 3.021300000000000061e-12
2.818382931264454965e+06 2.877980000000000023e-09 6.916570000000000239e-09 3.246939999999999895e-12
3.548133892335752957e+06 3.067479999999999834e-09 7.347399999999999671e-09 3.458520000000000090e-12
4.466835921509634703e+06 3.258869999999999935e-09 7.763989999999999366e-09 3.674920000000000259e-12
5.623413251903491095e+06 3.380239999999999899e-09 7.982159999999999658e-09 3.819879999999999673e-12
7.079457843841372989e+06 3.468540000000000101e-09 8.074019999999999794e-09 3.943369999999999988e-12
8.912509381337458268e+06 3.517210000000000100e-09 8.008249999999999927e-09 4.051310000000000031e-12
1.122018454301963001e+07 3.461959999999999903e-09 7.630630000000000149e-09 4.089780000000000371e-12
1.412537544622755423e+07 3.272309999999999839e-09 6.917359999999999778e-09 4.034379999999999618e-12
1.778279410038922727e+07 3.013439999999999884e-09 6.066719999999999912e-09 3.973060000000000036e-12
