# 
# by column: 
# energy [GeV], 
# 3 sigma lower/upper limit for cutoff at z=1
# 3 sigma lower/upper limit for flat evo above z=1
# 3 sigma lower/upper limit for citoff at z=3
# all fluxes in [GeV^-1 cm^-1 s^-1 sr^-1]
# 
1.037393e+03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.114977e+03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.198362e+03 2.127381e-27 1.055485e-21 5.159375e-24 1.608639e-21 9.468964e-24 1.170266e-21
1.287984e+03 2.518046e-27 1.046919e-21 4.630819e-24 1.581709e-21 8.859337e-24 1.158756e-21
1.384308e+03 2.980452e-27 1.038422e-21 4.147349e-24 1.560626e-21 8.135995e-24 1.147360e-21
1.487836e+03 3.527773e-27 1.029995e-21 3.704238e-24 1.540176e-21 7.272824e-24 1.136077e-21
1.599107e+03 4.195402e-26 1.020363e-21 3.588258e-24 1.513609e-21 7.008871e-24 1.123081e-21
1.718699e+03 5.661100e-26 1.008763e-21 3.974842e-24 1.477310e-21 7.638180e-24 1.107295e-21
1.847235e+03 7.642633e-26 9.972959e-22 4.405984e-24 1.441883e-21 8.327293e-24 1.091732e-21
1.985384e+03 1.032305e-25 9.859593e-22 4.886915e-24 1.407307e-21 9.082001e-24 1.076388e-21
2.133864e+03 1.366495e-25 9.706008e-22 5.138406e-24 1.369828e-21 2.658478e-25 1.056998e-21
2.293449e+03 1.751994e-25 9.490986e-22 4.854815e-24 1.327957e-21 2.691094e-25 1.031420e-21
2.464969e+03 2.247818e-25 9.280731e-22 4.525488e-24 1.288738e-21 2.724113e-25 1.006461e-21
2.649316e+03 2.885812e-25 9.075138e-22 3.955646e-24 1.250678e-21 2.757540e-25 9.821067e-22
2.847450e+03 3.409311e-25 8.839228e-22 0.000000e+00 1.209948e-21 0.000000e+00 9.546893e-22
3.060402e+03 3.550284e-25 8.558384e-22 0.000000e+00 1.165019e-21 0.000000e+00 9.226986e-22
3.289279e+03 3.647607e-25 8.286467e-22 0.000000e+00 1.121760e-21 0.000000e+00 1.010719e-21
3.535274e+03 3.690900e-25 8.023195e-22 0.000000e+00 1.080108e-21 0.000000e+00 1.117098e-21
3.799666e+03 2.151763e-26 7.736615e-22 2.884041e-25 1.036726e-21 7.923392e-25 1.275495e-21
4.083831e+03 2.241298e-26 7.416090e-22 5.657349e-25 9.905300e-22 1.358073e-24 1.526929e-21
4.389247e+03 2.334925e-26 7.108852e-22 1.109748e-24 9.463938e-22 2.266946e-24 1.828194e-21
4.717505e+03 2.432799e-26 6.814352e-22 2.176887e-24 9.042257e-22 3.784071e-24 2.397201e-21
5.070313e+03 2.876438e-26 6.504144e-22 2.082558e-23 8.611309e-22 2.088683e-23 3.233920e-21
5.449505e+03 4.058987e-26 6.170966e-22 2.609954e-23 8.163644e-22 2.090237e-23 3.990510e-21
5.857056e+03 5.727896e-26 5.854872e-22 2.789455e-23 7.739269e-22 2.091797e-23 4.925376e-21
6.295087e+03 8.083257e-26 5.554985e-22 2.805849e-23 7.336973e-22 2.093365e-23 6.286885e-21
6.765876e+03 7.165018e-25 5.247168e-22 2.819179e-23 6.933133e-22 2.089584e-23 7.863590e-21
7.271874e+03 1.179192e-24 4.926915e-22 2.828294e-23 6.523032e-22 2.078634e-23 9.126145e-21
7.815715e+03 1.839955e-24 4.626230e-22 2.837465e-23 6.137208e-22 2.065787e-23 1.059365e-20
8.400227e+03 2.792513e-24 4.343917e-22 2.846696e-23 6.280531e-22 2.048628e-23 1.229984e-20
9.028453e+03 3.425799e-24 4.060876e-22 2.840123e-23 7.051011e-22 2.027989e-23 1.388000e-20
