Ice Data taken from: https://doi.org/10.15784/601057 ,,,,,,,,
Nominal,Depth,Top,Depth,Bottom,Depth,,Eigen,Values
,meters,meters,S1,S2,S3,,,
140,140.37,140.47,0.4652,0.2897,0.2451,,,
160,160.9,161,0.4416,0.3237,0.2347,,,
180,180.52,180.62,0.4316,0.3037,0.2646,,,
200,200.3,200.4,0.4306,0.3241,0.2453,,,
220,220.3,220.4,0.448,0.3223,0.2297,,,
240,240.54,240.64,0.4579,0.3194,0.2227,,,
260,260.305,260.405,0.4578,0.3124,0.2298,,,
280,280.3,280.4,0.4659,0.2989,0.2352,,,
300,300.52,300.62,0.4754,0.3013,0.2233,,,
320,320.52,320.62,0.4468,0.3144,0.2388,,,
340,340.38,340.48,0.4515,0.3252,0.2233,,,
360,360.9,361,0.4278,0.3651,0.2071,,,
380,380.6,380.7,0.4248,0.3708,0.2044,,,
400,400.33,400.43,0.4618,0.3335,0.2048,,,
420,420.52,420.62,0.4602,0.3461,0.1936,,,
440,440.31,440.41,0.4543,0.3607,0.185,,,
460,460.36,460.46,0.4309,0.3876,0.1815,,,
480,480.035,480.135,0.441,0.3667,0.1923,,,
500,500.6,500.7,0.4307,0.4038,0.1656,,,
520,520.52,520.62,0.4363,0.361,0.2027,,,
540,540.225,540.325,0.4326,0.4132,0.1543,,,
557,557.705,557.805,0.4455,0.381,0.1735,,,
578,578.06,578.16,0.4367,0.4043,0.1591,,,
597,597.24,597.34,0.433,0.4157,0.1513,,,
617,617.3,617.4,0.4325,0.3797,0.1878,,,
636,636.04,636.14,0.452,0.4061,0.1419,,,
657,657.305,657.405,0.4499,0.4136,0.1366,,,
677,677.22,677.32,0.4556,0.422,0.1225,,,
696,696.22,696.32,0.4374,0.4278,0.1348,,,
717,717.3,717.4,0.4497,0.4168,0.1335,,,
737,737.015,737.115,0.4573,0.3954,0.1473,,,
758,758.05,758.15,0.4542,0.4033,0.1425,,,
778,777.84,777.99,0.4598,0.4244,0.1158,,,
797,797,797.1,0.4527,0.4086,0.1387,,,
818,818.99,819.09,0.4634,0.3793,0.1573,,,
837,837.08,837.18,0.4501,0.4208,0.1291,,,
857,857.075,857.175,0.4627,0.4309,0.1064,,,
878,878.1,878.2,0.482,0.412,0.106,,,
897,897.18,897.28,0.4731,0.4192,0.1078,,,
917,917.135,917.235,0.4598,0.4406,0.0996,,,
937,937.16,937.26,0.4769,0.4309,0.0922,,,
957,957.135,957.235,0.5024,0.4088,0.0889,,,
977,977.145,977.245,0.5071,0.4274,0.0654,,,
997,997.155,997.255,0.5061,0.4234,0.0705,,,
1017,1017.91,1018.01,0.4876,0.4531,0.0593,,,
1037,1037.115,1037.215,0.4964,0.4482,0.0555,,,
1057,1057.17,1057.27,0.5192,0.4268,0.054,,,
1077,1077.135,1077.235,0.5028,0.4461,0.0511,,,
1078,1078.21,1078.31,0.4904,0.4581,0.0515,,,
1098,1098.22,1098.32,0.5154,0.4387,0.046,,,
1119,1119.22,1119.32,0.4929,0.46,0.0472,,,
1138,1138.22,1138.32,0.4909,0.4721,0.037,,,
1159,1159.085,1159.185,0.4925,0.4603,0.0472,,,
1179,1179.09,1179.19,0.491,0.4692,0.0399,,,
1199,1199.081,1199.181,0.4943,0.473,0.0327,,,
1219,1219.13,1219.23,0.5185,0.4504,0.0311,,,
1238,1238.005,1238.105,0.5023,0.4637,0.0341,,,
1259,1259.095,1259.195,0.5271,0.4431,0.0298,,,
1279,1279.18,1279.28,0.5214,0.4493,0.0293,,,
1298,1298.035,1298.135,0.5165,0.4562,0.0273,,,
1319,1319.2,1319.3,0.5171,0.4543,0.0286,,,
1339,1339.215,1339.315,0.5239,0.4486,0.0275,,,
1358,1358.145,1358.245,0.5007,0.4703,0.029,,,
1379,1379.1,1379.2,0.5257,0.4437,0.0306,,,
1399,1399.07,1399.17,0.5028,0.4734,0.0237,,,
1418,1418.07,1418.17,0.4997,0.4743,0.026,,,
1441,1441.08,1441.18,0.5101,0.4571,0.0327,,,
1459,1459.21,1459.31,0.5151,0.4561,0.0289,,,
1480,1480.01,1480.11,0.5331,0.4429,0.024,,,
1499,1498.99,1499.09,0.5198,0.4598,0.0203,,,
1519,1519.11,1519.21,0.4958,0.4839,0.0203,,,
1540,1540.065,1540.165,0.5139,0.4661,0.02,,,
1559,1558.99,1559.09,0.5215,0.4604,0.0181,,,
1579,1579,1579.1,0.5376,0.4451,0.0173,,,
1600,1600.075,1600.175,0.5088,0.4712,0.02,,,
1619,1619.03,1619.13,0.5357,0.4452,0.0191,,,
1639,1639.04,1639.14,0.5327,0.4529,0.0144,,,
1660,1660.145,1660.245,0.5047,0.4817,0.0135,,,
1679,1679.04,1679.14,0.5083,0.4804,0.0113,,,
1699,1698.9,1699,0.5265,0.4591,0.0144,,,
1720,1719.56,1719.66,0.5017,0.4847,0.0136,,,
1739,1738.86,1738.96,0.5,0.4882,0.0118,,,
