GRIP Temperature Profile

REFERENCES:

Johnsen, S.J., D. Dahl-Jensen, W. Dansgaard, and N.S. Gundestrup. 1995.
Greenland palaeotemperatures derived from GRIP bore hole temperaure and ice
core isotope profiles. Tellus 47B:624-629.

Gundestrup, N.S., H.B. Clausen, and B.L. Hansen. 1994. The UCPH borehole
logger. Mem. National Institute Polar Research, Special Issue 49:224-233.

Dahl-Jensen, D. 1993. Reconstruction of palaeo climate from temperature
measurements in bore holes on the Greenland ice sheet. In Mosegaard, K.,
ed. Proceedings of the Interdisciplinary Inversion Workshop 2, Copenhagen.
Copenhagen: University of Copenhagen, 11-14.

Gundestrup, N.S., D. Dahl-Jensen, S.J. Johnsen, and A. Rossi. 1993.
Borehole survey at dome GRIP 1991. Cold Regions Science and Technology
21:399-402.

DATA DESCRIPTION:

The profile below shows the temperature of the GRIP borehole as measured
in 1994. The first column is the vertical depths relative to the 1990
surface. This depths deviates from the logging depths used for most other
ice core measurements. The deviation goes from 0 to a maximum of 1.4
meters at the bottom.

The resolution of the original measured data is 0.01K and the absolute
accuracy 0.03K. The temperature in this profile is sligthly smoothed. This
process has removed distubances caused by circulations in the bore hole
liquid below 1500 meters. Non-smoothed, the circulation cells create
disturbances of the order of 0.1K over lengths of typically 20 meters.

DATA:

Depth (m)	Temperature (C)
Midpoint

1.1	-31.7
11.1	-31.704
21.1	-31.708
31.1	-31.714
41.1	-31.719
51.1	-31.725
61.1	-31.731
71.1	-31.734
81.1	-31.74
91.1	-31.745
101.1	-31.748
111.1	-31.755
121.1	-31.766
131.1	-31.768
141.1	-31.769
151.1	-31.766
161.1	-31.76
171.1	-31.751
181.1	-31.739
191.1	-31.727
201.1	-31.711
211.1	-31.693
221.1	-31.673
231.1	-31.662
241.1	-31.637
251.1	-31.619
261.1	-31.6
271.1	-31.581
281.1	-31.567
291.1	-31.55
301.1	-31.529
311.1	-31.512
321.1	-31.498
331.1	-31.483
341.1	-31.469
351.1	-31.455
361.1	-31.442
371.1	-31.431
381.1	-31.417
391.1	-31.406
401.1	-31.395
411.1	-31.385
421.1	-31.375
431.1	-31.367
441.1	-31.359
451.1	-31.355
461.1	-31.345
471.1	-31.337
481.1	-31.335
491.1	-31.329
501.1	-31.324
511.1	-31.317
521.1	-31.317
531.1	-31.316
541.1	-31.313
551.1	-31.31
561.1	-31.31
571.1	-31.31
581.1	-31.309
591.1	-31.313
601.1	-31.314
611.1	-31.317
621.1	-31.317
631.1	-31.318
641.1	-31.326
651.1	-31.329
661.1	-31.336
671.1	-31.339
681.1	-31.345
691.1	-31.352
701.1	-31.356
711.1	-31.366
721.1	-31.372
731.1	-31.382
741.1	-31.387
751.1	-31.398
761.1	-31.405
771.1	-31.414
781.1	-31.429
791.1	-31.435
801.1	-31.448
811.1	-31.461
821.1	-31.471
831.1	-31.482
841.1	-31.498
851.1	-31.511
861.1	-31.524
871.1	-31.539
881.1	-31.552
891.1	-31.565
901.1	-31.584
911.1	-31.598
921.1	-31.614
931.1	-31.631
941.1	-31.647
951.1	-31.662
961.1	-31.681
971.1	-31.702
981.1	-31.717
991.1	-31.737
1001.1	-31.753
1011.1	-31.773
1021.1	-31.79
1031.1	-31.808
1041.1	-31.829
1051.1	-31.847
1061.1	-31.864
1071.1	-31.883
1081.1	-31.902
1091.1	-31.922
1101.1	-31.939
1111.1	-31.958
1121.1	-31.976
1131.1	-31.994
1141.1	-32.012
1151.1	-32.029
1161.1	-32.048
1171.1	-32.064
1181.1	-32.083
1191.1	-32.1
1201.1	-32.115
1211.1	-32.133
1221.1	-32.147
1231.1	-32.163
1241.1	-32.179
1251.1	-32.193
1261.1	-32.207
1271.1	-32.222
1281.1	-32.234
1291.1	-32.247
1301.1	-32.258
1311.1	-32.271
1321.1	-32.283
1331.1	-32.291
1341.1	-32.301
1351.1	-32.31
1361.1	-32.319
1371.1	-32.325
1381.1	-32.33
1391.1	-32.337
1401.1	-32.34
1411.1	-32.347
1421.1	-32.35
1431.1	-32.35
1441.1	-32.35
1451.1	-32.35
1461.1	-32.347
1471.1	-32.342
1481.1	-32.34
1491.1	-32.332
1501.1	-32.327
1511.1	-32.32
1521.1	-32.31
1531.1	-32.298
1541.1	-32.286
1551.1	-32.277
1561.1	-32.263
1571.1	-32.246
1581.1	-32.23
1591.1	-32.211
1601.1	-32.19
1611.1	-32.171
1621.1	-32.146
1631.1	-32.122
1641.1	-32.096
1651.1	-32.067
1661.1	-32.037
1671.1	-32.006
1681.1	-31.975
1691.1	-31.939
1701.1	-31.905
1711.1	-31.865
1721.1	-31.824
1731.1	-31.782
1741.1	-31.737
1751.1	-31.694
1761.1	-31.643
1771.1	-31.59
1781.1	-31.538
1791.1	-31.48
1801.1	-31.425
1811.1	-31.363
1821.1	-31.304
1831.1	-31.246
1841.1	-31.177
1851.1	-31.11
1861.1	-31.04
1871.1	-30.968
1881.1	-30.895
1891.1	-30.817
1901.1	-30.736
1911.1	-30.656
1921.1	-30.57
1931.1	-30.486
1941.1	-30.395
1951.1	-30.303
1961.1	-30.209
1971.1	-30.111
1981.1	-30.013
1991.1	-29.916
2001.1	-29.812
2011.1	-29.706
2021.1	-29.608
2031.1	-29.472
2041.1	-29.371
2051.1	-29.259
2061.1	-29.137
2071.1	-29.016
2081.1	-28.891
2091.1	-28.771
2101.1	-28.64
2111.1	-28.516
2121.1	-28.389
2131.1	-28.237
2141.1	-28.104
2151.1	-27.967
2161.1	-27.827
2171.1	-27.684
2181.1	-27.563
2191.1	-27.384
2201.1	-27.216
2211.1	-27.079
2221.1	-26.923
2231.1	-26.767
2241.1	-26.611
2251.1	-26.413
