Electronics gain (Filter, Preamp, FOAM) and phase
Total Bin : 257
Freq(MHz)    	    Gain(unitless)    	    Phase(rad)
0.000, 3.296, 0.000
3.906, 3.142, 0.000
7.812, 2.995, 0.000
11.719, 2.855, 0.000
15.625, 2.721, 0.000
19.531, 2.594, 0.000
23.437, 2.472, 0.000
27.344, 2.357, 0.000
31.250, 2.246, 0.000
35.156, 2.141, 0.000
39.062, 2.041, 0.000
42.969, 1.945, 0.000
46.875, 1.854, 0.000
50.781, 1.768, 0.000
54.687, 1.685, 0.000
58.594, 1.606, 0.000
62.500, 1.531, 0.000
66.406, 1.459, 0.000
70.312, 1.391, 0.000
74.219, 1.326, 0.000
78.125, 1.264, 0.000
82.031, 1.205, 0.000
85.937, 1.148, 0.000
89.844, 1.094, 0.000
93.750, 1.043, 0.000
97.656, 0.994, 0.000
101.560, 0.957, 0.804
105.470, 0.935, 2.280
109.370, 0.913, 2.179
113.280, 0.892, 1.990
117.190, 0.919, 1.768
121.090, 1.350, 1.546
125.000, 1.982, 1.846
128.910, 2.909, 0.032
132.810, 4.271, 2.193
136.720, 12.508, 1.956
140.620, 40.705, -0.700
144.530, 132.465, -2.649
148.440, 431.023, 2.483
152.340, 827.752, 1.658
156.250, 1118.279, 1.021
160.160, 1510.950, 0.495
164.060, 2041.268, 0.038
167.970, 2647.890, -0.374
171.870, 3164.463, -0.747
175.780, 3782.248, -1.088
179.690, 4520.641, -1.400
183.590, 5339.493, -1.685
187.500, 5325.373, -1.947
191.410, 5310.678, -2.188
195.310, 5296.634, -2.411
199.220, 5282.019, -2.617
203.120, 5355.500, -2.809
207.030, 5452.554, -2.990
210.940, 5551.368, 3.124
214.840, 5651.321, 2.963
218.750, 5696.394, 2.811
222.660, 5691.805, 2.665
226.560, 5687.220, 2.526
230.470, 5682.638, 2.391
234.370, 5674.139, 2.262
238.280, 5653.274, 2.137
242.190, 5633.133, 2.015
246.090, 5612.418, 1.897
250.000, 5591.779, 1.782
253.910, 5581.488, 1.669
257.810, 5571.216, 1.560
261.720, 5560.963, 1.452
265.620, 5550.729, 1.346
269.530, 5557.763, 1.242
273.440, 5571.216, 1.140
277.340, 5584.059, 1.039
281.250, 5597.576, 0.940
285.160, 5608.542, 0.842
289.060, 5618.236, 0.746
292.970, 5627.947, 0.651
296.870, 5637.026, 0.557
300.780, 5645.469, 0.464
304.690, 5647.419, 0.372
308.590, 5650.020, 0.281
312.500, 5652.623, 0.191
316.410, 5655.226, 0.102
320.310, 5627.947, 0.014
324.220, 5598.220, -0.074
328.120, 5568.651, -0.160
332.030, 5539.238, -0.245
335.940, 5516.327, -0.330
339.840, 5496.674, -0.414
343.750, 5476.461, -0.497
347.660, 5456.950, -0.580
351.560, 5440.014, -0.662
355.470, 5428.127, -0.743
359.370, 5415.643, -0.823
363.280, 5403.809, -0.903
367.190, 5390.139, -0.983
371.090, 5368.463, -1.061
375.000, 5346.259, -1.140
378.910, 5324.760, -1.218
382.810, 5303.346, -1.295
386.720, 5313.736, -1.372
390.620, 5330.280, -1.449
394.530, 5346.259, -1.526
398.440, 5362.286, -1.603
402.340, 5355.500, -1.679
406.250, 5333.349, -1.757
410.160, 5311.290, -1.835
414.060, 5289.322, -1.914
417.970, 5248.075, -1.996
421.870, 5168.327, -2.079
425.780, 5089.206, -2.168
429.690, 5011.872, -2.263
433.590, 4531.584, -2.370
437.500, 1197.567, -2.499
441.410, 316.446, -2.679
445.310, 83.628, -3.018
449.220, 22.100, 2.531
453.120, 48.173, -0.366
457.030, 179.453, -1.874
460.940, 668.575, -2.207
464.840, 2490.577, -2.386
468.750, 4673.045, -2.514
472.660, 4802.308, -2.619
476.560, 4934.578, -2.711
480.470, 5070.491, -2.795
484.370, 5174.877, -2.874
488.280, 5183.224, -2.950
492.190, 5190.988, -3.023
496.090, 5198.763, -3.095
500.000, 5206.549, 3.118
503.910, 5205.351, 3.048
507.810, 5204.752, 2.980
511.720, 5203.553, 2.912
515.620, 5202.355, 2.844
519.530, 5196.967, 2.776
523.440, 5189.195, 2.709
527.340, 5181.434, 2.642
531.250, 5173.685, 2.574
535.160, 5161.786, 2.507
539.060, 5144.581, 2.439
542.970, 5127.433, 2.371
546.870, 5110.342, 2.303
550.780, 5088.034, 2.235
554.690, 5045.451, 2.166
558.590, 5003.801, 2.097
562.500, 4961.923, 2.027
566.410, 4920.395, 1.956
570.310, 4904.559, 1.885
574.220, 4891.026, 1.814
578.120, 4876.969, 1.742
582.030, 4863.512, 1.669
585.940, 4840.052, 1.595
589.840, 4812.270, 1.521
593.750, 4784.648, 1.445
597.660, 4757.185, 1.369
601.560, 4738.599, 1.292
605.470, 4733.692, 1.215
609.370, 4728.245, 1.136
613.280, 4723.349, 1.056
617.190, 4717.371, 0.976
621.090, 4704.896, 0.894
625.000, 4692.454, 0.812
628.910, 4680.045, 0.728
632.810, 4667.668, 0.643
636.720, 4673.045, 0.558
640.620, 4681.661, 0.471
644.530, 4689.753, 0.384
648.440, 4698.400, 0.295
652.340, 4682.740, 0.205
656.250, 4651.575, 0.115
660.160, 4620.617, 0.023
664.060, 4589.866, -0.070
667.970, 4564.046, -0.164
671.870, 4548.833, -0.259
675.780, 4533.671, -0.355
679.690, 4518.559, -0.452
683.590, 4504.017, -0.550
687.500, 4500.388, -0.650
691.410, 4496.763, -0.751
695.310, 4493.141, -0.852
699.220, 4489.521, -0.956
703.120, 4478.164, -1.060
707.030, 4465.293, -1.166
710.940, 4452.460, -1.274
714.840, 4439.663, -1.383
718.750, 4415.704, -1.494
722.660, 4381.774, -1.607
726.560, 4348.105, -1.721
730.470, 4314.694, -1.838
734.370, 4292.892, -1.958
738.280, 4304.275, -2.080
742.190, 4315.191, -2.205
746.090, 4326.134, -2.333
750.000, 4337.106, -2.465
753.910, 4286.966, -2.601
757.810, 4237.405, -2.740
761.720, 4188.418, -2.884
765.620, 4139.520, -3.033
769.530, 4089.781, 3.097
773.440, 4039.708, 2.937
777.340, 3989.790, 2.771
781.250, 3940.942, 2.598
785.160, 3897.176, 2.417
789.060, 3859.224, 2.228
792.970, 3821.202, 2.028
796.870, 3783.990, 1.817
800.780, 3741.106, 1.592
804.690, 3675.361, 1.351
808.590, 3610.771, 1.090
812.500, 3547.317, 0.806
816.410, 3485.379, 0.494
820.310, 3382.984, 0.155
824.220, 3280.953, -0.210
828.120, 3181.632, -0.591
832.030, 3085.674, -0.975
835.940, 2662.257, -1.349
839.840, 2164.213, -1.705
843.750, 1759.341, -2.046
847.660, 1430.211, -2.376
851.560, 1086.301, -2.705
855.470, 743.618, -3.048
859.370, 508.979, 2.864
863.280, 348.377, 2.454
867.190, 238.342, 2.022
871.090, 162.443, 1.613
875.000, 110.726, 1.270
878.910, 75.474, 1.011
882.810, 51.446, 0.839
886.720, 32.430, 0.764
890.620, 20.188, 0.841
894.530, 12.569, 1.280
898.440, 7.824, 2.439
902.340, 5.553, -2.478
906.250, 4.309, -1.618
910.160, 3.343, -1.313
914.060, 2.594, -1.205
917.970, 2.210, -1.168
921.870, 2.274, -1.158
925.780, 2.341, -1.159
929.690, 2.410, -1.160
933.590, 2.462, -1.151
937.500, 2.246, -1.121
941.410, 2.050, -1.046
945.310, 1.870, -0.865
949.220, 1.707, -0.384
953.120, 1.505, 0.540
957.030, 1.316, 1.153
960.940, 1.150, 1.541
964.840, 1.006, 2.123
968.750, 0.878, 3.032
972.660, 0.765, -2.720
976.560, 0.667, -2.514
980.470, 0.581, -2.425
984.370, 0.505, -2.384
988.280, 0.435, -2.367
992.190, 0.375, -2.363
996.090, 0.323, -2.368
1000.000, 0.278, -2.378
