"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, -5.96448352887E+001, +0.00000000000E+000
+1.79970000000E+006, +1.69150179364E+001, +0.00000000000E+000
+3.29940000000E+006, -1.12207864356E+001, +0.00000000000E+000
+4.79910000000E+006, -4.45689038527E+001, +0.00000000000E+000
+6.29880000000E+006, +1.56304954540E+002, +0.00000000000E+000
+7.79850000000E+006, -3.13697969014E+001, +0.00000000000E+000
+9.29820000000E+006, -1.49679255315E+002, +0.00000000000E+000
+1.07979000000E+007, +1.79611351620E+002, +0.00000000000E+000
+1.22976000000E+007, -4.90682701563E-001, +0.00000000000E+000
+1.37973000000E+007, -1.38798820321E+002, +0.00000000000E+000
+1.52970000000E+007, +9.82936097405E+001, +0.00000000000E+000
+1.67967000000E+007, -1.62195985251E+002, +0.00000000000E+000
+1.82964000000E+007, +1.73825567464E+002, +0.00000000000E+000
+1.97961000000E+007, +3.12206879872E+001, +0.00000000000E+000
+2.12958000000E+007, +2.94662628045E+001, +0.00000000000E+000
+2.27955000000E+007, +8.77277758337E+001, +0.00000000000E+000
+2.42952000000E+007, -1.11960055137E+002, +0.00000000000E+000
+2.57949000000E+007, +1.35121912473E+002, +0.00000000000E+000
+2.72946000000E+007, +6.52970481590E+001, +0.00000000000E+000
+2.87943000000E+007, -7.25426601480E+001, +0.00000000000E+000
+3.02940000000E+007, -9.11596743922E+001, +0.00000000000E+000
+3.17937000000E+007, +6.43093999580E+000, +0.00000000000E+000
+3.32934000000E+007, -1.39088925890E+002, +0.00000000000E+000
+3.47931000000E+007, -1.06423035072E+001, +0.00000000000E+000
+3.62928000000E+007, +6.11499330145E+001, +0.00000000000E+000
+3.77925000000E+007, -5.29998929521E+001, +0.00000000000E+000
+3.92922000000E+007, -1.02140941393E+001, +0.00000000000E+000
+4.07919000000E+007, -2.47673608723E+001, +0.00000000000E+000
+4.22916000000E+007, -9.57398250308E+001, +0.00000000000E+000
+4.37913000000E+007, -1.43705133999E+002, +0.00000000000E+000
