Trace
Swept SA
A.10.04,N9000A
503 P03 T03 ,01
Segment,0
Number of Points,1001
Sweep Time,0.05
Start Frequency,9000
Stop Frequency,1500000000
Average Count,0
Average Type,LogPower(Video)
RBW,3000000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,3000000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,20
Ref Level Offset,0
External Gain,0
Trace Type,Clearwrite
Detector,Average
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
9000,2.05708843160825
1508991,-1.40115159825888
3008982,-10.9901592549927
4508973,-28.5056690850973
6008964,-57.8089374011061
7508955,-66.9368649680669
9008946,-67.3699449803632
10508937,-68.1019463929178
12008928,-67.7199700831745
13508919,-67.5498436324124
15008910,-67.6942935264254
16508901,-67.490552059555
18008892,-67.9803084436659
19508883,-67.6759727867996
21008874,-67.6449472795605
22508865,-68.146243146813
24008856,-67.2170193919926
25508847,-67.2249849396364
27008838,-67.5537927140085
28508829,-67.6373864716202
30008820,-67.5251853033173
31508811,-67.2381358795853
33008802,-67.1204158280407
34508793,-67.3067360714462
36008784,-66.7744726309537
37508775,-66.5673215850612
39008766,-66.6544273592812
40508757,-66.4632058172909
42008748,-65.4920657299213
43508739,-61.7647451799976
45008730,-57.336275600053
46508721,-51.5486555926835
48008712,-46.5968955380972
49508703,-41.4919864735548
51008694,-37.3835444084698
52508685,-33.9511844877101
54008676,-30.862124190415
55508667,-27.6517738909677
57008658,-25.3115257062351
58508649,-23.058701649217
60008640,-20.9469854023552
61508631,-18.7837177688497
63008622,-16.7244309127837
64508613,-14.7089188351573
66008604,-12.8742756128601
67508595,-11.2247658374879
69008586,-9.75286375916567
70508577,-8.43448697829345
72008568,-7.15248465515038
73508559,-5.87549949859065
75008550,-4.53680319305594
76508541,-3.14066033014204
78008532,-1.71441446772817
79508523,-0.311498429926751
81008514,0.929864843891297
82508505,1.8915210806885
84008496,2.49720934839822
85508487,2.79283672125796
87008478,2.8608387582629
88508469,2.8579423601069
90008460,2.80060970452178
91508451,2.76786116519494
93008442,2.77951455013064
94508433,2.83281041770798
96008424,2.9269961929395
97508415,3.05078325101269
99008406,3.19790013369834
100508397,3.34727474134656
102008388,3.51044655709891
103508379,3.65982116474706
105008370,3.80693804743277
106508361,3.94201373031846
108008352,4.06655336337912
109508343,4.17403463005648
111008334,4.27072898857964
112508325,4.35588386396118
114008316,4.43100440617603
115508307,4.49583975689505
117008298,4.55340021606822
118508289,4.59967205042891
120008280,4.64268272651042
121508271,4.67716421940027
123008262,4.70713026236511
124508253,4.7285671221383
126008244,4.75251256520316
127508235,4.76316251682217
129008226,4.77456504342867
130508217,4.79425475105021
132008208,4.81942365251131
133508199,4.84785371225156
