FREQ (Hz), Diff (dB), Phase (deg)
300000.0,-0.1497556586,-2.59306069819
7798500.0,-0.1559998211,-66.040251484
15297000.0,-0.2270116849,-129.274177755
22795500.0,-0.2130336057,167.615422257
30294000.0,-0.0405844411,104.433359995
37792500.0,-0.2027454179,42.1748050438
45291000.0,-0.1989243956,-19.6987899653
52789500.0,-0.316359503,-83.8664931338
60288000.0,-0.2311183004,-145.221232424
67786500.0,-0.2305915038,152.045687426
75285000.0,-0.1556196988,89.6983796567
82783500.0,-0.300390043,25.783272714
90282000.0,-0.3417661494,-35.893900063
97780500.0,-0.2151048991,-99.123487634
105279000.0,-0.4179936897,-161.49124264
112777500.0,-0.5550047858,137.312528151
120276000.0,-0.4412243194,74.2284428277
127774500.0,-0.3862847979,11.242390701
135273000.0,-0.3886251613,-51.469621492
142771500.0,-0.497054225,-112.88238258
150270000.0,-0.4541715114,-176.391945396
157768500.0,-0.2296284378,121.114213289
165267000.0,-0.6172043707,58.135615757
172765500.0,-0.4353987485,-2.895658261
180264000.0,-0.4029328124,-67.0540311563
187762500.0,-0.4616986098,-129.389221864
195261000.0,-0.5893424078,167.89068651
202759500.0,-0.2765109115,106.020118099
210258000.0,-0.562580628,43.856540076
217756500.0,-0.4452297798,-19.0064351509
225255000.0,-0.5633683862,-82.1247114387
232753500.0,-0.4663657084,-145.558297156
240252000.0,-0.5858247477,152.702047987
247750500.0,-0.6787257248,90.6503370278
255249000.0,-0.6993517807,28.0945100862
262747500.0,-0.8289556468,-34.7174613883
270246000.0,-0.73158492,-96.5820569147
277744500.0,-0.7530035451,-158.542577154
285243000.0,-0.7103121851,139.911551713
292741500.0,-0.8677531791,77.3030049458
300240000.0,-0.5894751139,13.6293351755
307738500.0,-0.6851514389,-49.5511877876
315237000.0,-0.6864251364,-110.869777344
322735500.0,-0.8710407222,-174.203914096
330234000.0,-0.6044566643,123.212424239
337732500.0,-0.6589833416,60.3130423626
345231000.0,-0.6682129302,-1.5087830102
352729500.0,-0.6984535412,-63.6320338692
360228000.0,-0.7780055404,-127.240393983
367726500.0,-0.8220726089,170.581230041
375225000.0,-0.8041340582,108.340471964
382723500.0,-0.7247400754,45.4587398947
390222000.0,-1.0408659691,-17.286142548
397720500.0,-0.9413769197,-78.635997148
405219000.0,-0.9577334535,-142.498014242
412717500.0,-0.8554523494,157.641848671
420216000.0,-0.9350049655,93.7661353654
427714500.0,-0.8875365945,31.316532113
435213000.0,-0.8244854478,-31.767075149
442711500.0,-0.7115189385,-93.3040522244
450210000.0,-0.931057871,-156.552636517
457708500.0,-0.8728897249,140.377070569
465207000.0,-1.0352867269,78.944446063
472705500.0,-0.9292401132,16.988182933
480204000.0,-0.9156883425,-47.0010246717
487702500.0,-1.0862566241,-108.556198395
495201000.0,-0.8861138581,-170.427191488
502699500.0,-0.9047073032,126.013630198
510198000.0,-1.010905384,63.2876522881
517696500.0,-0.9751178555,1.1290684665
525195000.0,-0.8521523476,-60.4799352183
532693500.0,-1.0736333084,-123.781892423
540192000.0,-0.9751837349,172.862156464
547690500.0,-1.0368172337,110.375989708
555189000.0,-1.1034922183,49.4305584677
562687500.0,-1.0779675148,-13.273944916
570186000.0,-0.9274484051,-76.0380686707
577684500.0,-1.1054568596,-138.221600105
585183000.0,-1.0899410968,159.007207816
592681500.0,-0.8997211115,95.8084815255
600180000.0,-1.1553194602,34.6294849934
607678500.0,-0.9126521482,-28.5644924214
615177000.0,-0.9977309514,-91.8557434893
622675500.0,-0.9878394723,-152.849252609
630174000.0,-0.9490814703,144.707947421
637672500.0,-0.9993319793,81.2733528452
645171000.0,-1.0377485856,18.3710228302
652669500.0,-1.0921290918,-43.067887025
660168000.0,-0.9092798604,-106.657267269
667666500.0,-1.0498681706,-169.161693797
675165000.0,-1.1520523925,128.952866516
682663500.0,-1.2370513828,65.9199161715
690162000.0,-1.0531458565,3.58428076
697660500.0,-1.2572275422,-58.919437187
705159000.0,-1.2970774037,-120.31014618
712657500.0,-1.2416842439,175.650412092
720156000.0,-1.1751149906,112.074059846
727654500.0,-1.2250705044,54.224098247
735153000.0,-0.8886988568,-11.234210036
742651500.0,-1.3481134557,-74.049913933
750150000.0,-1.4057445408,-135.487590328
757648500.0,-0.8714588825,161.235118293
765147000.0,-1.6362054853,98.627423939
772645500.0,-1.3625991769,37.423069968
780144000.0,-0.995039125,-24.473798475
787642500.0,-1.3271436094,-86.719648464
795141000.0,-1.3809523853,-148.62397872
802639500.0,-1.2739290457,147.164634351
810138000.0,-1.245845091,85.1367000348
817636500.0,-1.5046402827,22.9695690201
825135000.0,-1.3946461053,-39.2462827829
832633500.0,-1.3923056184,-103.128241004
840132000.0,-1.3296682078,-163.832667811
847630500.0,-1.2026779554,135.952755042
855129000.0,-1.3650742954,69.5396429979
862627500.0,-1.2653562094,8.4390580887
870126000.0,-1.3052347779,-54.6622142739
877624500.0,-1.1657640008,-116.576453453
885123000.0,-1.3399080752,-179.903664059
892621500.0,-1.1570389194,118.055254698
900120000.0,-1.2811341898,55.8862717011
907618500.0,-1.5232339969,-6.1992109342
915117000.0,-1.3491400092,-69.4977846019
922615500.0,-1.1242470089,-131.61755017
930114000.0,-1.3869437568,164.476121101
937612500.0,-1.4511195475,105.140273123
945111000.0,-1.2034241904,41.0045788219
952609500.0,-1.3969012507,-23.1418211695
960108000.0,-1.1358887421,-82.6983690818
967606500.0,-1.2151459745,-148.336795494
975105000.0,-1.5359419987,151.403854485
982603500.0,-1.3312017597,89.5223086923
990102000.0,-1.1980607079,26.0470908156
997600500.0,-1.5751367282,-37.826129613
1005099000.0,-1.3868616414,-98.696505958
1012597500.0,-1.3191688589,-162.175667126
1020096000.0,-1.5872756582,137.739297103
1027594500.0,-1.3466202608,73.7908510228
1035093000.0,-1.2074880456,9.839447295
1042591500.0,-1.5081462764,-52.073433012
1050090000.0,-1.3946646054,-114.934688598
1057588500.0,-1.3027606766,-176.32986179
1065087000.0,-1.3504040457,119.841185169
1072585500.0,-1.4896778399,58.060617171
1080084000.0,-1.3718850314,-4.435005097
1087582500.0,-1.2616949581,-66.4442878788
1095081000.0,-1.5888681193,-129.263897688
1102579500.0,-1.6196263655,167.544003455
1110078000.0,-1.2741031444,106.465736382
1117576500.0,-1.7078479605,40.7153538837
1125075000.0,-1.7989317731,-18.1330707299
1132573500.0,-1.2554365083,-81.6684638451
1140072000.0,-1.8231362758,-145.063564153
1147570500.0,-1.7449696459,157.110618995
1155069000.0,-1.3569267953,92.3827102341
1162567500.0,-1.5888548957,28.0582714467
1170066000.0,-1.8554759833,-32.2931389867
1177564500.0,-1.5712781447,-94.5339529968
1185063000.0,-1.4513237284,-158.492219696
1192561500.0,-1.5224289537,140.346386828
1200060000.0,-1.5713667001,76.4567264545
1207558500.0,-1.2178849361,14.6535789383
1215057000.0,-1.3151919183,-47.9591229336
1222555500.0,-1.5190435545,-109.171343576
1230054000.0,-1.5780751262,-171.790560976
1237552500.0,-1.2466832794,124.842562163
1245051000.0,-1.4207672089,62.1742314707
1252549500.0,-1.4987604364,-0.540570914
1260048000.0,-1.3681501422,-62.4832034483
1267546500.0,-1.2385039528,-125.572463727
1275045000.0,-1.372946021,171.776637978
1282543500.0,-1.6037709191,110.165385826
1290042000.0,-1.6170741195,46.1631121426
1297540500.0,-1.3959301028,-16.171256202
1305039000.0,-1.4796777457,-79.335943369
1312537500.0,-1.689621654,-140.681202319
1320036000.0,-1.317014282,157.691030443
1327534500.0,-1.7362116728,92.9896986482
1335033000.0,-1.7303044306,32.346754623
1342531500.0,-1.4968068295,-31.540072529
1350030000.0,-1.701488251,-93.7508127554
1357528500.0,-1.8917337854,-153.543438095
1365027000.0,-1.6784837197,140.65464378
1372525500.0,-1.7779072993,79.538355516
1380024000.0,-1.8809954688,17.662010542
1387522500.0,-1.7487645469,-45.8741207318
1395021000.0,-1.6995218655,-108.791641932
1402519500.0,-1.6449366694,-170.139406796
1410018000.0,-1.8694852457,127.843024193
1417516500.0,-1.4697310184,64.4121449376
1425015000.0,-1.5051071955,2.3338913659
1432513500.0,-1.8716066788,-59.69926807
1440012000.0,-1.6526015959,-123.523026415
1447510500.0,-1.6337510958,174.448569123
1455009000.0,-1.8227238792,113.890298167
1462507500.0,-1.5658221015,49.1831932366
1470006000.0,-1.6163041749,-13.6943417244
1477504500.0,-1.8465137139,-74.4411722218
1485003000.0,-1.5018044236,-137.339385086
1492501500.0,-1.8717773952,157.380405115
1500000000.0,-1.8727317612,99.8532462698
