"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, +8.83108786885E-006, +0.00000000000E+000
+1.79970000000E+006, +6.39633548195E-006, +0.00000000000E+000
+3.29940000000E+006, +3.27254094958E-006, +0.00000000000E+000
+4.79910000000E+006, +1.98203222853E-005, +0.00000000000E+000
+6.29880000000E+006, +6.83439052578E-006, +0.00000000000E+000
+7.79850000000E+006, +1.50285914732E-005, +0.00000000000E+000
+9.29820000000E+006, +1.12844954049E-005, +0.00000000000E+000
+1.07979000000E+007, +1.75816763977E-005, +0.00000000000E+000
+1.22976000000E+007, +4.36698683837E-006, +0.00000000000E+000
+1.37973000000E+007, +9.24681616954E-006, +0.00000000000E+000
+1.52970000000E+007, +2.19519724257E-005, +0.00000000000E+000
+1.67967000000E+007, +2.24184527590E-005, +0.00000000000E+000
+1.82964000000E+007, +3.24958257726E-005, +0.00000000000E+000
+1.97961000000E+007, +2.57305573908E-005, +0.00000000000E+000
+2.12958000000E+007, +1.89740947707E-005, +0.00000000000E+000
+2.27955000000E+007, +8.17486794419E-005, +0.00000000000E+000
+2.42952000000E+007, +1.42700402216E-005, +0.00000000000E+000
+2.57949000000E+007, +3.06756181525E-005, +0.00000000000E+000
+2.72946000000E+007, +4.52852926657E-005, +0.00000000000E+000
+2.87943000000E+007, +2.80232438357E-005, +0.00000000000E+000
+3.02940000000E+007, +2.59942900089E-005, +0.00000000000E+000
+3.17937000000E+007, +1.72727990725E-005, +0.00000000000E+000
+3.32934000000E+007, +1.10786628881E-004, +0.00000000000E+000
+3.47931000000E+007, +5.13701771796E-005, +0.00000000000E+000
+3.62928000000E+007, +1.03080664282E-004, +0.00000000000E+000
+3.77925000000E+007, +9.45189261313E-005, +0.00000000000E+000
+3.92922000000E+007, +1.41288714946E-004, +0.00000000000E+000
+4.07919000000E+007, +2.18118667474E-004, +0.00000000000E+000
+4.22916000000E+007, +3.29710792538E-004, +0.00000000000E+000
+4.37913000000E+007, +6.11245714981E-004, +0.00000000000E+000
+4.52910000000E+007, +9.64848283510E-004, +0.00000000000E+000
+4.67907000000E+007, +1.70279219377E-003, +0.00000000000E+000
+4.82904000000E+007, +2.68714357512E-003, +0.00000000000E+000
+4.97901000000E+007, +4.21948866673E-003, +0.00000000000E+000
+5.12898000000E+007, +5.87733043009E-003, +0.00000000000E+000
+5.27895000000E+007, +8.03261742156E-003, +0.00000000000E+000
+5.42892000000E+007, +1.07162440066E-002, +0.00000000000E+000
+5.57889000000E+007, +1.42580918515E-002, +0.00000000000E+000
+5.72886000000E+007, +1.87116612933E-002, +0.00000000000E+000
+5.87883000000E+007, +2.44919142490E-002, +0.00000000000E+000
+6.02880000000E+007, +3.21721390174E-002, +0.00000000000E+000
+6.17877000000E+007, +4.21916016442E-002, +0.00000000000E+000
+6.32874000000E+007, +5.53925143919E-002, +0.00000000000E+000
+6.47871000000E+007, +7.24945411589E-002, +0.00000000000E+000
+6.62868000000E+007, +9.48087367948E-002, +0.00000000000E+000
+6.77865000000E+007, +1.23467742275E-001, +0.00000000000E+000
+6.92862000000E+007, +1.60093842778E-001, +0.00000000000E+000
+7.07859000000E+007, +2.05690304056E-001, +0.00000000000E+000
+7.22856000000E+007, +2.61937950603E-001, +0.00000000000E+000
+7.37853000000E+007, +3.29033298402E-001, +0.00000000000E+000
+7.52850000000E+007, +4.06222951109E-001, +0.00000000000E+000
+7.67847000000E+007, +4.91250427046E-001, +0.00000000000E+000
+7.82844000000E+007, +5.79414277067E-001, +0.00000000000E+000
+7.97841000000E+007, +6.66004000781E-001, +0.00000000000E+000
+8.12838000000E+007, +7.47076209699E-001, +0.00000000000E+000
+8.27835000000E+007, +8.20826334571E-001, +0.00000000000E+000
+8.42832000000E+007, +8.87526633559E-001, +0.00000000000E+000
+8.57829000000E+007, +9.48932865140E-001, +0.00000000000E+000
+8.72826000000E+007, +1.00764997665E+000, +0.00000000000E+000
+8.87823000000E+007, +1.06568610062E+000, +0.00000000000E+000
+9.02820000000E+007, +1.12502201108E+000, +0.00000000000E+000
+9.17817000000E+007, +1.18648578421E+000, +0.00000000000E+000
+9.32814000000E+007, +1.25038123550E+000, +0.00000000000E+000
+9.47811000000E+007, +1.31712462503E+000, +0.00000000000E+000
+9.62808000000E+007, +1.38570772337E+000, +0.00000000000E+000
+9.77805000000E+007, +1.45580214635E+000, +0.00000000000E+000
+9.92802000000E+007, +1.52633232418E+000, +0.00000000000E+000
+1.00779900000E+008, +1.59715540677E+000, +0.00000000000E+000
+1.02279600000E+008, +1.66574061661E+000, +0.00000000000E+000
+1.03779300000E+008, +1.73016811279E+000, +0.00000000000E+000
+1.05279000000E+008, +1.78851908200E+000, +0.00000000000E+000
+1.06778700000E+008, +1.83855843696E+000, +0.00000000000E+000
+1.08278400000E+008, +1.88052776114E+000, +0.00000000000E+000
+1.09778100000E+008, +1.91270789387E+000, +0.00000000000E+000
+1.11277800000E+008, +1.93529723997E+000, +0.00000000000E+000
+1.12777500000E+008, +1.94961120755E+000, +0.00000000000E+000
+1.14277200000E+008, +1.95658206668E+000, +0.00000000000E+000
+1.15776900000E+008, +1.95650525379E+000, +0.00000000000E+000
+1.17276600000E+008, +1.95169867666E+000, +0.00000000000E+000
+1.18776300000E+008, +1.94299318693E+000, +0.00000000000E+000
+1.20276000000E+008, +1.93143291384E+000, +0.00000000000E+000
+1.21775700000E+008, +1.91824822269E+000, +0.00000000000E+000
+1.23275400000E+008, +1.90402765564E+000, +0.00000000000E+000
+1.24775100000E+008, +1.88990059223E+000, +0.00000000000E+000
+1.26274800000E+008, +1.87582584927E+000, +0.00000000000E+000
+1.27774500000E+008, +1.86246624696E+000, +0.00000000000E+000
+1.29274200000E+008, +1.84987128249E+000, +0.00000000000E+000
+1.30773900000E+008, +1.83883263731E+000, +0.00000000000E+000
+1.32273600000E+008, +1.82882962326E+000, +0.00000000000E+000
+1.33773300000E+008, +1.82018828464E+000, +0.00000000000E+000
+1.35273000000E+008, +1.81260482665E+000, +0.00000000000E+000
+1.36772700000E+008, +1.80663928563E+000, +0.00000000000E+000
+1.38272400000E+008, +1.80161058491E+000, +0.00000000000E+000
+1.39772100000E+008, +1.79774317139E+000, +0.00000000000E+000
+1.41271800000E+008, +1.79511356143E+000, +0.00000000000E+000
+1.42771500000E+008, +1.79298621897E+000, +0.00000000000E+000
+1.44271200000E+008, +1.79210894538E+000, +0.00000000000E+000
+1.45770900000E+008, +1.79248666365E+000, +0.00000000000E+000
+1.47270600000E+008, +1.79328500031E+000, +0.00000000000E+000
+1.48770300000E+008, +1.79479480277E+000, +0.00000000000E+000
+1.50270000000E+008, +1.79678709741E+000, +0.00000000000E+000
+1.51769700000E+008, +1.79917052048E+000, +0.00000000000E+000
+1.53269400000E+008, +1.80188527028E+000, +0.00000000000E+000
+1.54769100000E+008, +1.80536850163E+000, +0.00000000000E+000
+1.56268800000E+008, +1.80902565362E+000, +0.00000000000E+000
+1.57768500000E+008, +1.81282840782E+000, +0.00000000000E+000
+1.59268200000E+008, +1.81692826274E+000, +0.00000000000E+000
+1.60767900000E+008, +1.82154561326E+000, +0.00000000000E+000
+1.62267600000E+008, +1.82600103890E+000, +0.00000000000E+000
+1.63767300000E+008, +1.83097228008E+000, +0.00000000000E+000
+1.65267000000E+008, +1.83589828850E+000, +0.00000000000E+000
