"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, -1.14763659013E+002, +0.00000000000E+000
+1.79970000000E+006, -9.97178822298E+001, +0.00000000000E+000
+3.29940000000E+006, -1.02256071413E+002, +0.00000000000E+000
+4.79910000000E+006, -9.94160637133E+001, +0.00000000000E+000
+6.29880000000E+006, -1.01873191681E+002, +0.00000000000E+000
+7.79850000000E+006, -9.97922466777E+001, +0.00000000000E+000
+9.29820000000E+006, -9.68865985443E+001, +0.00000000000E+000
+1.07979000000E+007, -1.05029456346E+002, +0.00000000000E+000
+1.22976000000E+007, -9.72129770965E+001, +0.00000000000E+000
+1.37973000000E+007, -9.90575282453E+001, +0.00000000000E+000
+1.52970000000E+007, -9.56034911982E+001, +0.00000000000E+000
+1.67967000000E+007, -9.55881152474E+001, +0.00000000000E+000
+1.82964000000E+007, -8.91692992324E+001, +0.00000000000E+000
+1.97961000000E+007, -9.97744618443E+001, +0.00000000000E+000
+2.12958000000E+007, -8.87220362654E+001, +0.00000000000E+000
+2.27955000000E+007, -9.59450771240E+001, +0.00000000000E+000
+2.42952000000E+007, -9.05579214106E+001, +0.00000000000E+000
+2.57949000000E+007, -9.30436637537E+001, +0.00000000000E+000
+2.72946000000E+007, -9.79429333637E+001, +0.00000000000E+000
+2.87943000000E+007, -9.32195768227E+001, +0.00000000000E+000
+3.02940000000E+007, -8.88605753471E+001, +0.00000000000E+000
+3.17937000000E+007, -8.36746167105E+001, +0.00000000000E+000
+3.32934000000E+007, -8.72893367557E+001, +0.00000000000E+000
+3.47931000000E+007, -9.26909097749E+001, +0.00000000000E+000
+3.62928000000E+007, -8.77999157249E+001, +0.00000000000E+000
+3.77925000000E+007, -8.74043174111E+001, +0.00000000000E+000
+3.92922000000E+007, -7.61022939478E+001, +0.00000000000E+000
+4.07919000000E+007, -7.18511282310E+001, +0.00000000000E+000
+4.22916000000E+007, -6.79428904551E+001, +0.00000000000E+000
+4.37913000000E+007, -6.39321130430E+001, +0.00000000000E+000
+4.52910000000E+007, -5.97079432368E+001, +0.00000000000E+000
+4.67907000000E+007, -5.55129085195E+001, +0.00000000000E+000
+4.82904000000E+007, -5.11831260767E+001, +0.00000000000E+000
+4.97901000000E+007, -4.77814606168E+001, +0.00000000000E+000
+5.12898000000E+007, -4.45948630144E+001, +0.00000000000E+000
