"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, -5.78091843294E+001, +0.00000000000E+000
+1.79970000000E+006, -1.29114479332E+002, +0.00000000000E+000
+3.29940000000E+006, -9.56448121414E+001, +0.00000000000E+000
+4.79910000000E+006, +5.42166414001E+001, +0.00000000000E+000
+6.29880000000E+006, +1.34965768236E+002, +0.00000000000E+000
+7.79850000000E+006, +1.03269586099E+002, +0.00000000000E+000
+9.29820000000E+006, +1.23162936527E+002, +0.00000000000E+000
+1.07979000000E+007, +1.39398783385E+002, +0.00000000000E+000
+1.22976000000E+007, -2.54182444576E+001, +0.00000000000E+000
+1.37973000000E+007, -8.07752357932E+001, +0.00000000000E+000
+1.52970000000E+007, -1.45152321405E+002, +0.00000000000E+000
+1.67967000000E+007, -1.77195826879E+002, +0.00000000000E+000
+1.82964000000E+007, +1.95191656461E+000, +0.00000000000E+000
+1.97961000000E+007, -7.08685944037E+001, +0.00000000000E+000
+2.12958000000E+007, -6.55086416911E+001, +0.00000000000E+000
+2.27955000000E+007, -1.44220016520E+002, +0.00000000000E+000
+2.42952000000E+007, -4.56127716329E+001, +0.00000000000E+000
+2.57949000000E+007, +6.54982824426E+001, +0.00000000000E+000
+2.72946000000E+007, +1.14675151851E+001, +0.00000000000E+000
+2.87943000000E+007, +5.54473660590E+001, +0.00000000000E+000
+3.02940000000E+007, +4.92383051699E+001, +0.00000000000E+000
+3.17937000000E+007, -1.79981129582E+002, +0.00000000000E+000
+3.32934000000E+007, +1.29816140092E+002, +0.00000000000E+000
+3.47931000000E+007, -1.53095380490E+002, +0.00000000000E+000
+3.62928000000E+007, -1.08844996390E+002, +0.00000000000E+000
+3.77925000000E+007, -5.24707721110E+001, +0.00000000000E+000
+3.92922000000E+007, -9.00760323278E+001, +0.00000000000E+000
+4.07919000000E+007, -1.55790092535E+002, +0.00000000000E+000
+4.22916000000E+007, -1.60586852720E+002, +0.00000000000E+000
+4.37913000000E+007, +1.75692785625E+002, +0.00000000000E+000
+4.52910000000E+007, +1.51537788650E+002, +0.00000000000E+000
+4.67907000000E+007, +1.24483275559E+002, +0.00000000000E+000
+4.82904000000E+007, +1.00616037047E+002, +0.00000000000E+000
+4.97901000000E+007, +7.38847920975E+001, +0.00000000000E+000
+5.12898000000E+007, +4.84057156547E+001, +0.00000000000E+000
+5.27895000000E+007, +2.34215008585E+001, +0.00000000000E+000
+5.42892000000E+007, +8.57994798361E-001, +0.00000000000E+000
+5.57889000000E+007, -2.03482233785E+001, +0.00000000000E+000
+5.72886000000E+007, -4.06395331017E+001, +0.00000000000E+000
+5.87883000000E+007, -5.98402940366E+001, +0.00000000000E+000
+6.02880000000E+007, -7.86422228353E+001, +0.00000000000E+000
+6.17877000000E+007, -9.72879473187E+001, +0.00000000000E+000
+6.32874000000E+007, -1.15717358593E+002, +0.00000000000E+000
