"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+007, -6.98423939424E+001, +0.00000000000E+000
+1.49500000000E+007, -6.78558463574E+001, +0.00000000000E+000
+1.99000000000E+007, -6.42618825551E+001, +0.00000000000E+000
+2.48500000000E+007, -6.59384634116E+001, +0.00000000000E+000
+2.98000000000E+007, -5.44150067723E+001, +0.00000000000E+000
+3.47500000000E+007, -3.42257194768E+001, +0.00000000000E+000
+3.97000000000E+007, -1.11630881559E+001, +0.00000000000E+000
+4.46500000000E+007, +5.30419585273E+000, +0.00000000000E+000
+4.96000000000E+007, +9.77668848444E+000, +0.00000000000E+000
+5.45500000000E+007, +1.21025175098E+001, +0.00000000000E+000
+5.95000000000E+007, +1.35676808053E+001, +0.00000000000E+000
+6.44500000000E+007, +1.36314652061E+001, +0.00000000000E+000
+6.94000000000E+007, +1.29904895383E+001, +0.00000000000E+000
+7.43500000000E+007, +1.25339796913E+001, +0.00000000000E+000
+7.93000000000E+007, +1.24662468738E+001, +0.00000000000E+000
+8.42500000000E+007, +1.27100717441E+001, +0.00000000000E+000
+8.92000000000E+007, +1.31851336673E+001, +0.00000000000E+000
+9.41500000000E+007, +1.38331159598E+001, +0.00000000000E+000
+9.91000000000E+007, +1.45646747032E+001, +0.00000000000E+000
+1.04050000000E+008, +1.53558844780E+001, +0.00000000000E+000
+1.09000000000E+008, +1.61328172220E+001, +0.00000000000E+000
+1.13950000000E+008, +1.68570399109E+001, +0.00000000000E+000
+1.18900000000E+008, +1.75002763463E+001, +0.00000000000E+000
+1.23850000000E+008, +1.80439121257E+001, +0.00000000000E+000
+1.28800000000E+008, +1.84874352977E+001, +0.00000000000E+000
+1.33750000000E+008, +1.88290683983E+001, +0.00000000000E+000
+1.38700000000E+008, +1.90844373630E+001, +0.00000000000E+000
+1.43650000000E+008, +1.92508885314E+001, +0.00000000000E+000
+1.48600000000E+008, +1.93689295779E+001, +0.00000000000E+000
+1.53550000000E+008, +1.94135089901E+001, +0.00000000000E+000
+1.58500000000E+008, +1.94351531043E+001, +0.00000000000E+000
+1.63450000000E+008, +1.94494894108E+001, +0.00000000000E+000
+1.68400000000E+008, +1.94747747436E+001, +0.00000000000E+000
+1.73350000000E+008, +1.95122799913E+001, +0.00000000000E+000
+1.78300000000E+008, +1.95667443668E+001, +0.00000000000E+000
+1.83250000000E+008, +1.96476223499E+001, +0.00000000000E+000
+1.88200000000E+008, +1.97342341459E+001, +0.00000000000E+000
+1.93150000000E+008, +1.98227634902E+001, +0.00000000000E+000
+1.98100000000E+008, +1.99208311057E+001, +0.00000000000E+000
+2.03050000000E+008, +2.00070409696E+001, +0.00000000000E+000
+2.08000000000E+008, +2.01005300336E+001, +0.00000000000E+000
+2.12950000000E+008, +2.01716542372E+001, +0.00000000000E+000
+2.17900000000E+008, +2.02427401725E+001, +0.00000000000E+000
+2.22850000000E+008, +2.02834205364E+001, +0.00000000000E+000
+2.27800000000E+008, +2.03315075781E+001, +0.00000000000E+000
+2.32750000000E+008, +2.03850616853E+001, +0.00000000000E+000
+2.37700000000E+008, +2.04427748595E+001, +0.00000000000E+000
+2.42650000000E+008, +2.05049863887E+001, +0.00000000000E+000
+2.47600000000E+008, +2.05625693556E+001, +0.00000000000E+000
+2.52550000000E+008, +2.06147070824E+001, +0.00000000000E+000
+2.57500000000E+008, +2.06378549357E+001, +0.00000000000E+000
+2.62450000000E+008, +2.06408835540E+001, +0.00000000000E+000
+2.67400000000E+008, +2.06491892057E+001, +0.00000000000E+000
+2.72350000000E+008, +2.06117415926E+001, +0.00000000000E+000
+2.77300000000E+008, +2.05625416361E+001, +0.00000000000E+000
+2.82250000000E+008, +2.04960380574E+001, +0.00000000000E+000
+2.87200000000E+008, +2.04152990196E+001, +0.00000000000E+000
+2.92150000000E+008, +2.03267178606E+001, +0.00000000000E+000
+2.97100000000E+008, +2.02328042570E+001, +0.00000000000E+000
+3.02050000000E+008, +2.01339124948E+001, +0.00000000000E+000
+3.07000000000E+008, +2.00343415156E+001, +0.00000000000E+000
+3.11950000000E+008, +1.99415396305E+001, +0.00000000000E+000
+3.16900000000E+008, +1.98459603236E+001, +0.00000000000E+000
+3.21850000000E+008, +1.97635300625E+001, +0.00000000000E+000
+3.26800000000E+008, +1.96770763076E+001, +0.00000000000E+000
+3.31750000000E+008, +1.95850752981E+001, +0.00000000000E+000
+3.36700000000E+008, +1.94876928757E+001, +0.00000000000E+000
+3.41650000000E+008, +1.93884684878E+001, +0.00000000000E+000
+3.46600000000E+008, +1.92580770575E+001, +0.00000000000E+000
+3.51550000000E+008, +1.91082582878E+001, +0.00000000000E+000
+3.56500000000E+008, +1.89552045539E+001, +0.00000000000E+000
+3.61450000000E+008, +1.87720489726E+001, +0.00000000000E+000
+3.66400000000E+008, +1.85820134500E+001, +0.00000000000E+000
+3.71350000000E+008, +1.83879690604E+001, +0.00000000000E+000
+3.76300000000E+008, +1.81738930863E+001, +0.00000000000E+000
+3.81250000000E+008, +1.79815567940E+001, +0.00000000000E+000
+3.86200000000E+008, +1.77973642736E+001, +0.00000000000E+000
+3.91150000000E+008, +1.76278368550E+001, +0.00000000000E+000
+3.96100000000E+008, +1.74412071822E+001, +0.00000000000E+000
+4.01050000000E+008, +1.72725635728E+001, +0.00000000000E+000
+4.06000000000E+008, +1.71022037084E+001, +0.00000000000E+000
+4.10950000000E+008, +1.68940353984E+001, +0.00000000000E+000
+4.15900000000E+008, +1.66644674772E+001, +0.00000000000E+000
+4.20850000000E+008, +1.64071169861E+001, +0.00000000000E+000
+4.25800000000E+008, +1.61188451430E+001, +0.00000000000E+000
+4.30750000000E+008, +1.58003017615E+001, +0.00000000000E+000
+4.35700000000E+008, +1.54499518241E+001, +0.00000000000E+000
+4.40650000000E+008, +1.50937112458E+001, +0.00000000000E+000
+4.45600000000E+008, +1.46985237467E+001, +0.00000000000E+000
+4.50550000000E+008, +1.42883593060E+001, +0.00000000000E+000
+4.55500000000E+008, +1.38708480478E+001, +0.00000000000E+000
+4.60450000000E+008, +1.34353076843E+001, +0.00000000000E+000
+4.65400000000E+008, +1.29760862530E+001, +0.00000000000E+000
+4.70350000000E+008, +1.24998563121E+001, +0.00000000000E+000
+4.75300000000E+008, +1.20164045455E+001, +0.00000000000E+000
+4.80250000000E+008, +1.15043733069E+001, +0.00000000000E+000
+4.85200000000E+008, +1.09708230969E+001, +0.00000000000E+000
+4.90150000000E+008, +1.04104390043E+001, +0.00000000000E+000
+4.95100000000E+008, +9.84731062353E+000, +0.00000000000E+000
+5.00050000000E+008, +9.22033234656E+000, +0.00000000000E+000
+5.05000000000E+008, +8.58701320158E+000, +0.00000000000E+000
+5.09950000000E+008, +7.96366042733E+000, +0.00000000000E+000
+5.14900000000E+008, +7.32946090475E+000, +0.00000000000E+000
+5.19850000000E+008, +6.73065956653E+000, +0.00000000000E+000
+5.24800000000E+008, +6.15851053007E+000, +0.00000000000E+000
+5.29750000000E+008, +5.63533750960E+000, +0.00000000000E+000
+5.34700000000E+008, +5.15240467024E+000, +0.00000000000E+000
+5.39650000000E+008, +4.71886844592E+000, +0.00000000000E+000
+5.44600000000E+008, +4.35956856755E+000, +0.00000000000E+000
+5.49550000000E+008, +4.03517267135E+000, +0.00000000000E+000
+5.54500000000E+008, +3.76099003760E+000, +0.00000000000E+000
+5.59450000000E+008, +3.55323583476E+000, +0.00000000000E+000
+5.64400000000E+008, +3.40732373601E+000, +0.00000000000E+000
+5.69350000000E+008, +3.33381970653E+000, +0.00000000000E+000
+5.74300000000E+008, +3.34544625807E+000, +0.00000000000E+000
+5.79250000000E+008, +3.42642822344E+000, +0.00000000000E+000
+5.84200000000E+008, +3.57904801732E+000, +0.00000000000E+000
+5.89150000000E+008, +3.78979169534E+000, +0.00000000000E+000
+5.94100000000E+008, +4.03719990654E+000, +0.00000000000E+000
+5.99050000000E+008, +4.31277564653E+000, +0.00000000000E+000
+6.04000000000E+008, +4.57913142781E+000, +0.00000000000E+000
+6.08950000000E+008, +4.81017964685E+000, +0.00000000000E+000
+6.13900000000E+008, +4.97303790233E+000, +0.00000000000E+000
+6.18850000000E+008, +5.04718609324E+000, +0.00000000000E+000
+6.23800000000E+008, +4.98927949533E+000, +0.00000000000E+000
+6.28750000000E+008, +4.79514841761E+000, +0.00000000000E+000
+6.33700000000E+008, +4.40576355063E+000, +0.00000000000E+000
+6.38650000000E+008, +3.81996512278E+000, +0.00000000000E+000
+6.43600000000E+008, +3.01109592973E+000, +0.00000000000E+000
+6.48550000000E+008, +1.92965779067E+000, +0.00000000000E+000
+6.53500000000E+008, +5.69433618849E-001, +0.00000000000E+000
+6.58450000000E+008, -1.12579696117E+000, +0.00000000000E+000
+6.63400000000E+008, -3.15270107323E+000, +0.00000000000E+000
+6.68350000000E+008, -5.55285168128E+000, +0.00000000000E+000
+6.73300000000E+008, -8.28621368784E+000, +0.00000000000E+000
+6.78250000000E+008, -1.13573436025E+001, +0.00000000000E+000
+6.83200000000E+008, -1.46950524346E+001, +0.00000000000E+000
+6.88150000000E+008, -1.82749931572E+001, +0.00000000000E+000
+6.93100000000E+008, -2.20650713056E+001, +0.00000000000E+000
+6.98050000000E+008, -2.60163463239E+001, +0.00000000000E+000
+7.03000000000E+008, -3.00027307773E+001, +0.00000000000E+000
+7.07950000000E+008, -3.42302855357E+001, +0.00000000000E+000
+7.12900000000E+008, -3.84885113086E+001, +0.00000000000E+000
+7.17850000000E+008, -4.29672397075E+001, +0.00000000000E+000
+7.22800000000E+008, -4.75896660421E+001, +0.00000000000E+000
+7.27750000000E+008, -5.19444907377E+001, +0.00000000000E+000
+7.32700000000E+008, -5.73675247149E+001, +0.00000000000E+000
+7.37650000000E+008, -6.23473517499E+001, +0.00000000000E+000
+7.42600000000E+008, -6.67346850208E+001, +0.00000000000E+000
+7.47550000000E+008, -7.90188778024E+001, +0.00000000000E+000
+7.52500000000E+008, -7.25818779718E+001, +0.00000000000E+000
+7.57450000000E+008, -7.83530770166E+001, +0.00000000000E+000
+7.62400000000E+008, -7.26450909248E+001, +0.00000000000E+000
+7.67350000000E+008, -7.16999820592E+001, +0.00000000000E+000
+7.72300000000E+008, -7.11828905495E+001, +0.00000000000E+000
+7.77250000000E+008, -6.79705543115E+001, +0.00000000000E+000
+7.82200000000E+008, -7.58822285408E+001, +0.00000000000E+000
+7.87150000000E+008, -7.08084313348E+001, +0.00000000000E+000
+7.92100000000E+008, -7.39846907069E+001, +0.00000000000E+000
+7.97050000000E+008, -7.65944343198E+001, +0.00000000000E+000
+8.02000000000E+008, -6.95871526942E+001, +0.00000000000E+000
+8.06950000000E+008, -8.30512248994E+001, +0.00000000000E+000
+8.11900000000E+008, -9.07229188024E+001, +0.00000000000E+000
+8.16850000000E+008, -7.36229629432E+001, +0.00000000000E+000
+8.21800000000E+008, -7.18196476201E+001, +0.00000000000E+000
+8.26750000000E+008, -7.54944388520E+001, +0.00000000000E+000
+8.31700000000E+008, -7.04444364173E+001, +0.00000000000E+000
+8.36650000000E+008, -8.75571336543E+001, +0.00000000000E+000
+8.41600000000E+008, -7.39833858767E+001, +0.00000000000E+000
+8.46550000000E+008, -8.06628504233E+001, +0.00000000000E+000
+8.51500000000E+008, -7.59619615934E+001, +0.00000000000E+000
+8.56450000000E+008, -7.28532936624E+001, +0.00000000000E+000
+8.61400000000E+008, -7.21096971813E+001, +0.00000000000E+000
+8.66350000000E+008, -7.30232272067E+001, +0.00000000000E+000
+8.71300000000E+008, -7.24445522886E+001, +0.00000000000E+000
+8.76250000000E+008, -6.99702951119E+001, +0.00000000000E+000
+8.81200000000E+008, -6.92461589279E+001, +0.00000000000E+000
+8.86150000000E+008, -7.54028915151E+001, +0.00000000000E+000
+8.91100000000E+008, -7.91621524477E+001, +0.00000000000E+000
+8.96050000000E+008, -6.76661226238E+001, +0.00000000000E+000
+9.01000000000E+008, -7.25368988824E+001, +0.00000000000E+000
+9.05950000000E+008, -7.89768700505E+001, +0.00000000000E+000
+9.10900000000E+008, -7.27132155046E+001, +0.00000000000E+000
+9.15850000000E+008, -7.29055406014E+001, +0.00000000000E+000
+9.20800000000E+008, -7.56646709389E+001, +0.00000000000E+000
+9.25750000000E+008, -7.16635231115E+001, +0.00000000000E+000
+9.30700000000E+008, -6.48881789446E+001, +0.00000000000E+000
+9.35650000000E+008, -7.18913449444E+001, +0.00000000000E+000
+9.40600000000E+008, -7.24201988578E+001, +0.00000000000E+000
+9.45550000000E+008, -7.90954147315E+001, +0.00000000000E+000
+9.50500000000E+008, -7.64700779709E+001, +0.00000000000E+000
+9.55450000000E+008, -6.59886915076E+001, +0.00000000000E+000
+9.60400000000E+008, -7.13637730544E+001, +0.00000000000E+000
+9.65350000000E+008, -6.96983965956E+001, +0.00000000000E+000
+9.70300000000E+008, -7.68590745227E+001, +0.00000000000E+000
+9.75250000000E+008, -6.89795200231E+001, +0.00000000000E+000
+9.80200000000E+008, -7.64638522223E+001, +0.00000000000E+000
+9.85150000000E+008, -7.52373871713E+001, +0.00000000000E+000
+9.90100000000E+008, -7.11888915751E+001, +0.00000000000E+000
+9.95050000000E+008, -6.67738168767E+001, +0.00000000000E+000
+1.00000000000E+009, -7.49778747228E+001, +0.00000000000E+000
