Frequency [Hz],Gain,phase [rad]
1000000.0,119.86651855667598,-0.16070199627770906
1499500.0,119.96613012646287,-0.24068706497749487
1998999.9999999998,120.09465264181057,-0.3205223166775557
2498500.0,120.24468480898473,-0.4000944925139812
2998000.0,120.44263589355576,-0.47908059142641074
3497500.0,120.64058697812683,-0.5580666903388404
3997000.0000000005,120.88311003330365,-0.635874029038061
4496500.0,121.12731133717898,-0.7136369844002483
4996000.0,121.38140734365919,-0.790445525128346
5495500.0,121.64162940588508,-0.8666631640894714
5995000.0,121.89658065284834,-0.9423891364438044
6494500.0,122.13739056964627,-1.0167959922153051
6994000.0,122.37820048644421,-1.0912028479868063
7493500.0,122.56525064269559,-1.1637389995724587
7993000.0,122.74796861705327,-1.2361244021458386
8492500.0,122.87384334222023,-1.307244149965908
8992000.0,122.95844225663573,-1.3774448629521474
9491500.0,123.01091129395125,-1.4471064285233186
9991000.0,122.95775163659461,-1.5149955180432366
10490500.0,122.90459197923798,-1.5828846075631546
10990000.0,122.69575078356067,-1.6486306673866178
11489500.0,122.46710355860759,-1.714104087889037
11989000.0,122.1248422041481,-1.7782186445884796
12488500.0,121.68620327637005,-1.8411804925854898
12988000.0,121.20075339914122,-1.9036325342392082
13487500.0,120.52199052527156,-1.9639792523930932
13987000.0,119.84322765140192,-2.024325970546978
14486500.0,118.93965904250652,-2.082343794605113
14986000.0,117.99606016711478,-2.1399469217193112
15485500.0,116.91013858198913,-2.196083647563317
15985000.000000002,115.68345282352291,-2.250770030289417
16484500.000000002,114.41075304004939,-2.3049615796227974
16984000.0,112.8903419717923,-2.3564892495097487
17483500.0,111.3699309035352,-2.4080169193967
17983000.0,109.61013440787838,-2.456707178073372
18482500.0,107.79439016027911,-2.5047342937163353
18982000.0,105.845806559753,-2.550911098361288
19481500.0,103.74405689496864,-2.594954462523623
19981000.0,101.61117326067418,-2.6384457100475966
20480500.0,99.24639750252348,-2.677824680791564
20980000.0,96.88162174437278,-2.717203651535532
21479500.0,94.34510416584637,-2.752245014612688
21979000.0,91.75794334151894,-2.7860073034912696
22478500.0,89.10341044154994,-2.8168158827209457
22978000.0,86.3581645824229,-2.8436474471385593
23477500.0,83.60800974259105,-2.8697831588715874
23977000.0,80.8014629869129,-2.8879252628904326
24476500.0,77.99491623123473,-2.9060673669092782
24976000.0,75.24713086270921,-2.9162192361500603
25475500.0,72.52064223968085,-2.92347522418761
25975000.0,69.90249983527478,-2.925607948517958
26474500.0,67.45533475393326,-2.919655832185198
26974000.0,65.03079647828736,-2.913091777313348
27473500.0,63.12504885538715,-2.8924971076739694
27973000.0,61.21930123248696,-2.8719024380345903
28472500.0,59.8976333861921,-2.8420913641414907
28972000.0,58.8314479170023,-2.8082489422007204
29471500.0,58.14660936316653,-2.771859690626777
29971000.0,58.17123439773821,-2.7307322785541825
30470500.0,58.20000592357892,-2.689611846350454
30970000.0,59.40815803751429,-2.6504766882772817
31469500.000000004,60.616310151449674,-2.6113415302041085
31969000.000000004,62.5305073918444,-2.5788165001953
32468500.000000004,64.81264364180248,-2.5497361848115823
32968000.000000004,67.35299759358506,-2.5249040883591123
33467500.000000004,70.46458556097942,-2.5094699810535817
33967000.0,73.57617352837377,-2.494035873748051
34466500.0,77.21934437967849,-2.4914604865605554
34966000.0,80.88167261259159,-2.4893485067094367
35465500.0,84.72816692137131,-2.4941718949894405
35965000.0,88.68795984270918,-2.503261908287864
36464500.0,92.67101104387328,-2.5147518314813997
36964000.0,96.71599194521619,-2.5326319822141654
37463500.0,100.7609728465591,-2.550512132946932
37963000.0,104.72215292348845,-2.5746006624240065
38462500.0,108.67672667192736,-2.599178621326929
38962000.0,112.49333114761136,-2.6266877567170366
39461500.0,116.21036710461188,-2.656312239205825
39961000.0,119.84227172078973,-2.6868239503780833
40460500.0,123.19663727488262,-2.7202281405631883
40960000.0,126.5510028289755,-2.7536323307482933
41459500.0,129.48806165755548,-2.7895263047003476
41959000.0,132.37282493759892,-2.8257322904170574
42458500.0,134.95380666429907,-2.863036430622244
42958000.0,137.27864785616916,-2.901266505516055
43457500.0,139.4790128426755,-2.9397664920814246
43957000.0,141.17021465029902,-2.9793705377262536
44456500.0,142.8614164579225,-3.0189745833710826
44956000.0,143.96615690941744,-3.0592523911491387
45455500.0,144.9676884465613,-3.0996487715451084
45955000.0,145.6030618855356,-3.1401601757688185
46454500.0,145.87845557638383,3.1024006442080228
46954000.0,146.03673359865712,3.0618342885009957
47453500.0,145.57163011921176,3.0215773542363644
47953000.0,145.1065266397664,2.9813204199717336
48452500.0,144.04903907431432,2.941913577188444
48952000.0,142.85445429820243,2.9027034736046895
49451500.0,141.33889585664645,2.864364893083101
49951000.0,139.45547608208423,2.827025147263265
50450500.0,137.49860299380092,2.7900342789049164
50950000.0,135.0024077669853,2.755605001427672
51449500.0,132.50621254016968,2.7211757239504273
51949000.0,129.62844584901526,2.690033233639819
52448500.0,126.63912010101663,2.6598516927466234
52948000.0,123.51367415567591,2.632213527802039
53447500.0,120.20607087193768,2.607978932661126
53947000.0,116.89253678016131,2.5843953355866174
54446500.0,113.51223561629907,2.568140459075626
54946000.0,110.13193445243682,2.551885582564635
55445500.0,106.94289501552873,2.5430130615035607
55945000.0,103.82264212009413,2.5367955760704426
56444500.0,100.96888462365835,2.5349460159291923
56944000.0,98.53302479660375,2.5399459016183785
57443500.0,96.14751953203175,2.5453737879253517
57943000.0,94.87476277827501,2.5602597456878198
58442500.0,93.60200602451826,2.575145703450288
58942000.0,93.4358805705972,2.593257537860517
59441500.0,93.75038105809796,2.612770417045976
59941000.0,94.7003000767681,2.631030057287288
60440500.0,96.82458848340848,2.6469734832861382
60940000.0,98.9577151996571,2.6628619147070642
61439500.0,102.84789786602273,2.667817424036619
61939000.0,106.73808053238837,2.6727729333661743
62438500.0,111.6416700572329,2.6680631974355036
62938000.00000001,117.06986024599954,2.6583501461650347
63437500.00000001,122.89467033391259,2.6440259859146926
63937000.00000001,129.59077501627064,2.6195721414573643
64436500.0,136.28687969862867,2.5951182970000364
64936000.0,143.99985552276274,2.558183660078799
65435500.0,151.7478414069166,2.520819319456371
65935000.0,160.06862613769187,2.476900072960001
66434500.0,168.7395572601922,2.428973875937462
66934000.0,177.6515642969669,2.378759089160499
67433500.0,187.20065344448102,2.3224963336523796
67933000.0,196.7497425919952,2.26623357814426
68432500.0,207.135611762026,2.204015176012347
68932000.0,217.58598742435868,2.1413376593428586
69431500.0,228.6027777152161,2.0758687597098717
69931000.0,240.02581897943313,2.0083977895285052
70430500.0,251.70217947212427,1.9401174182998402
70930000.0,264.1975339111111,1.869220212329272
71429500.0,276.6928883500978,1.7983230063587048
71929000.0,290.23955201998274,1.7254025575992336
72428500.0,303.9159668150754,1.652232403024659
72928000.0,318.28956980300353,1.578350201450425
73427500.0,333.247476786951,1.503871242915115
73927000.0,348.47438394278964,1.4292894902341067
74426500.0,364.79123490509016,1.3542912328287404
74926000.0,381.1080858673906,1.279292975423375
75425500.0,398.6194845905623,1.204386079144647
75925000.0,416.33863075040733,1.1294950717575072
76424500.0,434.76801783471296,1.054899846679838
76924000.0,453.89148004312074,0.9805936716077116
77423500.0,473.2323215352865,0.9064362161369718
77923000.0,493.71730038616647,0.8330615199475081
78422500.0,514.2022792370466,0.7596868237580445
78922000.0,535.7234332320764,0.6872626974485121
79421500.0,557.482037390869,0.6150564039782742
79921000.0,579.7749078020117,0.5434662015455267
80420500.0,602.6764070059818,0.47257784157946975
80920000.0,625.6960506249707,0.40185957355047036
81419500.0,649.5709623700027,0.33237263086375735
81919000.0,673.4458741150348,0.2628856881770452
82418500.0,697.9181457302199,0.19451337401812047
82918000.0,722.5635707228734,0.1264641510205762
83417500.0,747.4408967626746,0.05903401332967054
83917000.0,772.6266579561462,-0.007572722854273661
84416500.0,797.8364722518485,-0.07406081365901838
84916000.0,823.311740061325,-0.13923951690536618
85415500.0,848.7870078708017,-0.20441822015171482
85915000.0,874.2806373966745,-0.26856246749378504
86414500.0,899.7808197795702,-0.3323375422873347
86914000.0,925.1846694756684,-0.3955747595352192
87413500.0,950.4384079299836,-0.45797385561399534
