!CSV A.01.01
!Keysight Technologies,P5024A,MY58100101,A.13.90.09
!Date: Friday, January 24, 2020 14:01:00
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(MAG),S11(DEG),S12(MAG),S12(DEG),S21(MAG),S21(DEG),S22(MAG),S22(DEG)
10000000,0.9739126,-90.767723,0.0015571809,161.92117,0.0042738053,-120.45099,0.59825021,-160.25725
10995000,0.96943212,-100.14625,0.00013429395,8.5961618,0.0038398395,56.005146,0.55751103,-172.31403
11990000,0.95897961,-109.37715,0.0031056402,-47.088467,0.0011918268,112.81643,0.52028531,175.04968
12985000,0.96110147,-118.57426,0.0021849822,81.375389,0.0033901208,-143.89456,0.49382204,164.14516
13980000,0.95347822,-128.2379,0.0015153736,142.57391,0.0023574422,-12.894569,0.46275026,152.51836
14975000,0.95733678,-137.71883,0.0010176792,-40.124985,0.0039844275,32.402222,0.44499585,141.8777
15970000,0.95554149,-147.68463,0.0011980713,-34.789478,0.0018968554,-154.23036,0.42417336,130.4585
16965000,0.94230658,-157.50638,0.00079266768,-34.635609,0.0038886182,9.0804682,0.40564543,119.16863
17960000,0.93517911,-167.61229,0.002714888,-138.85605,0.0024839172,55.977325,0.40040606,108.56347
18955000,0.92765254,-178.0009,0.0013359176,-59.361816,0.0039775637,133.86505,0.36918506,98.594086
19950000,0.92562574,171.2439,0.001817006,1.7557912,0.0039326893,140.61543,0.37301448,88.717529
20945000,0.91862619,160.50467,0.0021345555,33.322224,0.003839273,-141.86903,0.35353988,78.396286
21940000,0.92042965,149.14067,0.0042228778,-135.46451,0.00096120324,-133.26183,0.33922058,68.504913
22935000,0.91818196,137.15312,0.0040451298,-19.500589,0.00034988555,-17.014929,0.32920849,60.894867
23930000,0.92978019,124.18031,0.0038119755,-76.638359,0.0042705899,-8.220479,0.33177316,51.307148
24925000,0.93696672,110.4192,0.0023940499,-172.07051,0.00024584026,-67.363823,0.33249652,41.446171
25920000,0.96257162,95.378212,0.002951402,-80.549217,0.0016544465,165.78966,0.32749045,32.337982
26915000,1.0091686,78.124428,0.00021550593,108.90601,0.0037295336,-120.11,0.32612655,22.974478
27910000,1.064894,57.523384,0.0045895302,101.103,0.0018988759,170.0677,0.32522467,12.727329
28905000,1.1621977,28.647249,0.0021959024,-40.835091,0.0029615103,55.979942,0.32623422,4.2895355
29900000,1.2489091,-8.245615,0.0040265857,59.218521,0.002429195,87.152916,0.33147079,-3.1507585
30895000,1.1923614,-59.921204,0.0016103821,68.859962,0.0017128005,-125.31682,0.32246912,-14.520021
31890000,0.94446748,-113.07342,0.0008369541,113.76359,0.0062440154,-116.57442,0.32019576,-21.989883
32885000,0.71197772,-157.10887,0.0037690522,163.02589,0.006006971,158.2352,0.32314605,-30.79744
33880000,0.56867576,167.68742,0.0032977697,134.02751,0.0049808617,-58.103592,0.33892274,-41.65752
34875000,0.51518708,140.32013,0.0071198205,-163.58739,0.0021935981,141.63712,0.33793926,-47.571232
35870000,0.46671957,117.73819,0.0045647775,48.968258,0.0040178797,-97.769974,0.31968281,-57.147221
36865000,0.45466125,98.412521,0.0020425781,-62.61462,0.009752254,133.0553,0.34308603,-67.211014
37860000,0.43645608,85.000511,0.0027599372,4.3986983,0.0067547564,95.237991,0.32646126,-72.863831
38855000,0.43241867,69.83474,0.0042510326,-12.584158,0.0091591403,-9.4368811,0.32543859,-80.307381
39850000,0.43312854,54.530842,0.0059042573,139.4487,0.006621351,91.004837,0.3486937,-88.626892
40845000,0.40741295,43.043385,0.0015502507,122.7548,0.0085390322,122.93905,0.34029898,-98.716766
41840000,0.39746669,31.986366,0.0030149401,104.34342,0.0085956687,-162.72861,0.3620398,-102.12069
42835000,0.37588096,17.622307,0.0027598031,-93.623146,0.01460652,24.405472,0.35300118,-114.25417
43830000,0.37365162,6.2860751,0.0029598856,-124.70244,0.013531554,55.850002,0.3450962,-119.40562
44825000,0.35948858,-4.4010286,0.0028265137,93.888145,0.0047761984,37.432362,0.35080394,-126.63537
45820000,0.34824422,-14.110385,0.0035354747,-84.800079,0.0055446983,10.398194,0.35563746,-134.17247
46815000,0.34025234,-27.471298,0.0082901651,-54.748508,0.0050448212,-103.55456,0.36271092,-141.94658
47810000,0.32191259,-40.024071,0.0049876636,176.8932,0.0095863659,122.2407,0.35320324,-147.54443
48805000,0.31376725,-50.633579,0.00062210346,-105.95419,0.010835499,-83.955429,0.35727295,-158.43361
49800000,0.29648218,-61.777485,0.0020065801,-134.67435,0.001603039,27.500107,0.34915054,-164.10838
50795000,0.29057154,-74.702217,0.0037717291,48.857166,0.0022603907,-146.97908,0.35594648,-172.05153
51790000,0.27205166,-87.210159,0.00060224411,56.928997,0.0023370031,83.059242,0.36959323,-179.20146
52785000,0.26532158,-98.370102,0.0035251263,-7.3685031,0.008828911,156.00461,0.36395282,174.71675
53780000,0.25585964,-110.91926,0.0063149557,-8.2398977,0.008805247,172.98743,0.36677974,166.73534
54775000,0.23844686,-126.57259,0.0015208004,47.289761,0.010316679,161.28374,0.36736333,160.963
55770000,0.23242573,-139.94141,0.0012273476,-61.807926,0.0077429824,-19.228933,0.37803283,152.14761
56765000,0.23281513,-153.30649,0.0039819079,27.170628,0.0083566271,-18.077616,0.38395897,146.00171
57760000,0.20699051,-165.79059,0.0032639336,41.12785,0.0058385963,-97.488861,0.38037789,139.04819
58755000,0.20535086,178.4836,0.0023855886,-148.05971,0.0063579157,149.1817,0.38690615,132.05775
59750000,0.20732355,164.50073,0.0028788352,130.7318,0.0035509279,103.11319,0.38719144,123.50832
60745000,0.20094101,146.45587,0.0024207889,-74.805214,0.010215728,98.220863,0.38731283,117.24099
61740000,0.21042944,133.9185,0.00079675583,59.608414,0.0061390419,-49.199806,0.38973394,109.54812
62735000,0.21858558,116.09005,0.0030060736,-156.63023,0.0125883,160.99881,0.3875258,103.91087
63730000,0.2157917,102.86399,0.0024612816,-135.55997,0.01392738,99.082657,0.38734782,96.537941
64725000,0.21625765,89.302055,0.0018262278,-179.79724,0.0057496768,117.53613,0.4026269,88.647827
65720000,0.23573928,75.134819,0.0013917803,-116.03841,0.0088087227,121.66683,0.39224282,82.590744
66715000,0.23574418,61.086632,0.0023673857,32.632664,0.0088827536,-169.80646,0.39621276,76.804565
67710000,0.25021118,46.348396,0.0024032292,-27.631918,0.012804498,153.01302,0.40577915,69.017242
68705000,0.26219547,34.648415,0.0043879766,-57.43084,0.0058345743,171.34801,0.40741932,59.674435
69700000,0.27053064,22.329903,0.0052714804,-106.59743,0.0058972687,-21.776514,0.42357907,54.526913
70695000,0.27132601,8.1817188,0.0039974055,49.434788,0.0030519608,172.87296,0.40676883,49.537674
71690000,0.27896699,-2.302145,0.0043645352,44.199883,0.0047395797,-10.437959,0.42396459,40.831573
72685000,0.29624873,-16.24114,0.0016575236,-165.43619,0.0016403612,13.231787,0.42237684,34.53373
