!CSV A.01.01
!Keysight Technologies,P5024A,MY58100101,A.13.90.09
!Date: Friday, January 24, 2020 14:01:12
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG),S12(DB),S12(DEG),S21(DB),S21(DEG),S22(DB),S22(DEG)
10000000,-0.20258963,-90.801422,-52.979305,-22.787174,-53.289623,7.6531715,-4.3953218,-159.9144
10995000,-0.23584437,-99.718773,-52.481976,-145.14136,-55.945099,-22.914949,-5.0933156,-172.40764
11990000,-0.21951884,-109.5227,-45.069763,78.839684,-60.622166,-36.41021,-5.6114097,175.15732
12985000,-0.34975761,-118.24212,-57.581348,145.74739,-54.013226,-36.162998,-6.1572609,163.84851
13980000,-0.43438599,-127.94527,-58.974678,-155.82692,-45.940857,-166.99327,-6.4863706,153.24149
14975000,-0.3990685,-137.90077,-52.209656,63.800987,-53.872242,-20.519802,-7.0299768,141.04997
15970000,-0.45104229,-147.52151,-53.518475,73.751862,-49.900017,-60.626472,-7.4483347,130.32137
16965000,-0.53017485,-157.34764,-51.122787,-166.08556,-44.868053,-126.73293,-7.9548345,119.19952
17960000,-0.60339677,-167.95639,-54.530872,120.12896,-52.694927,-23.450882,-8.1559649,107.98669
18955000,-0.62872934,-178.21587,-47.693169,162.0981,-50.874641,18.29051,-8.334569,98.688667
19950000,-0.67707711,171.2588,-53.606739,134.40454,-56.473213,-61.635479,-8.6698074,88.499367
20945000,-0.72130525,160.33942,-47.289497,69.1987,-51.935444,-163.49576,-8.9733038,77.486938
21940000,-0.72283733,149.03366,-49.160381,40.478115,-53.887192,54.392395,-9.7687664,68.63343
22935000,-0.70854563,137.18806,-49.495129,-3.5413427,-49.795071,-123.18912,-9.7442455,60.648899
23930000,-0.65267575,124.08573,-47.879925,-135.15417,-46.552391,-35.695,-9.6419115,50.830097
24925000,-0.4495925,110.40331,-56.392017,-12.145767,-50.774029,165.00963,-9.7478161,41.035271
25920000,-0.32257822,95.097137,-66.82914,39.612213,-57.910126,86.907745,-9.6404934,32.044071
26915000,0.070464626,78.499458,-54.39246,-71.06073,-62.438057,-155.07378,-9.8117151,21.656811
27910000,0.53260201,56.596275,-49.155602,17.816826,-50.121986,88.757881,-9.8500509,14.401715
28905000,1.2433827,29.230232,-53.876205,-34.613663,-57.572182,-174.06335,-9.6533203,3.769268
29900000,1.9642676,-8.2194824,-51.440899,-83.522369,-47.530678,-17.945314,-9.6248913,-3.7803979
30895000,1.7180618,-59.778904,-55.779346,-49.234467,-43.822594,-2.72718,-10.029527,-14.168524
31890000,-0.43002129,-112.88306,-48.123318,-136.10376,-53.23914,-90.408234,-10.038876,-24.285246
32885000,-3.0492673,-157.49588,-48.174881,-75.306923,-48.205025,-146.12476,-9.9638901,-31.51226
33880000,-4.7634568,167.0081,-49.949306,160.22424,-38.91563,104.54539,-9.6700535,-42.883186
34875000,-6.0337267,139.9501,-47.644093,164.18413,-40.412041,-119.86712,-9.6507444,-50.219086
35870000,-6.4501009,118.22631,-50.390602,-22.294703,-45.17374,81.559204,-9.2241745,-58.008953
36865000,-6.8123083,98.102737,-63.701439,-4.8368521,-37.774342,8.006443,-9.3781977,-64.912338
37860000,-7.3824677,83.06295,-45.439178,13.781027,-55.112881,-161.58093,-9.2999849,-77.353645
38855000,-7.465816,69.110466,-53.458736,-129.72937,-36.923569,-14.292098,-9.3286352,-80.367157
39850000,-7.7222934,54.628601,-45.065491,115.54449,-44.363461,14.736926,-9.7202015,-87.305336
40845000,-7.9105778,42.241051,-56.782276,-151.77507,-44.405682,-134.38528,-8.8276596,-97.884552
41840000,-7.9337077,31.503214,-43.180408,-143.4355,-41.408283,48.985348,-9.4034929,-104.49364
42835000,-8.3706026,18.352514,-50.022038,-69.731819,-35.27248,-66.554535,-9.5418892,-111.53217
43830000,-8.4015455,4.9511895,-46.432384,50.221714,-38.956528,-63.381992,-9.4123926,-121.79732
44825000,-8.517375,-3.7691882,-46.362877,-13.158151,-63.717804,54.401237,-9.0468931,-126.67992
45820000,-9.2343254,-16.426441,-49.999321,-148.57173,-43.17881,-9.2424059,-9.4966249,-134.85896
46815000,-9.1078644,-26.99872,-52.999088,-131.59645,-66.943214,-176.03079,-9.0119553,-142.08147
47810000,-9.6719542,-39.240814,-45.297283,167.06831,-39.493881,-25.321623,-9.0640736,-148.31522
48805000,-10.066641,-51.972027,-50.866955,-92.077507,-42.2216,168.21248,-9.0332518,-154.75023
49800000,-10.648761,-64.011902,-53.140038,24.96385,-47.669411,-128.15112,-8.8643513,-162.38089
50795000,-10.696698,-72.611435,-46.894951,3.0159893,-54.906178,135.6767,-8.6254101,-172.43491
51790000,-11.387972,-87.744911,-47.484138,59.990795,-45.355667,74.298233,-8.7173185,-178.90746
52785000,-11.395969,-97.385803,-50.847298,178.9222,-45.487869,139.11876,-8.6658316,173.16585
53780000,-11.859608,-113.83549,-62.455669,-164.58009,-46.144691,-99.151787,-8.2925463,166.51563
54775000,-12.384468,-126.51237,-68.035225,-13.338367,-41.166298,7.7094388,-8.7057695,160.00679
55770000,-12.572422,-138.03583,-49.522259,2.7523398,-47.190071,141.65698,-8.7344713,153.01704
56765000,-13.138625,-154.73413,-54.324844,-39.682701,-62.954472,131.56532,-8.580164,144.71593
57760000,-13.161842,-164.54665,-53.565281,-69.188904,-41.182709,169.23805,-8.2482405,137.77147
