!CSV A.01.01
!Keysight Technologies,P5024A,MY58100101,A.13.90.09
!Date: Friday, January 24, 2020 13:57:33
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(MAG),S11(DEG),S12(MAG),S12(DEG),S21(MAG),S21(DEG),S22(MAG),S22(DEG)
10000000,0.9727931,-91.117088,0.0011864776,-160.2083,0.0021988335,-135.01477,0.012647006,-130.6788
10995000,0.97965842,-100.25372,0.0025570488,158.57808,0.0014608947,20.88909,0.0096804956,-153.46106
11990000,0.96981061,-109.42155,0.0020595207,-26.674294,0.0014566284,-166.14441,0.0093341861,151.35092
12985000,0.96414584,-118.65338,0.0011850534,42.640823,0.0019007482,-143.66695,0.01080292,76.560989
13980000,0.95864415,-128.42664,0.00074518495,-56.30888,0.0016074654,116.84133,0.0022217941,70.625366
14975000,0.95407152,-137.81941,0.0007956035,39.36058,0.00043559101,-13.990312,0.010573851,1.1509342
15970000,0.94669551,-147.5583,0.00043923556,45.412949,0.0025223573,-133.5878,0.01077835,-40.529514
16965000,0.94173825,-157.64755,0.0019985011,107.99009,0.0023701803,166.2281,0.016037097,-25.662352
17960000,0.93427211,-168.05365,0.0040739723,105.25201,0.001949781,21.519281,0.014150242,-63.099701
18955000,0.92697233,-177.9059,0.0033301308,91.417961,0.0056676939,-84.091728,0.01696893,-56.601383
19950000,0.92317015,171.22816,0.0027685766,167.37015,0.0022537487,99.002472,0.020769095,-56.983219
20945000,0.92135447,160.49049,0.002513381,0.35206574,0.0025146336,94.234146,0.0044557457,-31.661854
21940000,0.9158681,148.92482,0.0022429023,-149.76591,0.0013942451,-152.40636,0.0150753,-54.002106
22935000,0.92286885,137.12877,0.0021831912,144.8002,0.0031681918,41.495697,0.016677372,-87.918221
23930000,0.92852086,124.60074,0.0014605299,-173.10168,0.0044122948,64.325333,0.023413545,-119.75744
24925000,0.93380708,110.50484,0.0015579682,39.687363,0.0042278185,109.41074,0.025812861,-146.90996
25920000,0.95951861,94.795128,0.0039570886,85.092537,0.0017912204,-163.78062,0.022004468,-154.03523
26915000,1.0051552,78.020798,0.00022985695,-57.188786,0.0067579164,-70.134613,0.013690943,173.25531
