!CSV A.01.01
!Keysight Technologies,P5024A,MY58100101,A.13.90.09
!Date: Friday, January 24, 2020 14:10:27
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG),S12(DB),S12(DEG),S21(DB),S21(DEG),S22(DB),S22(DEG)
10000000,-0.24920551,-90.716858,-59.872643,162.3026,-42.547516,-56.27597,-4.5169978,-162.6333
10995000,-0.23186988,-99.579742,-53.801689,-162.39474,-35.08749,117.90414,-5.1606755,-175.95692
11990000,-0.37174049,-109.46311,-51.255222,116.07064,-33.842041,-40.91185,-5.7590585,171.86859
12985000,-0.29993981,-118.66839,-51.183277,-149.911,-30.435909,-46.163162,-6.301404,160.31784
13980000,-0.36963761,-128.4518,-49.541538,-63.088634,-35.88586,28.767689,-6.7539635,147.87498
14975000,-0.43988669,-137.95735,-51.266369,98.161415,-32.032837,-172.86836,-7.3556538,136.62849
15970000,-0.48492232,-147.65126,-62.864208,165.97008,-54.962517,128.85364,-7.5673246,126.91331
16965000,-0.55782241,-157.57664,-53.613953,-143.92398,-32.929264,-143.45575,-8.0241823,114.68102
17960000,-0.5725289,-167.75031,-59.120132,24.444592,-37.075241,90.54847,-8.4960203,103.52893
18955000,-0.63373971,-177.925,-58.118454,50.863155,-30.104723,24.163576,-8.8285971,94.276917
19950000,-0.64771837,171.28717,-52.515041,-179.07082,-43.616066,-136.67345,-8.8072405,81.935982
20945000,-0.74201661,160.34204,-55.099339,70.915459,-36.901138,19.798155,-9.5052786,71.598236
21940000,-0.69321209,148.84987,-49.783356,-71.558456,-37.558334,65.506462,-9.6975574,61.725334
22935000,-0.71540266,136.89394,-47.282055,-58.303295,-31.505487,-116.01788,-9.6798487,53.2047
23930000,-0.73446357,124.12396,-49.164257,-2.7112021,-32.844982,16.766632,-9.759264,43.699699
24925000,-0.56602132,110.72749,-54.761276,153.39079,-32.085381,-95.746231,-9.9668417,35.805481
25920000,-0.33360305,95.716309,-55.11948,99.272049,-33.791218,7.7933793,-10.052197,24.113171
26915000,-0.077530436,77.899506,-51.039814,-106.15253,-29.261978,-46.831017,-9.9560318,14.701899
27910000,0.56632233,57.191795,-50.507175,114.31344,-25.785347,-137.61729,-9.8653936,7.6623349
28905000,1.1472614,29.563032,-53.082676,-51.510216,-15.40819,-175.33981,-9.8049116,-7.8330584
29900000,1.951914,-9.0277357,-45.590714,-95.273781,-8.1649971,115.9137,-9.528039,-13.129945
30895000,1.6515998,-59.812481,-51.528217,90.901413,-2.6725197,77.639816,-8.1942167,-16.015179
31890000,-0.55174303,-112.36407,-55.648911,55.760113,-4.8669724,-43.089565,-10.396592,-34.622898
32885000,-3.0284731,-156.31586,-58.677238,28.919514,-6.6236167,-170.59543,-8.8962545,-31.523888
33880000,-4.819386,166.63698,-52.270092,-101.77948,-4.1286826,-120.21964,-6.3033757,-38.531475
34875000,-5.8629866,137.16577,-62.77813,109.9342,-6.5782433,169.68262,-10.815423,-56.344486
35870000,-6.5558228,117.28172,-50.889812,85.753586,-6.1544642,151.27992,-9.7352295,-57.849007
36865000,-7.052454,98.461174,-46.455608,47.110584,-2.7317445,20.276634,-8.7623987,-56.875145
37860000,-6.9519234,83.338509,-63.585621,-42.654346,-1.3918608,48.962448,-8.4977503,-64.713516
