!CSV A.01.01
!Keysight Technologies,P5024A,MY58100101,A.13.90.09
!Date: Friday, January 24, 2020 13:57:14
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG),S12(DB),S12(DEG),S21(DB),S21(DEG),S22(DB),S22(DEG)
10000000,-0.19077532,-90.786873,-49.905087,89.082588,-45.363682,-111.98749,-39.292973,-152.91983
10995000,-0.33648762,-100.38933,-55.68618,-126.34989,-54.469006,176.22603,-38.279545,157.64799
11990000,-0.26491654,-109.16327,-54.727722,93.820084,-51.829487,-12.867801,-41.872429,159.67259
12985000,-0.27976871,-119.13863,-46.665493,-27.314337,-55.579498,-21.475224,-57.237068,-107.53365
13980000,-0.36356673,-128.54874,-50.980732,176.08144,-55.226723,-69.80114,-40.640549,66.288902
14975000,-0.38333854,-137.6797,-73.924492,-4.8469772,-47.669758,-103.59864,-38.428085,11.807314
15970000,-0.45227566,-147.66068,-55.873676,-47.645729,-54.519081,-104.58325,-38.40271,10.166368
16965000,-0.51904309,-157.82057,-49.784962,-94.179054,-47.446625,52.775536,-35.541027,-8.3621397
17960000,-0.61417937,-167.77371,-50.831238,-26.101795,-58.11208,-23.887589,-33.688332,-13.680405
18955000,-0.61700463,-177.95724,-67.689522,148.00812,-49.277393,-171.11908,-33.450344,-40.391987
19950000,-0.71343905,171.05499,-51.152035,110.23653,-50.300953,141.74219,-37.114857,-94.264603
20945000,-0.7102223,160.26796,-52.188641,156.61084,-47.940342,-130.1808,-39.504539,-12.272294
21940000,-0.75664735,149.21486,-51.507599,-128.6916,-54.366737,-169.1273,-38.432114,-64.069145
22935000,-0.72529006,137.21565,-57.651798,-109.82878,-46.830154,-49.4426,-32.937546,-116.93202
23930000,-0.67079747,124.31526,-54.557598,-15.622033,-45.860538,7.5498343,-31.488594,-124.94367
24925000,-0.51232815,110.13968,-55.732811,-135.35365,-69.802475,-83.896347,-34.035851,-136.90929
25920000,-0.31802529,95.678238,-57.372097,114.4919,-46.570282,80.268021,-32.613422,-158.17072
26915000,0.056831412,77.303375,-63.074696,-108.51382,-42.417126,-59.621658,-34.747868,-150.88657
27910000,0.66368484,56.302414,-56.611652,-57.453598,-38.500793,-102.10761,-39.744171,-162.23257
28905000,1.1608143,29.36517,-55.109215,72.066795,-33.251247,-166.75525,-35.081493,-159.9144
29900000,2.0378911,-9.1342154,-50.754776,125.2123,-27.552519,112.57462,-40.381367,-127.84478
30895000,1.5747201,-59.34856,-47.433109,84.835175,-22.222963,36.968388,-30.837017,-102.29297
31890000,-0.42668468,-113.09064,-61.423515,26.413008,-19.059353,-19.480816,-44.94714,-108.98943
32885000,-3.0498338,-157.46362,-47.561962,44.605595,-22.626345,-117.3501,-40.201298,-119.40313
33880000,-4.8678689,166.91203,-51.256519,130.04401,-20.573774,161.80754,-34.939487,-116.79375
34875000,-5.667974,139.00386,-58.388046,35.266201,-23.511301,142.30537,-36.175346,-114.99443
35870000,-6.425231,118.07449,-48.673542,-104.45966,-26.075829,101.15574,-32.887936,-168.56732
36865000,-6.9688711,99.185211,-40.317497,172.48119,-19.63389,77.898087,-34.114811,-169.7041
37860000,-7.2010403,81.517815,-46.905495,121.58608,-31.012197,101.55108,-35.126774,-152.81589
38855000,-7.4853702,69.640312,-52.276756,-7.0183372,-25.358143,-56.840725,-37.598034,-147.80328
39850000,-7.6600924,56.571739,-63.521694,-21.950226,-20.215324,-65.211662,-32.082897,-157.34068
40845000,-7.5530472,44.314716,-59.36972,-51.40377,-22.637005,-54.900288,-32.468208,-160.23985
41840000,-7.9161539,30.675337,-53.328022,-56.375042,-19.250334,-88.157143,-34.603298,-148.5943
42835000,-8.2817373,18.081842,-43.167488,-140.02687,-21.712311,-138.86772,-46.1982,-119.86092
43830000,-8.2112284,8.3450756,-50.29179,-41.505714,-21.69924,-167.98743,-38.538326,-50.528618
