!CSV A.01.01
!Keysight Technologies,P5024A,MY58100101,A.13.90.09
!Date: Friday, January 24, 2020 13:56:57
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(REAL),S11(IMAG),S12(REAL),S12(IMAG),S21(REAL),S21(IMAG),S22(REAL),S22(IMAG)
10000000,-0.013925249,-0.97391093,-0.00069631671,-0.0026408848,-0.00032618543,0.0030747161,-0.0095919464,-0.0042841602
10995000,-0.16721046,-0.96266001,-0.0033521203,0.0036219135,-0.0030886792,0.00090966554,-0.01113572,-0.0010913343
11990000,-0.31984755,-0.91206169,-0.0031126675,0.0030856002,0.0022604039,-0.0046950225,-0.011414408,0.0077165957
12985000,-0.47380161,-0.83937466,0.0017940596,-0.0018787654,-0.0024694232,-0.0011088472,0.0024783427,0.014556087
13980000,-0.59484565,-0.75277191,0.0027627347,-0.0007215293,0.00050698465,0.00027023364,0.00017437432,0.0041944678
14975000,-0.70484048,-0.63820517,0.00047303821,-0.00050323637,6.1094368e-005,-0.0025681588,0.012403998,0.0048473985
15970000,-0.80432874,-0.51063508,-0.00043360982,-0.00070658914,-0.00034472169,0.00058682589,0.015288179,-0.015140966
16965000,-0.87333405,-0.35943645,8.4186075e-005,-0.0016168815,-0.0010743204,-0.0010333237,0.01420134,-0.020065358
17960000,-0.91479272,-0.1957467,0.0013490285,0.0020870175,0.0017531097,-0.0013882787,0.008806861,-0.014368176
18955000,-0.92927468,-0.032558184,-0.00090872479,-0.00087768206,-0.00043056477,-0.00052621466,0.010681821,-0.010714489
19950000,-0.91194409,0.14144973,-0.00390329,-0.00075035304,0.00039708894,0.0018178193,0.0076298914,-0.016925151
20945000,-0.86582977,0.31223699,-0.0008880372,0.0014929617,0.0010155834,0.00039739787,0.01764733,-0.010993669
21940000,-0.78636318,0.47522935,-0.004168117,-0.0016955453,0.0015516939,-0.0033656515,0.001441958,0.001111527
22935000,-0.67312402,0.62512076,0.001131213,0.002529663,-0.0030070764,-0.000420292,0.0028807549,-0.017542413
23930000,-0.52974355,0.76938426,0.0018385722,-0.0018736989,0.0014206114,-0.0012928724,-0.011431559,-0.019754613
24925000,-0.3242431,0.87627792,0.0011302411,0.0023341987,0.00068858755,-0.0012409332,-0.028332258,-0.014878285
25920000,-0.094912849,0.96905643,-0.0038988765,-0.00075068866,0.0031910769,-0.0018922713,-0.019172754,-0.011013125
26915000,0.21355712,0.98004478,-0.00055748312,0.0012470598,-0.0014853058,-0.0043879566,-0.015151021,-0.013637652
27910000,0.57956797,0.88812506,0.0031641989,-0.00077289896,-0.0031916082,-0.012504566,-0.010808246,-0.013944595
28905000,1.0063668,0.55592352,0.0015076911,-0.0018694904,-0.019023078,-0.003636766,-0.001896314,-0.0048047374
29900000,1.2467169,-0.19101411,0.0017841327,-0.00073533924,-0.016908322,0.043469038,-0.019065185,-0.0066028773
30895000,0.61476618,-1.0357684,0.0005127177,-0.0017452206,0.05292609,0.017603111,-0.012635633,-0.035216566
31890000,-0.37186775,-0.86611694,-0.002562877,0.0029475833,0.05562244,-0.06110058,-0.022083757,-0.019080475
32885000,-0.64650911,-0.27391496,-0.0015462333,0.0052000131,-0.0018905625,-0.08889588,-0.0074820728,-0.011249939
33880000,-0.5540747,0.12920681,-0.00010015564,0.0024962467,-0.064110495,0.020541882,-0.012395265,-0.030674726
34875000,-0.39053288,0.33049712,-0.0018238981,-0.0019394478,-0.041010037,0.039242025,-0.022353947,-0.0079325242
35870000,-0.2206199,0.42186561,1.5833322e-005,-0.00093920616,0.018360639,0.042076226,-0.0013388603,-0.02367405
36865000,-0.072092742,0.43754658,-0.0025837808,-0.0042258068,0.0031373713,0.051733531,-0.0067047589,-0.01434488
37860000,0.057253767,0.42335859,-0.0038391517,0.0027723429,-0.02519466,0.056412973,0.0036129316,-0.0095625464
38855000,0.15425046,0.38795707,-0.0051593618,-0.0013990867,0.071673617,-0.0033590749,-0.010796571,-0.012764356
39850000,0.25376856,0.3493365,0.0011311577,-0.0014337212,0.0047922693,-0.016253455,-0.025909722,-0.0022397505
40845000,0.29022661,0.29032385,0.0057745841,-0.0014142093,0.019133562,-0.045491464,-0.0096860817,-0.0076997164
41840000,0.33769044,0.20727764,-0.0026720415,0.0010519734,-0.00035424996,-0.15440235,-0.022253854,0.0045769387
42835000,0.37677652,0.12547933,0.00033345455,0.0020888224,-0.076253615,-0.082265325,-0.016239662,-0.0032700361
43830000,0.36803824,0.048143312,-0.00059676141,-0.0018749455,-0.096806519,-0.0054750061,-0.010954873,-0.010779983
44825000,0.35565975,-0.023853313,0.0026065235,-0.0010523632,-0.15787999,0.055756986,-0.010894357,0.012143885
45820000,0.34682849,-0.093515143,-0.00048832223,-0.0026615292,-0.053065706,0.10671244,-0.027557319,-0.002373032
46815000,0.29180574,-0.16923995,0.003053203,0.0015659838,0.01791857,0.10977632,-0.029614488,0.0078968443
47810000,0.26327828,-0.21071275,-5.7189773e-005,0.0017438562,0.089081399,0.099431604,-0.015356438,0.010794091
48805000,0.20529838,-0.23525511,0.0045653405,-1.8104422e-005,0.15073214,0.023869006,-0.010804361,0.029364804
49800000,0.13836141,-0.28136164,0.0035228662,0.00076147699,0.11998161,-0.015427249,-0.0171907,0.010220679
50795000,0.080988444,-0.28150359,0.00058258494,-0.00052695372,0.04189964,-0.12967657,-0.009273733,0.0044307299
51790000,0.010181515,-0.27190211,0.0055920435,0.0055814888,0.048277456,-0.17580296,0.0012665703,-0.0045898105
52785000,-0.038376343,-0.25649008,0.00062943168,0.0012125552,-0.11023732,-0.21293919,-0.020245006,0.0057451683
53780000,-0.09909866,-0.24504845,0.0011744768,0.0015154147,-0.20718919,-0.06913922,-0.012087631,0.015108812
54775000,-0.14274222,-0.20224753,-0.00111776,0.0005030458,-0.22876294,0.028238738,0.00013693776,0.020632625
55770000,-0.17527996,-0.15603255,0.0010151652,-0.0013913268,-0.24548982,0.18977426,-0.012149162,0.011260565
56765000,-0.20540725,-0.10112015,-0.0038257607,-0.0036398906,-0.087071449,0.24940991,-0.006406588,0.014889806
57760000,-0.21607821,-0.051589556,0.0012033326,-0.00180466,0.093122497,0.2506997,-0.010373016,0.017012153
58755000,-0.21560863,0.021248849,0.00097580178,0.00057508331,0.2190409,0.15734634,-0.0034832675,0.014671425
59750000,-0.2047061,0.060257073,-0.0010464935,0.0026504707,0.28882384,0.06800063,-0.016346345,0.010454065
60745000,-0.17303102,0.10952135,0.0011919483,-0.0016166499,0.27328226,-0.12564632,-0.0057396037,0.0023699224
