!CSV A.01.01
!Keysight Technologies,P5020A,MY58100190,A.14.10.03
!Date: Tuesday, June 23, 2020 18:36:42
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(MAG),S11(DEG),S12(MAG),S12(DEG),S21(MAG),S21(DEG),S22(MAG),S22(DEG)
1000000,1.0017474,-5.5557866,0.0033780951,-136.47556,0.015166974,25.209734,0.9760437,-10.928256
1499500,0.99827063,-8.2547321,0.00045899872,-110.51553,0.016101129,-175.34964,0.99449337,-17.787683
1999000,0.99682069,-10.790637,0.0011411759,13.743531,0.011805587,46.693512,0.98214853,-23.962154
2498500,0.99901849,-14.033757,0.00077941915,60.093746,0.041272115,173.75256,0.94868618,-30.373014
2998000,0.99654245,-16.50152,0.00080324442,92.309685,0.019363318,-124.5332,0.95226222,-35.762756
3497500,0.99322641,-19.124844,0.0015765068,80.967468,0.012475405,-121.9377,0.91586512,-42.458134
3997000,0.99302542,-21.980986,0.001734518,-5.2511363,0.024462735,81.109573,0.92057878,-44.786888
4496500,0.99540228,-24.62837,0.0011991678,53.234257,0.02329177,40.338001,0.92599893,-52.286537
4996000,0.99600273,-27.458033,0.00086117239,-123.83961,0.026143383,99.206207,0.88990784,-60.527435
5495500,0.99079359,-30.180744,0.0006207343,145.46338,0.023871792,-172.86484,0.85450792,-65.44381
5995000,0.98997182,-32.980255,0.0012008039,66.551941,0.031861976,-160.92165,0.8681705,-69.997246
6494500,0.9909848,-35.908356,0.00069674628,40.448551,0.024355635,-37.395168,0.83198977,-76.099731
6994000,0.99115038,-38.760616,0.00113333,-165.40675,0.024256393,86.802284,0.78806812,-81.81382
7493500,0.98646843,-41.495354,0.00056652998,61.493374,0.034692742,-86.79464,0.68913311,-83.45443
7993000,0.98507673,-44.483433,0.00076493202,-169.31416,0.020880027,30.475939,0.69814658,-89.819618
8492500,0.98428309,-47.24015,0.00062032667,90.782394,0.035546806,63.549694,0.67702723,-95.877655
8992000,0.98175561,-50.158859,0.0010350602,-143.51057,0.043537699,-56.885643,0.66821271,-97.689285
9491500,0.97853464,-52.99802,0.00024351219,162.90561,0.033708233,18.310427,0.61085814,-104.25504
9991000,0.98085344,-55.590553,0.00033269799,158.91045,0.018660014,-95.175041,0.58478516,-108.86189
10490500,0.9751882,-58.580547,0.00052971847,-85.590599,0.013100194,141.79689,0.59063816,-108.54273
10990000,0.9732219,-61.562824,0.00078421971,-100.89594,0.030114153,-83.446014,0.6052475,-115.17303
11489500,0.96923113,-64.453896,0.0015462214,-30.282942,0.01923354,-89.81163,0.56554723,-116.11514
11989000,0.96396035,-67.492477,0.00088536978,45.509361,0.025205791,33.665047,0.52294821,-123.42046
12488500,0.96167618,-70.543015,0.00056683872,7.5470109,0.021082424,132.22644,0.50443172,-126.20675
12988000,0.95982736,-73.408371,0.00028545217,133.21758,0.048531041,1.6298798,0.49910769,-128.34094
13487500,0.9550662,-76.464096,0.00073868304,-178.82646,0.022676036,67.486092,0.48517424,-130.55878
13987000,0.95348233,-79.433022,0.00047974155,117.44938,0.016219046,-48.706974,0.50671601,-131.57753
14486500,0.95159799,-82.482895,0.00028473028,-95.246552,0.037028607,61.222004,0.4909496,-140.42555
14986000,0.94699723,-85.653473,0.00031019212,-21.160152,0.029921763,-53.20808,0.43885398,-138.1575
15485500,0.94217879,-88.666336,0.00014284549,-163.45645,0.010628851,-116.66525,0.4472422,-141.97032
15985000,0.94144273,-91.886597,0.0011269435,18.686487,0.019328538,-155.41156,0.45363256,-149.21228
16484500,0.9372806,-95.133652,0.00084885728,-65.268028,0.060556185,-65.037308,0.42850378,-144.58243
16984000,0.93619454,-98.485542,0.0012717999,-12.656073,0.054752622,-26.305176,0.39478046,-150.35812
17483500,0.93387723,-101.76969,0.00020853899,-3.3119535,0.014629209,154.7113,0.40452218,-156.07021
17983000,0.93094164,-105.13261,0.00078241091,-54.37746,0.034215316,-104.77567,0.41697192,-157.53807
18482500,0.92983884,-108.66609,0.0010974992,127.91957,0.027984586,-149.57079,0.39694411,-157.93936
18982000,0.92966694,-112.30935,0.00090236275,175.17799,0.05438666,-15.918681,0.39316347,-166.07222
19481500,0.92878532,-115.98783,0.00063512381,120.01904,0.033626772,-90.07373,0.39521095,-160.64186
19981000,0.92915398,-119.8313,0.00057358795,58.807999,0.058278296,-121.86201,0.36743975,-168.62975
20480500,0.93084979,-123.82815,0.00051313301,-104.17033,0.031946477,157.5869,0.40099725,-171.47815
20980000,0.93120062,-128.10751,0.00040834665,74.318329,0.021878436,-131.12718,0.36165482,-172.80304
21479500,0.93630677,-132.48914,0.0001516106,-150.57544,0.03258187,-157.98055,0.35127595,-174.11421
21979000,0.9414193,-137.26146,0.00059608027,-163.55058,0.049915977,-169.23131,0.36126506,178.30246
22478500,0.94759661,-142.25217,0.001270898,-31.064882,0.053619787,-130.12093,0.37772331,-178.83365
22978000,0.95857257,-147.55046,0.001002221,108.57169,0.026691319,72.793755,0.38122302,-179.77701
23477500,0.97051203,-153.72469,0.00053569302,174.94104,0.020092737,64.365364,0.34926432,178.35176
23977000,0.98343498,-160.55563,0.0008065615,-96.800934,0.0077994959,58.919891,0.35548976,171.78714
24476500,1.0000374,-168.06496,0.00085990538,-45.026993,0.059192229,14.066885,0.34536645,172.39125
24976000,1.0163732,-177.04097,0.00037381161,96.88195,0.061682619,46.719826,0.32006407,168.82077
25475500,1.0398149,172.90494,0.0011834512,-135.70558,0.16604225,2.1462009,0.36332917,168.9597
25975000,1.0564195,160.43915,0.0015377392,-135.73367,0.17950034,-24.121456,0.32299313,166.1962
26474500,1.0640458,145.77858,0.00067091663,-117.23086,0.28375447,-31.23395,0.35168317,162.05553
26974000,1.0548806,128.16374,0.0019943509,101.4341,0.40370718,-47.010406,0.36383173,159.00339
27473500,1.0036701,107.65199,0.0013927434,-128.24783,0.50343168,-66.69474,0.32264268,160.0882
27973000,0.90708154,84.557404,0.00045534232,37.981838,0.61974633,-84.75087,0.36121747,159.3497
