!CSV A.01.01
!Keysight Technologies,P5024A,MY58100101,A.13.90.09
!Date: Friday, January 24, 2020 14:13:22
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),B(DB),B(DEG)
10940000,-84.016129,0
11130000,-82.357162,0
14250000,-83.214088,0
16850000,-81.358223,0
17370000,-80.438553,0
20420000,-81.415413,0
22850000,-84.246887,0
24800000,-79.332603,0
25570000,-72.891472,0
28230000,-71.441055,0
30890000,-64.907295,0
31160000,-61.977642,0
34770000,-61.122925,0
35760000,-61.287376,0
38670000,-62.511612,0
38870000,-62.943825,0
41670000,-62.500031,0
44230000,-61.623318,0
44960000,-62.069557,0
47090000,-62.968346,0
49210000,-63.15604,0
52260000,-63.258484,0
54360000,-63.551659,0
56700000,-64.235741,0
56840000,-64.972397,0
60740000,-64.018631,0
62180000,-64.191711,0
64180000,-64.270958,0
64800000,-64.527863,0
66800000,-64.59127,0
69620000,-64.226753,0
72010000,-64.163857,0
72950000,-64.737717,0
76570000,-64.58461,0
77440000,-65.259598,0
79200000,-65.80851,0
82620000,-64.62513,0
82750000,-64.217224,0
85980000,-64.864449,0
87440000,-64.88884,0
90430000,-64.805527,0
90630000,-64.80825,0
93640000,-64.833313,0
96490000,-64.307083,0
96940000,-64.54039,0
98710000,-65.413986,0
102260000,-65.794632,0
102670000,-64.804916,0
106140000,-64.488693,0
106640000,-64.232559,0
109310000,-64.430367,0
111840000,-65.853325,0
114080000,-65.513687,0
114680000,-64.415749,0
118360000,-63.493153,0
118790000,-63.056957,0
120510000,-60.183533,0
123910000,-57.138302,0
126060000,-55.756218,0
127100000,-55.277538,0
129980000,-55.626976,0
131960000,-55.339333,0
133090000,-53.94894,0
134660000,-53.792255,0
137890000,-55.200382,0
139240000,-55.513573,0
142270000,-54.736622,0
144060000,-54.257698,0
146210000,-54.164356,0
148240000,-55.416008,0
149010000,-55.524593,0
150390000,-54.742889,0
153060000,-54.05336,0
154700000,-54.134045,0
156950000,-55.181129,0
159260000,-55.374367,0
160740000,-54.623936,0
163340000,-54.583168,0
164720000,-54.514835,0
167640000,-55.269081,0
168640000,-55.49519,0
170320000,-54.905338,0
172270000,-55.098618,0
175980000,-55.261181,0
177640000,-54.992641,0
178860000,-55.319592,0
180270000,-56.25555,0
182910000,-55.740204,0
184460000,-55.422352,0
186590000,-55.029873,0
188280000,-55.234665,0
190590000,-56.459152,0
192900000,-56.394554,0
194240000,-56.014931,0
196990000,-55.60342,0
199700000,-56.391842,0
200340000,-56.723255,0
203420000,-56.68924,0
204200000,-56.587543,0
207750000,-56.317799,0
208920000,-56.552971,0
211910000,-57.030499,0
212530000,-56.888802,0
214000000,-56.786362,0
216100000,-56.61805,0
219570000,-57.242664,0
220120000,-57.879646,0
223380000,-57.284424,0
224090000,-57.263668,0
227240000,-57.267208,0
229810000,-57.896881,0
231140000,-57.8512,0
233070000,-56.947662,0
235570000,-56.811771,0
235870000,-57.537628,0
237890000,-57.988129,0
240800000,-58.027447,0
243760000,-57.865044,0
244790000,-57.664688,0
246380000,-57.659153,0
248960000,-58.462475,0
250530000,-58.407845,0
253200000,-58.102043,0
254000000,-57.927635,0
256680000,-57.974495,0
259570000,-58.495068,0
259930000,-58.28709,0
263590000,-58.576626,0
265410000,-58.128487,0
267440000,-58.21402,0
269440000,-58.268936,0
271000000,-59.007004,0
272180000,-58.865162,0
274540000,-58.482227,0
277540000,-58.211048,0
277700000,-58.634308,0
279740000,-58.997665,0
281640000,-59.296173,0
285140000,-59.359283,0
287250000,-58.727757,0
288600000,-58.670757,0
289920000,-58.756882,0
292790000,-59.202446,0
294830000,-59.393475,0
295680000,-58.745796,0
298660000,-58.64695,0
300060000,-59.290264,0
302410000,-59.294746,0
305230000,-59.790882,0
306580000,-59.124527,0
308330000,-59.08757,0
310880000,-59.360077,0
311810000,-59.598663,0
314100000,-58.886749,0
315720000,-59.066029,0
317790000,-59.798389,0
319850000,-59.991909,0
323240000,-59.666546,0
323630000,-59.245762,0
326280000,-59.72723,0
328840000,-60.150768,0
331140000,-60.18235,0
331500000,-60.035049,0
335000000,-59.353813,0
335940000,-59.610802,0
337790000,-60.541412,0
339910000,-60.951435,0
