!CSV A.01.01
!Keysight Technologies,P5024A,MY58100101,A.13.90.09
!Date: Friday, January 24, 2020 13:33:18
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG),S12(DB),S12(DEG),S21(DB),S21(DEG),S22(DB),S22(DEG)
10000000,-0.38819206,-118.35878,-57.723953,-110.12669,-42.440968,-16.081778,-41.959431,153.90369
10995000,-0.48900416,-129.82603,-57.522182,11.812163,-39.793091,45.143238,-40.548428,-177.03197
11990000,-0.59669697,-141.79749,-48.563976,-119.60667,-38.322319,-151.74388,-41.027325,179.52129
12985000,-0.71835721,-153.82353,-47.843365,-61.677887,-42.554169,125.13375,-51.042782,124.13433
13980000,-0.85729915,-165.78416,-52.707577,168.93842,-42.368671,-102.50005,-39.235588,68.539986
14975000,-1.023744,-177.49892,-55.265339,-86.647369,-31.72077,-163.59309,-39.127071,33.055996
15970000,-1.203059,171.2426,-57.53471,58.531784,-29.491062,-99.234978,-41.529682,-34.467411
16965000,-1.3528779,159.27003,-54.011379,-58.194679,-31.357819,74.821625,-38.218273,8.4828262
17960000,-1.5041548,147.806,-53.424667,-35.44939,-28.616724,-132.74731,-33.113342,-47.652622
18955000,-1.5687823,136.06203,-57.59486,92.876633,-34.071724,-66.023422,-41.688938,-46.28175
19950000,-1.6821668,124.45798,-64.420364,-174.17921,-29.767603,-135.24768,-35.208103,-47.503796
20945000,-1.7941816,113.31789,-64.706406,-45.767006,-29.383661,-165.33783,-38.047367,-65.542595
21940000,-1.8746185,101.51623,-52.73674,-167.03281,-26.816673,-130.28357,-40.622898,-48.068119
22935000,-2.0577178,88.93837,-47.474918,-21.268734,-41.683365,-118.31128,-31.731207,-75.441994
23930000,-2.1802855,78.43602,-55.763073,-36.572945,-29.16053,-112.96819,-33.658936,-89.598793
24925000,-2.2303488,67.176277,-53.068188,164.44608,-32.018589,-127.92773,-33.306473,-125.66396
25920000,-2.22737,56.587147,-48.888546,-174.4783,-25.914612,123.78333,-31.719057,-163.41808
26915000,-2.5643449,45.189869,-47.870678,29.206493,-25.344687,173.32841,-37.057304,-169.80034
27910000,-2.5414407,32.382149,-51.276089,-163.29121,-20.223394,-143.54672,-36.867355,-169.0929
28905000,-2.5837257,20.945465,-53.052498,-46.985847,-27.165047,160.56822,-37.777584,176.32907
29900000,-2.7381158,10.223178,-55.472225,-131.2462,-20.788679,163.39111,-38.49342,-167.49033
30895000,-2.8725486,-2.924665,-43.49535,-35.777493,-16.995062,166.987,-30.143991,-169.21991
31890000,-2.9806995,-14.001291,-45.176868,-6.5925694,-23.248018,162.29906,-28.376608,-27.375618
32885000,-3.0135789,-25.875307,-47.204514,58.541107,-13.996187,155.54597,-34.019646,91.561913
33880000,-3.021709,-38.403347,-42.158371,118.6189,-12.740263,89.34906,-25.631285,-154.34329
34875000,-3.2249932,-51.13472,-51.132305,56.498905,-11.220653,82.169571,-25.322613,-147.35245
35870000,-3.4581008,-63.690224,-50.721733,-163.93671,-6.3147902,99.614807,-36.971066,-60.891247
36865000,-3.7265127,-74.823837,-44.95155,86.592323,-6.9778476,90.258492,-38.855724,-28.099936
37860000,-4.007297,-89.658051,-50.083637,-46.324032,-1.0069696,70.391777,-25.267353,-142.97997
38855000,-4.0779614,-100.18533,-50.315575,-150.22807,-1.7012419,32.014751,-29.628971,-66.975838
39850000,-4.4096713,-112.54326,-48.984062,-34.271023,0.99109876,35.29369,-26.700642,-105.50658
40845000,-4.8542929,-126.53804,-46.545456,-165.12875,1.5181355,12.978578,-31.160362,76.196068
41840000,-5.3155603,-138.01257,-48.659466,-60.473053,2.3157806,-11.409138,-28.691414,179.53876
42835000,-5.7574053,-149.82819,-65.665886,-71.301651,5.1031938,-24.501091,-31.748857,-169.32791
43830000,-6.1813893,-161.49104,-51.819702,108.32601,5.104579,-34.61467,-29.295492,140.82779
