!CSV A.01.01
!Keysight Technologies,P5024A,MY58100101,A.13.90.09
!Date: Friday, January 24, 2020 13:32:46
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(REAL),S11(IMAG),S12(REAL),S12(IMAG),S21(REAL),S21(IMAG),S22(REAL),S22(IMAG)
10000000,-0.451994,-0.83767509,-0.0011263689,-0.0027899172,-0.0080512473,0.0054947822,-0.018919673,-0.00062306988
10995000,-0.61044973,-0.71893919,-0.00061782595,-0.0011017217,0.0079023605,0.00032495763,-0.014719412,-0.0040477756
11990000,-0.73168826,-0.57112199,-0.0033100608,-0.0038342506,0.019500256,-0.016486298,-0.0093114916,-0.002258095
12985000,-0.82779962,-0.4069483,-0.0010184682,0.00024080156,0.0091667483,-0.0070089153,0.0048333206,0.012987405
13980000,-0.87572634,-0.22001863,0.0019708893,1.4628424e-005,-0.023953423,-0.002470602,-0.0077929641,0.0089037539
14975000,-0.88727188,-0.036021359,-0.0025695048,0.00082849769,0.012029223,-0.014733051,0.011415089,0.0021178843
15970000,-0.8650282,0.13686293,0.00075518701,0.00029707604,-0.0098670451,0.0027829763,0.0082196938,-0.0017544156
16965000,-0.80553961,0.30547509,0.00078806019,0.0001671263,-0.027300542,-0.0099201612,0.016734179,0.0055355229
17960000,-0.71709102,0.44317529,0.001011572,-0.0019466302,0.012398936,6.0003626e-005,0.014753247,-0.0064852121
18955000,-0.5950734,0.57609707,0.002306655,-0.0020804345,-0.023279089,-0.024487393,0.011227384,-0.013993512
19950000,-0.46921024,0.67890275,0.00097857264,0.00011814228,-0.017031863,-0.0084848776,0.016038371,-0.013573668
20945000,-0.31961137,0.74449056,-0.0012688662,0.0019355593,0.0086834617,-0.024677327,0.013366896,-0.0058819121
21940000,-0.16753829,0.77954817,0.0012028303,0.00077859859,-0.021760641,-0.038969964,0.0075466172,-0.0026738397
22935000,-0.0058027427,0.78225338,-0.0034398052,0.0011540925,-0.0040099728,-0.019241512,-0.0093633039,-0.012957662
23930000,0.15143532,0.76945347,-0.00082458288,-0.002109617,-0.028681193,0.0053493609,-0.0070682005,-0.016020542
24925000,0.30339298,0.70304358,-0.00014680461,0.0019453021,-0.045987248,-0.01133759,-0.019491632,-0.015488476
25920000,0.42309067,0.63195693,0.0013425582,0.0016942399,-0.049852133,-0.0037513808,-0.021181356,-0.0081137754
26915000,0.54454941,0.52192807,-0.00062679825,0.0004639721,-0.00070404413,0.059023928,-0.021774039,0.001915443
27910000,0.62961417,0.40584302,0.0027435091,-0.0011579575,-0.041660804,0.012610093,-0.015141129,-0.0026414895
28905000,0.6800831,0.26466721,-0.0026547001,-0.0022794351,-0.093694448,0.0070605609,-0.010876804,0.012698974
29900000,0.72573036,0.10872529,0.0017252211,-0.0030698462,-0.039654206,0.012217456,-0.0094704246,-0.0052844891
30895000,0.73261762,-0.029127767,-0.0015733525,0.00041941807,-0.17790078,-0.095336154,-0.02019077,-0.0070806555
31890000,0.67046446,-0.20181239,-0.001174093,-0.0015375586,-0.032497734,0.24012294,-0.032096464,-0.0021873757
32885000,0.61457056,-0.29802075,0.0022122625,0.00015481496,-0.086767547,0.10446649,0.023203775,-0.025364
33880000,0.54185766,-0.43498141,0.0013507216,0.002130453,0.12501226,0.22630654,-0.0037926256,-0.010412238
34875000,0.43424082,-0.53672326,0.006190774,-0.00053867139,0.074487939,0.35388282,-0.023211474,-0.083861291
35870000,0.28861043,-0.5874204,-0.00094420341,0.0026343816,-0.060045671,0.32999709,-0.01029754,-0.023194248
36865000,0.16854098,-0.64046562,-0.00029661841,-0.0016898463,0.2501834,0.48331633,-0.027980953,-0.028643539
37860000,0.016365023,-0.65372658,-5.2987132e-005,-0.001035589,0.48085022,0.54797179,0.013204703,-0.02885288
38855000,-0.10566016,-0.60992879,-0.001314862,0.0035915785,0.53274369,0.431885,-0.016639469,-0.033869185
39850000,-0.24196839,-0.54968297,0.002362746,-0.00012875661,0.70638984,0.3668071,0.0058223787,-0.036599439
40845000,-0.33450297,-0.46176749,0.00086343958,-0.0020450349,0.89141142,0.17113279,-0.0098764068,-0.040358108
41840000,-0.41155002,-0.36325583,6.5491469e-005,0.0017348916,1.2559241,-0.15618132,-0.031334747,0.0047945427
42835000,-0.44269878,-0.25944853,-0.0059103756,0.0048188847,1.5922692,-0.68415964,-0.0042224093,0.026373858
43830000,-0.46863127,-0.15597771,-0.00097039033,-0.00053815887,1.550166,-1.3375767,0.022094339,-0.00029465425
44825000,-0.4659535,-0.057340603,-0.0047384403,0.0011448304,1.2229396,-1.6693661,0.0074450434,-0.0042461571
45820000,-0.43893823,0.030721998,0.0030227702,0.005273636,1.2002558,-2.3071151,-0.012949419,-0.0122619
46815000,-0.39754564,0.098904453,-0.0004276312,-0.0013007283,0.52302539,-3.044709,-0.019587032,-0.014298243
47810000,-0.35344633,0.16338328,0.00039508194,0.00084414642,-0.1048606,-3.3127561,0.015281054,0.040255208
48805000,-0.30026299,0.21316659,0.0050325068,-0.0018381517,-1.2989109,-3.583833,-0.023746222,0.00017730445
49800000,-0.2388985,0.24188462,-0.0011471802,0.0016443291,-2.184679,-3.6425946,-0.044201549,0.028890524
50795000,-0.18193664,0.2637822,-0.00098173798,-0.0054528601,-3.6605458,-3.1520422,-0.035051908,0.026879499
51790000,-0.12402556,0.27866563,-0.0019994806,0.0017142905,-5.1186752,-2.5256894,-0.040918268,0.0098639224
52785000,-0.074825019,0.28061593,-0.0011148183,-0.0018845974,-6.0708785,-1.4270432,-0.07168559,-0.035374444
53780000,-0.027087802,0.27025852,0.0045083943,0.001095916,-7.1769776,-0.13988769,-0.022893516,0.032226738
54775000,0.023927139,0.25917709,0.0010627188,-0.0025182606,-7.8873839,1.7868273,0.0013016388,-0.031250749
55770000,0.040362682,0.24116574,-0.0016166776,-0.0010815589,-7.7512026,3.8040318,0.014311591,-0.0048407069
56765000,0.08239153,0.20591514,0.00073353248,-0.0011988361,-7.1368556,6.0479031,-0.027527506,0.046167135
57760000,0.097488478,0.1918612,0.00027539744,0.0010357278,-6.8633356,8.2145281,-0.025632991,0.02226482
58755000,0.12414374,0.16566275,0.0013413901,0.0014751183,-4.9830041,10.442873,-0.0064833793,0.013032247
59750000,0.14078975,0.15274452,-0.0013162628,0.0026022468,-3.0976541,12.412105,0.02100656,-0.012564029
60745000,0.14671579,0.11943737,0.0011527761,-0.00013401378,-0.1683301,13.496127,0.03568266,-0.005342715
