!CSV A.01.01
!Keysight Technologies,P5024A,MY58100101,A.13.90.09
!Date: Friday, January 24, 2020 13:47:41
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(MAG),S11(DEG),S12(MAG),S12(DEG),S21(MAG),S21(DEG),S22(MAG),S22(DEG)
10000000,0.9499734,-117.76382,0.00067522819,-74.254265,0.0091248192,-1.691492,0.021845093,-167.15633
10995000,0.94686049,-129.30762,0.00239535,134.83058,0.01549542,-59.342602,0.013281382,126.37011
11990000,0.93557179,-141.8056,0.0018871928,-142.66269,0.0017003954,36.436626,0.0065725534,-118.74384
12985000,0.91810656,-153.60271,0.0013583311,-77.560463,0.025181066,67.342636,0.0082073193,79.40184
13980000,0.90373105,-165.44498,0.0010467613,-15.350962,0.012440586,-25.41551,0.004206005,-6.3243976
14975000,0.8874265,-177.19995,0.001407653,158.17793,0.016864393,-157.82753,0.017467098,41.12104
15970000,0.87149966,170.92932,0.00041309994,94.270569,0.024848068,-83.459122,0.015699752,-9.1062279
16965000,0.85997015,159.18776,0.0049749413,134.06824,0.018068084,-52.116436,0.0054454585,-59.632462
17960000,0.83787799,148.13307,0.0017265062,-79.615875,0.0078190453,-77.920639,0.016076855,-36.271069
18955000,0.8333084,136.97543,0.0023725103,92.927986,0.0400724,-96.980278,0.01573468,-75.39843
19950000,0.8134765,124.63832,0.0028762962,-95.940636,0.027728373,-105.41596,0.017208401,-50.384033
20945000,0.80417615,113.2561,0.0016195449,45.03796,0.024647046,-50.008633,0.0052858531,-42.208622
21940000,0.80117714,101.89344,0.0015974035,-136.73306,0.045532472,179.40575,0.0075607677,-52.489616
22935000,0.78206974,90.865891,0.00061161717,178.65662,0.063631512,-160.14609,0.027094916,-80.890816
23930000,0.77426243,78.797615,0.0042262026,46.090958,0.064521052,-171.67946,0.017722892,-89.987633
24925000,0.76357538,67.071304,0.00049742486,-117.64598,0.0067437347,119.51226,0.024935849,-152.21004
25920000,0.74352437,55.020592,0.0019076339,92.311516,0.020791309,-149.54411,0.029886102,-148.24197
26915000,0.75805807,44.129242,0.0025340051,-80.523552,0.044036094,113.60726,0.013319419,-162.00339
27910000,0.74766243,32.029911,0.0013729205,-53.578213,0.087248698,146.50372,0.011089987,-154.38269
28905000,0.73489833,19.722874,0.0034352751,1.1168807,0.12048119,163.51236,0.011655678,167.76939
29900000,0.72533125,8.8162537,0.0049512228,-20.463728,0.1035943,162.58746,0.012727275,-105.815
30895000,0.72106493,-3.701916,0.0078358361,59.986328,0.24610391,172.61113,0.069757417,-112.50025
31890000,0.71085113,-15.904711,0.0040226374,117.71172,0.19128609,143.32024,0.044727873,-125.76559
32885000,0.68984425,-27.495876,0.00078656734,100.33149,0.082589976,173.67041,0.039195251,117.35615
33880000,0.67664164,-39.182728,0.0012426589,24.369005,0.30556726,150.13547,0.013546946,-163.73218
34875000,0.67760193,-53.551086,0.0060091303,36.822552,0.22362608,109.83194,0.083903871,-47.811825
35870000,0.66523087,-66.713837,0.00064385793,-175.14003,0.43991411,80.098145,0.028465804,-166.13225
36865000,0.64777571,-76.742828,0.0016068143,-135.33487,0.50491875,55.807888,0.010556724,129.27821
37860000,0.63271677,-91.506073,0.0047508604,-120.09355,0.5958311,64.466248,0.070375934,119.46082
38855000,0.60591769,-103.58982,0.0047108703,163.16481,0.85443556,28.061953,0.043894634,171.25632
39850000,0.58276159,-115.64027,0.0012103181,7.5733004,0.84186375,23.93646,0.04502723,142.56609
40845000,0.54883707,-128.35844,0.0072015892,47.250053,1.1238803,5.2822127,0.026561935,-126.76028
41840000,0.53399265,-140.00621,0.0034724737,-20.049067,1.4718379,-9.2708492,0.035020113,137.68927
42835000,0.50103283,-151.59679,0.0031266033,120.91116,1.8386012,-28.427528,0.068356059,-174.25644
43830000,0.47925475,-164.54349,0.00073789863,-160.70363,1.8422718,-35.641567,0.028347885,163.4633
44825000,0.44481081,-174.91615,0.0066028098,28.408485,2.6184456,-54.984169,0.039416693,81.805817
45820000,0.42043424,174.09486,0.0028496576,133.56738,2.6685789,-73.318008,0.023967862,90.087196
46815000,0.3932398,162.25153,0.0067181108,-125.49834,3.2415013,-84.850983,0.021555524,-139.36577
47810000,0.37445185,152.05884,0.0082360618,-46.588749,3.6075149,-101.69954,0.032189418,-105.35447
48805000,0.34061384,142.9364,0.003609621,71.226395,4.040844,-113.73235,0.075550906,-166.68483
49800000,0.32031643,130.4935,0.0036133225,30.114855,4.5928564,-132.71791,0.023217753,161.69312
50795000,0.30753347,121.013,0.0038293274,91.780983,5.131701,-141.55298,0.051994342,-171.92088
51790000,0.30261952,112.95622,0.0013948064,-37.806442,5.8371878,-153.82883,0.041813225,6.5554862
52785000,0.27902398,102.93725,0.0026197999,67.084023,6.3716583,-167.92693,0.044451252,-150.41609
53780000,0.26495767,93.257813,0.0030775354,-103.48801,7.2380099,179.81703,0.044597447,141.49883
54775000,0.23538658,85.803726,0.002310538,50.936825,7.7412992,163.87502,0.05333855,-164.47742
55770000,0.25179508,77.782104,0.0025008847,-123.131,8.8412952,152.74684,0.031165933,60.133801
56765000,0.22609504,66.853333,0.0023923926,-89.496651,9.7827816,138.76241,0.058969419,143.95148
57760000,0.20272066,60.038593,0.0048952624,-130.19214,10.471377,125.34713,0.012217321,165.18459
58755000,0.20012581,50.680897,0.00025567441,-171.53445,11.628394,112.83182,0.024280788,67.425163
59750000,0.18492086,41.262558,0.0010531617,80.554619,12.544185,99.869705,0.061194137,123.00821
60745000,0.17650251,35.856937,0.0027283104,-154.99666,13.807772,86.70993,0.048279002,-81.62606
61740000,0.17317252,25.651808,0.004512731,-2.2212036,14.978153,74.826012,0.046109065,-109.44321
62735000,0.18575609,20.780111,0.0027090451,-162.15024,16.598297,64.821259,0.0041283164,-53.95055
63730000,0.17335385,15.752748,0.0030102308,-82.105499,17.586046,51.889179,0.054347575,11.202621
64725000,0.15232131,5.3851252,0.003150373,-111.37262,18.678864,38.858421,0.026116135,-154.66431
65720000,0.16088727,-2.3426342,0.0037752159,-49.21703,20.537689,26.017649,0.043389369,-38.233154
66715000,0.13753451,-7.3005152,0.0017516979,173.91484,21.965219,15.391397,0.072338566,59.7234
67710000,0.1475928,-17.180426,0.0031589812,17.112511,23.634283,1.8758875,0.038456742,5.3970323
68705000,0.15943228,-23.608364,0.0032968707,-0.56992143,25.391827,-9.9301214,0.058688514,-88.235542
69700000,0.14916156,-26.607088,0.0034643661,66.96151,26.993469,-21.365248,0.016908091,172.34839
70695000,0.14661597,-38.040874,0.0008324738,143.57176,28.547209,-33.782516,0.068040229,69.881401
71690000,0.13464309,-43.173447,0.0010667001,-74.350288,30.302534,-45.190285,0.042495925,165.65227
72685000,0.14197001,-52.601597,0.0040051583,-147.22624,31.568563,-57.277763,0.061185122,105.44035
73680000,0.14504308,-57.267151,0.0031663694,56.557617,33.547913,-69.189537,0.060145531,3.4071798
74675000,0.13901968,-62.936138,0.0029932419,150.11665,34.939075,-80.700127,0.012323018,3.4136019
75670000,0.12948079,-68.299744,0.0025532204,-157.24501,36.825119,-92.221146,0.012559216,-164.54622
76665000,0.123511,-75.065529,0.0056015644,71.680107,38.415733,-103.5397,0.018331865,176.19672
77660000,0.13208318,-79.40876,0.0014009982,-30.088175,40.501228,-115.10702,0.015867718,33.384659
78655000,0.13278159,-91.772179,0.0028379445,-169.17329,41.422264,-126.40116,0.058188349,-128.39171
79650000,0.13352931,-95.326614,0.0037499524,0.10651252,43.170399,-138.6573,0.067656472,-129.82309
80645000,0.12620731,-98.375053,0.0041003963,142.71399,44.729988,-148.38521,0.033848215,6.1873198
81640000,0.13192753,-109.63528,0.0017709009,167.61353,45.546928,-160.76674,0.070985138,-176.8132
82635000,0.1167872,-111.08283,0.001836764,32.604176,47.09528,-170.25832,0.064610049,-164.58484
83630000,0.12190191,-119.61211,0.0022434413,-32.941952,48.434921,177.92108,0.055043284,39.467564
84625000,0.13230453,-129.63083,0.00034614603,127.56787,49.019775,167.55643,0.085203409,53.390232
85620000,0.12214646,-138.02312,0.00089197274,-29.197437,50.281837,157.44182,0.084429048,-171.86316
86615000,0.1172602,-141.81154,0.0055918624,-57.66573,51.847195,146.46126,0.063142173,121.0331
87610000,0.12797299,-150.12791,0.0032787316,112.22955,52.447929,136.17685,0.049383402,-71.297104
88605000,0.12512115,-155.47145,0.0049039871,107.69457,53.342899,125.73547,0.020318732,101.49253
89600000,0.1227349,-157.00848,0.0061892611,63.23732,54.747112,115.38074,0.013909192,-120.58117
90595000,0.1165028,-162.67047,0.0031135343,-7.8578978,55.496841,105.33021,0.079100445,149.80325
91590000,0.13229276,-168.73001,0.0032666,-158.2888,55.534573,95.40712,0.088873751,-54.163631
92585000,0.12290734,-177.43555,0.002399514,-18.703274,56.799858,85.184143,0.045394614,-98.143135
93580000,0.1274785,174.08209,0.0011212301,-163.97156,57.172451,75.88942,0.060098305,-39.084755
94575000,0.12132777,168.54979,0.0014868827,120.17565,58.300224,66.137138,0.10372393,-26.23403
95570000,0.11955155,163.85478,0.0037387547,-33.210705,59.524731,55.733982,0.038795192,-178.21062
96565000,0.12074922,160.02776,0.003312473,-143.13776,59.616352,46.376488,0.065394059,-163.48239
97560000,0.1193122,148.92378,0.0025226397,-6.885148,60.536133,37.135632,0.029172294,-16.469133
98555000,0.11245798,146.2728,0.00068504951,-34.710022,61.05978,28.266064,0.079497188,22.617943
99550000,0.1153691,137.49568,0.0008779426,-5.6523976,61.651379,18.049088,0.087985471,147.96939
100545000,0.12985928,136.53181,0.00046990303,36.596405,61.553101,8.9495869,0.060524132,-172.38721
101540000,0.11529522,129.30501,0.0029386312,83.745445,62.262424,-0.49219358,0.080266744,173.76358
102535000,0.11610167,126.94762,0.0041142032,42.895863,62.527145,-9.4465361,0.065597497,-175.70567
103530000,0.1124403,120.93528,0.0035863728,-21.548712,62.809021,-18.655497,0.097743385,-168.18723
104525000,0.12011945,110.39649,0.001099258,69.662605,63.922359,-27.194332,0.099179491,117.78691
105520000,0.11331359,104.51192,0.0020130528,-116.83226,64.663498,-36.488308,0.020780861,-170.00737
106515000,0.1206997,100.67064,0.0032852937,108.13257,64.704941,-45.020695,0.055316523,29.294447
107510000,0.11586919,96.709229,0.0027387703,23.846384,64.687393,-53.811893,0.1076877,140.22404
108505000,0.12945919,83.259201,0.003029241,23.515839,66.101669,-62.361553,0.033724733,-156.22412
109500000,0.12781261,82.760498,0.0017065412,80.099609,66.029572,-70.877426,0.04390135,100.76604
110495000,0.123958,76.092415,0.0015619001,-147.92471,66.258423,-79.738174,0.13136268,77.41375
111490000,0.11664787,65.771667,0.0032847822,147.24251,66.784332,-88.69001,0.028595984,-33.168251
112485000,0.11396261,64.421753,0.0018298506,-54.668259,66.754005,-96.994278,0.022468425,-148.64737
113480000,0.12594211,52.267246,0.0033921073,-116.14426,68.516327,-105.4153,0.024406118,-172.61511
114475000,0.12101392,46.486855,0.0021798783,44.008049,68.254631,-114.18651,0.044853184,-23.640903
115470000,0.12535815,40.377167,0.0015668785,-133.28687,68.223625,-122.61336,0.069731049,-74.535652
116465000,0.11618319,42.12339,0.0004760476,148.313,68.041222,-130.56187,0.069602877,95.063751
117460000,0.12235976,36.34985,0.0023444081,121.99091,68.935478,-138.73409,0.024419382,-175.28545
118455000,0.11617854,29.990221,0.0031539865,-153.48891,68.40313,-147.09448,0.058325894,141.28375
119450000,0.11807697,17.694639,0.0026377824,-154.09982,69.209572,-155.61012,0.06130546,-177.11043
120445000,0.12673029,11.63206,0.0016813972,-77.601692,69.797615,-163.29016,0.034209706,136.62962
121440000,0.12364011,7.1594706,0.0022810453,-167.21059,70.379234,-171.92268,0.053795829,15.06501
122435000,0.12831685,3.8261018,0.0046960693,51.315849,70.343956,-179.89018,0.044152848,-78.485428
123430000,0.11985695,-6.2423468,0.0010808954,177.24069,70.577019,172.1122,0.0032265689,123.83186
124425000,0.12361191,-9.3615818,0.0012232494,56.635456,70.936508,163.78603,0.044666577,113.84826
125420000,0.11995307,-20.48011,0.0018747824,21.399572,70.687378,156.02237,0.042957891,-171.32008
126415000,0.11783092,-17.016531,0.0028423001,110.2742,71.892532,148.16714,0.06440977,143.69249
127410000,0.1241182,-29.379847,0.0033525587,25.181814,71.24437,139.83521,0.13792408,102.54711
128405000,0.13744849,-37.639072,0.0026478919,-88.122353,71.99511,131.32735,0.05352309,47.190887
129400000,0.12289143,-46.73563,0.0031255004,166.07291,70.927643,123.73789,0.037922144,177.33604
130395000,0.12458983,-52.967751,0.0028718025,-160.11072,71.307816,115.76175,0.11176958,14.256122
131390000,0.13943909,-54.131062,0.0014146817,178.17207,72.361069,107.54118,0.02914395,-152.00089
132385000,0.13208385,-53.952503,0.0034210687,135.5321,73.517365,100.3168,0.053619023,114.7496
133380000,0.12862734,-62.035992,0.0014700831,-112.86306,73.382484,92.757141,0.05023564,67.391472
