!CSV A.01.01
!Keysight Technologies,P5024A,MY58100101,A.13.90.09
!Date: Friday, January 24, 2020 14:22:05
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(MAG),S11(DEG),S12(MAG),S12(DEG),S21(MAG),S21(DEG),S22(MAG),S22(DEG)
9000,0.99872518,-0.33416945,0.017390195,-27.479561,0.023885729,-178.786,0.98685956,-0.58971387
1008995.5,0.98923963,-11.899955,0.0029592328,-177.49919,0.03862042,-102.8206,0.96559727,-15.223957
2008991,0.98228776,-24.269838,0.0012582785,151.39284,0.070360579,-112.08651,0.96087974,-33.970314
3008986.5,0.98890746,-34.408676,0.0034019367,83.389923,0.1028899,-67.111473,0.95313895,-50.497795
4008982,1.005635,-47.057449,0.0039602537,-131.61255,0.11092617,162.21013,0.90676373,-68.870193
5008977.5,0.9868592,-58.407162,0.0030225106,-44.287903,0.15366195,-8.0602827,0.86910367,-84.877274
6008973,0.98861235,-70.217583,0.003693294,54.523224,0.19523539,117.34255,0.87232053,-98.442001
7008968.5,0.97363782,-82.192734,0.0039291936,-2.6374087,0.1366138,19.932846,0.8270818,-114.14322
8008964,0.98567027,-93.669556,0.00049380038,128.97845,0.16067857,-133.64935,0.80524176,-128.76678
9008959.5,0.96449459,-106.49709,0.00093280559,121.69701,0.040317032,137.08739,0.77507412,-141.40866
10008955,0.94387341,-117.58811,0.0029252628,175.14586,0.26142573,-135.49896,0.76836675,-153.4066
11008950.5,0.94547439,-130.12471,0.0014857452,-4.6979761,0.23633002,-130.37646,0.75517744,-167.31694
12008946,0.93797731,-141.92863,0.00061603554,-97.347,0.078778177,-37.375191,0.69052476,-178.40367
13008941.5,0.9216907,-153.96028,0.0023461394,-99.425316,0.17804936,21.264313,0.69752687,168.5175
14008937,0.90187454,-165.81737,0.0027970534,-28.725361,0.086069442,12.422344,0.65851563,154.26535
15008932.5,0.88774091,-178.01163,0.0019382365,112.37069,0.14685863,153.715,0.65330344,145.21938
16008928,0.86835885,170.38043,0.0012677696,-108.1629,0.13056014,-167.85747,0.66173965,131.4877
