!CSV A.01.01
!Keysight Technologies,P5024A,MY58100101,A.13.90.09
!Date: Friday, January 24, 2020 14:21:48
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG),S12(DB),S12(DEG),S21(DB),S21(DEG),S22(DB),S22(DEG)
9000,0.073293351,-0.96601927,-43.172344,154.46294,-33.680042,-155.83292,-0.21163124,-0.60165495
1008995.5,0.095239691,-11.539454,-45.107227,-102.71388,-34.827129,-61.284946,-0.18831299,-16.208986
2008991,0.052406039,-23.046846,-46.418625,-129.88554,-18.75279,81.217484,-0.24431911,-33.161785
3008986.5,-0.10834512,-34.800537,-73.053864,152.87607,-29.991611,85.58271,-0.34132236,-49.681293
4008982,-0.16167051,-46.008461,-44.907459,125.3402,-22.738518,4.1899381,-0.66002029,-66.038979
5008977.5,-0.017314907,-58.755466,-50.498119,52.068497,-18.763386,107.82021,-0.99749804,-83.145439
6008973,-0.020983819,-69.92794,-55.277287,-18.08511,-22.747242,69.223343,-1.272169,-99.418999
7008968.5,-0.21396026,-82.031052,-54.487297,-165.92142,-17.960739,162.53058,-1.3852099,-112.99934
8008964,-0.29977033,-93.520409,-46.926086,-86.19767,-17.795816,134.71581,-1.8042475,-127.60024
9008959.5,-0.24851801,-106.36922,-45.581688,-173.25873,-11.475224,124.78125,-2.0209806,-142.28889
10008955,-0.39709219,-117.84587,-45.489151,-67.943192,-25.542553,25.77615,-2.3625178,-153.73445
11008950.5,-0.47878015,-129.83899,-63.772427,-21.601109,-10.498796,-25.183905,-2.8011637,-168.25011
12008946,-0.59822965,-142.06273,-53.356434,-61.454006,-15.460631,-37.749088,-3.2330184,-179.65312
13008941.5,-0.76433051,-154.03198,-55.004494,177.23532,-25.287834,81.561539,-3.0910375,167.8132
14008937,-0.85622329,-166.27669,-51.91539,-125.94372,-12.622984,-26.086203,-3.0301709,156.47607
15008932.5,-1.0111104,-177.94737,-44.990719,-154.88565,-4.9144993,-91.737259,-3.5838666,145.1593
16008928,-1.185412,170.37828,-61.826824,-117.22699,-25.709793,29.445923,-3.3988132,132.28505
17008923.5,-1.3114337,158.70047,-51.456921,-148.912,-21.845074,4.640017,-4.2992668,123.21922
18008919,-1.4936311,147.09067,-54.517971,-82.715889,-21.796118,-47.66423,-4.1124902,110.70626
19008914.5,-1.6147059,135.28679,-46.440678,158.55951,-12.355789,175.56097,-5.0537715,100.35722
20008910,-1.7165844,123.92805,-47.764454,-48.246872,-17.146608,-167.03438,-4.2838712,92.078239
21008905.5,-1.7916437,112.51196,-57.527065,-167.57306,-16.796001,-144.7531,-4.3823791,78.912102
22008901,-2.0397367,101.41902,-45.468525,-34.634499,-11.928989,141.60007,-4.6836281,69.03212
23008896.5,-2.1936047,88.776649,-50.442436,-64.593002,-22.177019,-159.03593,-5.1770649,58.043411
24008892,-2.1187727,77.396317,-52.364456,169.65154,-5.3570385,-100.6277,-4.8486052,51.611053
25008887.5,-2.1654065,66.114265,-46.433308,-50.271626,-4.1006842,-157.11572,-4.6734633,39.126541
26008883,-2.2601271,53.972969,-58.175144,131.68127,-11.025736,-96.419617,-5.2748489,25.28956
27008878.5,-2.5583577,43.262676,-46.701138,-175.26707,-7.3787107,161.11111,-5.6501508,17.17848
28008874,-2.4934683,29.829721,-50.87442,176.53012,-5.6546483,161.53094,-5.717947,9.2449589
29008869.5,-2.671762,19.149017,-48.801758,-48.823914,-6.4998841,153.89119,-5.2125702,-0.91956621
30008865,-2.5622714,6.8888168,-46.425541,-97.510796,1.4171517,111.4901,-4.7405257,-10.369226
31008860.5,-2.7751989,-3.0955586,-58.156731,-100.43892,5.044991,141.37323,-2.6751914,16.10203
32008856,-2.7870321,-15.819524,-48.585064,-71.210075,11.971667,90.543289,0.078476518,0.89402086
33008851.5,-2.8592026,-26.708248,-48.705723,-173.17891,6.5836587,70.263046,-1.371926,-1.3572637
34008847,-3.1120348,-39.641319,-45.051804,35.210724,8.7888365,131.65004,-3.7121842,-66.430771
