!CSV A.01.01
!Keysight Technologies,P5024A,MY58100101,A.13.90.09
!Date: Friday, January 24, 2020 14:22:23
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(REAL),S11(IMAG),S12(REAL),S12(IMAG),S21(REAL),S21(IMAG),S22(REAL),S22(IMAG)
9000,1.0010715,-0.0076787411,0.0029420354,-0.00079159514,-0.023817057,-0.0019311815,0.98618937,-0.0019640152
1008995.5,0.98306483,-0.21743977,-0.0015897133,-0.003638963,0.039065227,-0.05416711,0.95103645,-0.27321494
2008991,0.91467059,-0.39366719,8.4266409e-005,0.0049026865,0.051752675,-0.0270043,0.80894327,-0.54037458
3008986.5,0.81350672,-0.55630559,0.0021173696,-5.8239839e-005,-0.033230327,0.0504192,0.62946624,-0.74877644
4008982,0.68229383,-0.72321099,0.0030449133,0.0036605448,-0.034663707,0.086481638,0.3707734,-0.86184961
5008977.5,0.51798213,-0.81884623,0.0028684125,0.004043872,0.11324084,0.065579019,0.11472686,-0.88805026
6008973,0.33761081,-0.92674732,0.0034108255,-0.0020940406,-0.067294322,-0.012561805,-0.14861621,-0.85889208
7008968.5,0.12492951,-0.97574425,-0.00088427507,0.00012023365,0.1661552,0.034251165,-0.34961614,-0.76358706
8008964,-0.058300074,-0.96538335,0.0014279064,0.00012092116,-0.18749647,-0.046989199,-0.48537579,-0.63366568
9008959.5,-0.25942001,-0.93030119,-0.00041629217,0.0010323076,0.035052914,0.18756865,-0.59377933,-0.49716917
10008955,-0.44377097,-0.84416354,-0.0011053311,-0.0014812729,0.13477454,0.061511774,-0.67015105,-0.31312737
11008950.5,-0.60406077,-0.72637606,-0.0010274578,0.0044570607,0.35136062,0.21651994,-0.70784569,-0.15468282
12008946,-0.7399807,-0.57842946,-0.0023147191,0.0017751327,0.018004799,-0.27676597,-0.72555894,0.017986599
13008941.5,-0.82190895,-0.40181682,0.0014769746,0.0030024252,0.17943723,-0.20530097,-0.68152326,0.14466147
14008937,-0.88096493,-0.21620114,-0.00095549104,-0.0015123916,-0.18639195,0.029888898,-0.60663629,0.26910326
15008932.5,-0.88613904,-0.032630995,0.0019160705,0.0025923352,-0.060940154,-0.35054058,-0.52748698,0.38317311
16008928,-0.86306185,0.14466034,0.0027956483,-0.0015798254,-0.039552368,-0.012269068,-0.43505573,0.50055754
17008923.5,-0.79810184,0.31614763,0.00033898209,0.00035683034,0.001828859,0.032580178,-0.32199159,0.54677135
18008919,-0.70259827,0.46073818,0.001494328,0.00077555253,0.059070494,-0.19932048,-0.19204991,0.5720827
19008914.5,-0.59009236,0.58483678,-0.00017766187,-0.00046363613,0.0049114167,-0.34257385,-0.12066483,0.58833975
20008910,-0.46121463,0.68063498,-0.0020162088,0.00011552242,0.24703236,-0.38080683,0.0067500323,0.56746787
21008905.5,-0.30423045,0.73761576,0.00096719584,0.0016436471,0.23659921,-0.10990565,0.13942449,0.58920157
22008901,-0.14798358,0.79661995,-0.0010401575,0.001303005,-0.16220723,0.23097797,0.22511959,0.5301246
23008896.5,0.0077312328,0.7949934,-0.0046265423,0.0018409089,-0.32880369,-0.08404348,0.31228739,0.48605981
24008892,0.16726111,0.7582562,0.0022357495,-0.003210108,-0.68688357,0.33704144,0.37816337,0.42295596
25008887.5,0.30982265,0.71449298,-0.0018836687,-0.0010514519,-0.57830524,0.15425043,0.44545355,0.36739612
26008883,0.45182759,0.61057132,0.0012250271,0.0013970702,-0.60495454,0.32732472,0.48311073,0.26498276
27008878.5,0.54973936,0.51602799,0.00042601497,0.002469922,-0.59510088,0.0635271,0.54411393,0.16711538
28008874,0.63919973,0.38095304,0.0031633601,0.0036429476,-0.66002685,-0.44287285,0.52976853,0.062541261
29008869.5,0.71455371,0.24814413,-0.0047023669,-0.00010191873,0.23403628,0.52571374,0.54941285,-8.638054e-005
30008865,0.71385521,0.086534023,0.00055833295,-0.0013954986,-0.19951145,0.32745263,0.54485124,-0.10240108
31008860.5,0.73734879,-0.053182703,-0.00081226847,-0.0058662985,-2.0249569,-0.89072496,0.37570044,-0.40574867
32008856,0.68513387,-0.17465159,-0.000568786,0.0017891933,-0.84386349,-1.951327,0.87175781,-0.3421568
33008851.5,0.62502033,-0.31988618,0.00087077089,0.0030041293,-0.52739245,1.4840959,0.33800897,-0.23098786
34008847,0.53306425,-0.4668254,-0.0072290897,0.0060871365,-3.1187801,4.8368969,0.25824833,-0.44080099
35008842.5,0.41890606,-0.53178447,-0.0012289132,-0.0010331821,0.75866526,4.6148067,0.20646513,0.21114449
36008838,0.28323549,-0.59380448,-0.0040024142,-0.0033924801,1.0702311,5.6033645,0.51302701,-0.62905103
37008833.5,0.14126085,-0.63174409,0.0038289202,-0.0026377169,-1.4530579,5.0184665,0.34196606,-0.61680841
38008829,-0.0052042957,-0.64749581,0.00036465676,-0.0069299275,5.3007979,4.7738838,-0.11041524,-0.075499319
39008824.5,-0.12239368,-0.61839908,-0.0015594865,-0.0038872964,8.3198881,3.4419289,-0.76774949,-0.6271835
40008820,-0.25337002,-0.5392198,0.0033675046,-0.0023963426,10.622458,1.6402487,-0.11629584,0.047396392
41008815.5,-0.34497836,-0.45599803,0.0026403645,-0.002816418,12.841372,0.43757606,-0.1582839,-0.36177602
42008811,-0.41381064,-0.3495757,-0.006238895,0.0053943442,12.14826,-3.9429512,0.5140233,-0.66514987
43008806.5,-0.45779791,-0.23872779,-0.00039592976,0.002025499,15.206324,-8.3306942,-0.82836765,-0.61164969
44008802,-0.4605045,-0.13362868,0.0033559331,0.0030149221,12.262117,-15.027591,-0.00207026,-0.3944678
45008797.5,-0.46025988,-0.039667953,-0.0015484571,-0.0040955911,11.344147,-21.471079,-0.8067587,-0.1477167
46008793,-0.42370883,0.039740335,-0.0042811711,-0.0048565706,8.6952124,-24.123056,-0.82529992,-0.73802692
47008788.5,-0.3864834,0.11964192,0.0011183722,0.005399005,3.5311935,-30.677189,-0.33334419,-0.032866962
48008784,-0.34973863,0.18535998,0.00045646136,-2.6253798e-005,-7.4393954,-37.769745,-0.25853619,0.14967737
49008779.5,-0.29003009,0.22037636,-0.0012372222,-0.0013885356,-15.308273,-33.30476,-0.14282799,0.31435138
50008775,-0.22166514,0.26508749,-0.0040899119,-0.0051405835,-24.550985,-38.25626,-0.80699646,-0.13721132
51008770.5,-0.18382969,0.27188367,0.0046168896,-0.008309545,-39.352192,-29.741392,-0.334465,0.4081265
52008766,-0.10537463,0.28224054,-0.0024741546,0.0020487476,-49.799366,-25.984451,-0.35822758,-0.48651949
53008761.5,-0.061732847,0.27075535,-0.0016538494,0.0032764561,-62.931923,-13.473574,-0.1498189,0.24734826
54008757,-0.013868801,0.26907253,-0.0010755713,-0.0009863911,-69.415649,0.67384785,0.051175844,0.30084535
55008752.5,0.0381159,0.25828907,0.0020023126,-0.0009169504,-77.620232,17.30522,-0.80339766,0.45007917
56008748,0.061398871,0.23572274,0.0081634596,0.0010065068,-78.114403,39.692646,-0.4724322,-0.55999178
57008743.5,0.10290863,0.21162036,-0.0016658232,-0.0030472972,-75.324791,62.58503,-0.22409721,-0.19684093
58008739,0.10526984,0.19820265,-0.0036018596,0.003938688,-67.811852,81.915405,0.084540561,0.82358962
59008734.5,0.12843356,0.16319896,-0.0006527651,0.0011226668,-49.613613,103.50188,0.10646614,0.41945791
60008730,0.13760141,0.14324485,-0.0048390706,-0.00071939902,-30.161869,126.23634,0.51858282,0.25965944
61008725.5,0.15842187,0.11956195,-0.0023971675,0.0027574319,-1.123922,136.31848,-0.11991296,0.72036034
62008721,0.16309516,0.073923826,-0.0038866044,5.6031477e-005,32.782654,145.70779,0.66800559,0.36021957
63008716.5,0.18063276,0.065707102,0.0014105231,0.0022523275,69.311913,153.36504,0.066796154,0.46503383
64008712,0.17322122,0.042069662,0.0013052033,0.0022047684,108.2022,142.7829,-0.21996494,0.97436917
65008707.5,0.17351584,0.01692589,-0.0034013949,0.0031494913,148.77811,131.32762,1.1880022,0.094387479
66008703,0.18654776,-0.006020552,-0.0027247083,-0.0025941199,188.14946,100.48933,-0.36301041,0.72512513
67008698.5,0.1711432,-0.036360756,-0.00092009688,-0.00067292649,224.10645,59.318794,0.658755,0.30436599
68008694,0.16527288,-0.044502247,-0.0028497959,-0.0010848495,246.3286,17.85214,0.63770926,1.0339756
69008689.5,0.14085464,-0.061557051,-0.0032501374,0.00045939628,256.81705,-35.468994,0.56795096,0.80088341
70008685,0.12893544,-0.07283517,7.8888028e-005,0.0025489854,260.94638,-98.982292,-0.13944857,0.62252015
71008680.5,0.1183534,-0.095794022,-0.00078458636,0.0022227447,248.09785,-162.05467,0.61715889,-0.37899411
72008676,0.12960258,-0.11033964,0.0012229475,-0.002788397,220.81844,-225.85899,0.25029972,0.69267696
73008671.5,0.099020667,-0.11630316,-0.00067105179,-0.00010866309,174.75778,-283.76859,-0.31278214,0.87040675
74008667,0.073658317,-0.11460294,-0.00073033938,0.0013420618,121.15645,-322.68344,0.26464462,0.59333128
75008662.5,0.060916524,-0.12811717,-0.0014750718,0.0031876646,56.013958,-360.86655,0.051385682,-1.0386258
76008658,0.048578259,-0.12688009,0.0010369988,0.0021448866,-18.09944,-380.81735,0.20323201,-0.078269757
77008653.5,0.03865635,-0.13965188,-0.0013555076,-0.0054530138,-104.86228,-381.99002,0.10257088,-0.36437663
78008649,0.010906352,-0.13488238,-0.00080962962,-0.0046318285,-178.30118,-367.491,-0.4129715,-0.60486501
79008644.5,0.0016984608,-0.13314341,-0.00021835305,0.0032462887,-265.91232,-328.71219,0.43364501,-0.35597634
80008640,-0.0063997344,-0.13707416,-0.00057555514,-0.0068617226,-338.09604,-288.80997,-0.55924559,-0.24777246
81008635.5,-0.021830399,-0.13952611,0.00077410194,0.0045497962,-393.85367,-221.16118,0.24687265,-0.45817384
82008631,-0.038466297,-0.12314878,0.0024251181,-0.0027793599,-438.20346,-146.36644,0.21669851,0.17569432
83008626.5,-0.053373277,-0.1133517,-0.0035204345,-0.00010274351,-472.78964,-65.339592,0.14084093,-0.098173797
84008622,-0.068209551,-0.10159818,-0.0021998307,-0.00057996757,-495.48956,31.417688,-0.31706804,-0.32208237
85008617.5,-0.077298544,-0.10095451,-0.00030236031,0.0025936384,-485.05786,121.83634,-0.15484659,-0.13317177
86008613,-0.088609993,-0.089320205,-0.0023830927,0.0015570725,-461.33716,212.99307,-0.90188849,-0.44343057
87008608.5,-0.0991299,-0.085438751,-0.0052927346,-0.0054088919,-421.83542,300.43488,-1.5113328,-0.62630773
88008604,-0.098869883,-0.067900017,-0.00028598207,0.0018931018,-368.71738,381.89789,0.044304121,0.3255527
89008599.5,-0.10816044,-0.060427237,-0.00026736251,0.00042647068,-297.23642,445.45343,-0.68941981,0.67088753
90008595,-0.1240155,-0.054568458,-0.0014217204,0.0036417588,-211.24156,494.68405,-0.31314966,0.61984879
91008590.5,-0.11942464,-0.040739547,-0.0033627991,-0.0037663199,-124.93969,538.64508,0.76057088,-1.2906747
92008586,-0.10831989,-0.011412947,4.1492331e-005,-0.0019592696,-36.995998,565.349,0.092876196,-0.27417728
93008581.5,-0.12287593,-0.0029348291,0.0021138156,0.0001985225,61.456409,562.03137,-0.14691898,-1.1174868
94008577,-0.1044379,0.021815214,0.0011572259,0.0001982986,159.56317,564.12244,-0.83050978,-0.1190588
95008572.5,-0.11453652,0.017755693,-0.0032446564,-0.0019044949,259.82144,525.23853,-0.036750626,0.09501119
96008568,-0.10374708,0.038245749,-0.0018044504,-0.0051226672,344.04092,481.72241,0.59926778,0.18233243
97008563.5,-0.11398893,0.03855367,-0.0020296755,-0.00066382921,417.01569,419.39142,-0.27078688,0.21957687
98008559,-0.11537883,0.066981599,-0.0073897513,0.0033456744,475.97437,359.10278,-0.9867081,0.61468208
99008554.5,-0.097340159,0.073328279,-0.000247713,-0.0043469495,539.31415,274.07373,-0.84575474,0.25775507
100008550,-0.083072662,0.097003862,-0.0010338896,0.00067683513,587.60461,191.37381,0.20217629,1.6146559
101008545.5,-0.073954202,0.080550067,-0.0017881265,0.00072074303,609.96228,80.860336,-0.35502744,0.16887544
102008541,-0.073155552,0.10275012,0.0029887971,0.0018193085,622.7464,-1.3033218,-0.91398394,0.15063922
103008536.5,-0.058758419,0.093799464,0.000979573,0.0075093927,614.84088,-117.19075,0.036511183,-0.95151675
104008532,-0.047302455,0.1234732,-0.0018122084,-0.0016632592,607.1286,-203.16946,0.59845722,-0.35880381
105008527.5,-0.028990036,0.11460008,-0.00014772452,-0.0017865532,567.72943,-302.64023,-0.54457706,-0.15138899
106008523,-0.032817416,0.11916955,-0.0013467165,-0.0012139182,514.06805,-383.89478,1.5303874,0.70954174
107008518.5,-0.014028477,0.1102243,-0.00061924459,0.00038563108,446.23755,-462.71957,0.53150684,0.88110012
108008514,0.0046200315,0.12708518,-0.0042563444,-0.0056235627,380.84344,-531.03595,-0.28352556,0.8748045
109008509.5,0.01490543,0.12175032,0.0031754279,0.0051057539,292.18124,-586.96521,-0.18331701,0.024122287
110008505,0.029102102,0.12436366,-0.0021338065,0.00015400704,205.34151,-629.27502,-0.14714685,0.64117175
111008500.5,0.037582371,0.12334044,-0.00017215718,0.00045841504,114.05879,-656.59442,-0.52991229,0.57546091
112008496,0.066718154,0.12072653,-0.0030349684,-0.0052683614,12.475516,-679.35242,-0.95984024,1.4069178
113008491.5,0.07412345,0.10595804,-0.0038953633,0.0006899655,-94.411438,-669.73615,-0.17981143,1.1446384
114008487,0.076429777,0.084781475,0.00010586593,0.0010250089,-196.64011,-647.45898,-0.10887524,0.97626108
115008482.5,0.090390049,0.084100232,-0.0021901601,-0.003315466,-286.46384,-618.09833,-0.7894212,0.7579903
116008478,0.093130961,0.083544701,0.0010461159,-0.00050380098,-381.68689,-578.56116,0.46965581,0.0038823427
117008473.5,0.10362615,0.064765207,0.0027806477,-0.00032276087,-452.37424,-516.82391,-0.21266721,0.23293653
118008469,0.12069035,0.049553823,-0.00078245951,0.001384036,-545.01337,-438.97446,-0.17854977,-0.16171531
119008464.5,0.10547876,0.055368662,0.0028190422,0.0055181333,-584.57428,-370.72693,0.37030217,0.82611859
120008460,0.11530361,0.027337676,0.0034322988,-0.0021291419,-637.15082,-275.77353,-0.14101103,-0.078365959
121008455.5,0.12527238,0.021941124,0.0024824352,-0.00049848726,-682.71234,-179.78799,0.043071985,0.63692325
122008451,0.14696498,0.0083545772,0.00075510523,0.00088659878,-716.67902,-84.755455,-0.031516429,-0.30903867
123008446.5,0.12187437,0.010799902,-0.00056328875,0.0035977312,-708.09302,7.3752441,0.13545251,-0.24442382
124008442,0.11882143,-0.017343786,0.001523286,0.0045530773,-695.33783,118.04527,-0.63272202,1.1831739
125008437.5,0.12784165,-0.022994589,0.0024211684,0.0023090004,-680.58246,210.7867,0.21756922,0.34113893
126008433,0.1311907,-0.049979389,0.0003835072,-0.0029592686,-651.10394,312.13144,-0.29830223,0.93692458
127008428.5,0.12637499,-0.05335645,0.00067164347,-0.0018029431,-605.24139,392.90472,0.71831304,0.76501459
128008424,0.10830794,-0.071077116,-0.0013013919,-0.00049562822,-536.12189,484.33649,0.10215493,0.75685412
129008419.5,0.1094619,-0.08555375,0.004770217,0.0057432521,-467.5498,554.65228,-0.48865971,-0.2226938
130008415,0.097230397,-0.087091081,-0.0073313876,-0.001725479,-391.60934,619.85309,0.67930323,0.21496962
131008410.5,0.089366414,-0.094191805,0.0047273324,-0.00095600932,-306.33621,661.89093,-0.29563913,-0.51722002
132008406,0.081419133,-0.11663827,-0.0036736638,-0.0016667753,-201.66483,702.52484,0.77519292,-0.038174029
133008401.5,0.074835211,-0.10930165,0.00038440851,0.001353647,-110.74951,725.31952,-0.49784252,0.26078263
134008397,0.053521801,-0.12086538,-0.0021457919,0.00044682008,-13.335034,736.61841,-3.6478043e-006,-0.61951661
135008392.5,0.035186287,-0.12115701,-0.0033926219,-0.003709611,83.264809,731.57782,-0.012934411,0.62310141
136008388,0.029121498,-0.12433746,-0.0031681967,-0.00019599777,188.90836,716.07623,-0.28791237,1.2533795
137008383.5,0.0068977796,-0.13353579,0.00085293286,0.0022721796,278.89899,685.33936,0.15962496,-0.086344145
138008379,0.016232761,-0.14116423,-0.00079235324,0.00016990594,386.37192,644.8559,0.46345448,0.74833268
139008374.5,-0.011594497,-0.12780152,-0.0015569282,0.0017209513,451.0712,590.86456,0.046934821,0.37059537
140008370,-0.022033982,-0.13680445,-0.00039947472,-0.0040192078,529.68646,522.64734,0.52522874,0.64880723
141008365.5,-0.032839324,-0.12752202,-0.0024521097,-0.0012923568,599.96484,452.85678,1.2803938,0.58221871
142008361,-0.044257708,-0.11401266,-0.00045195609,0.0048120292,662.69171,373.47305,0.1222235,0.48043084
143008356.5,-0.060154837,-0.12439475,0.0015203269,0.00078606867,703.05701,263.65033,-0.65274733,0.80472833
144008352,-0.078839302,-0.10055091,-0.0025303708,-0.0027091836,730.91406,179.76128,0.37116611,0.71726286
145008347.5,-0.093447559,-0.098303221,-0.0030076161,-0.00068691588,748.21454,80.815544,0.0054677487,0.078610718
146008343,-0.087457769,-0.087410271,0.00066734239,-0.0034000587,763.67694,-10.740214,-1.2440984,-0.42163429
147008338.5,-0.10549451,-0.0844348,-0.0011970251,-0.00023777643,741.87616,-116.57161,-0.94430315,0.34808382
148008334,-0.1244087,-0.065062217,-0.0022085235,-0.00083189196,723.77429,-201.83589,-0.5912596,2.2824736
149008329.5,-0.12675773,-0.065361083,0.0036803957,0.0025376375,686.53003,-306.87833,0.95550537,0.65588677
150008325,-0.12654178,-0.039833855,-0.004163194,0.0010912808,655.81824,-389.08722,0.79457372,0.41332617
151008320.5,-0.1291735,-0.030568454,0.0011102932,0.0044453363,596.14972,-480.77817,1.1548483,0.062704243
152008316,-0.12068521,-0.02074213,-0.00088768639,0.0016497202,532.27338,-552.42462,-1.3702511,-0.28001687
153008311.5,-0.14072324,-0.0052522854,0.0015409796,-0.0015263188,450.6127,-609.15405,-0.045752574,0.68390101
154008307,-0.13100652,0.013913671,0.002898108,-0.0036123123,370.28882,-669.04291,-0.69428623,0.88578331
155008302.5,-0.1338903,0.022030117,-0.0043671126,-0.0026551594,280.89227,-708.01282,0.15372279,-0.99175656
156008298,-0.1272283,0.038401194,-0.0021074621,-0.0039384118,192.50943,-739.44965,-1.1249934,0.87114495
157008293.5,-0.12228246,0.059060913,0.0041412348,0.0012713328,98.71804,-766.76715,-0.45877132,0.43411762
158008289,-0.12631406,0.066008531,0.00038180393,-0.0016637723,-0.44385225,-771.79675,0.95548689,-0.52193493
159008284.5,-0.11988708,0.080054931,0.0045493082,-0.00070650689,-91.54882,-762.26373,-0.077542424,-0.0507375
160008280,-0.11117941,0.078042306,-0.00077213265,0.0026073677,-190.57658,-737.03259,-0.14971034,0.678689
161008275.5,-0.09607549,0.095907144,-0.0044439053,-0.0012929952,-291.63486,-714.00867,-0.46212298,-0.82562077
162008271,-0.089923203,0.11619692,-0.0065109371,0.0011465464,-376.3923,-672.45099,0.041508138,-0.11040367
