!CSV A.01.01
!Keysight Technologies,P5024A,MY58100101,A.13.90.09
!Date: Friday, January 24, 2020 14:25:51
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG),S12(DB),S12(DEG),S21(DB),S21(DEG),S22(DB),S22(DEG)
9000,-0.056005076,0.13485786,-47.156773,56.497868,-52.5886,61.729378,0.062511422,-0.10704247
1008995.5,-0.00087865867,-11.83839,-62.511631,-44.857216,-49.18507,120.24799,0.038011346,-16.699381
2008991,-0.023125861,-23.42515,-52.409554,157.25302,-52.106949,-156.71208,-0.11004613,-33.372761
3008986.5,-0.091417052,-35.100693,-53.623974,-170.92821,-54.569103,177.06424,-0.33570197,-50.731117
4008982,-0.036215167,-47.167969,-52.754868,-103.18134,-49.265102,-128.0537,-0.53731495,-67.635231
5008977.5,-0.051266734,-58.71254,-61.445724,-119.66125,-52.983707,161.16495,-0.84516782,-83.159866
6008973,-0.10401014,-70.309402,-61.625404,5.040319,-55.430485,177.55219,-1.0568616,-98.446991
7008968.5,-0.13818881,-82.102036,-51.38237,41.334614,-58.846153,136.12079,-1.4486977,-113.7146
8008964,-0.26896298,-94.441986,-60.022991,-107.35504,-56.7939,136.9599,-1.7286808,-127.85336
9008959.5,-0.34115937,-106.09396,-51.238754,178.17479,-51.589233,-135.90096,-2.052424,-141.48463
10008955,-0.44849539,-117.72022,-51.747555,67.221252,-67.921448,175.81178,-2.3588092,-155.13161
11008950.5,-0.48119479,-130.14594,-57.117352,67.930847,-58.984512,-166.86508,-2.6257563,-167.88081
12008946,-0.59958935,-142.01561,-52.27853,157.13306,-61.662865,-147.22487,-2.9433475,179.53668
13008941.5,-0.7416082,-154.07535,-55.270355,-93.363441,-55.930622,-158.36884,-3.1510968,167.32379
14008937,-0.88286346,-165.92612,-53.750591,-111.29854,-53.08337,66.236008,-3.4053597,155.54073
15008932.5,-1.0278186,-177.83649,-65.198769,58.209911,-61.01186,91.746437,-3.5609658,143.68181
16008928,-1.1759591,170.31952,-68.801735,-99.475098,-56.753937,-49.049534,-3.8199599,132.1839
17008923.5,-1.3234061,158.69327,-52.677948,-92.985062,-64.761391,-0.18394597,-4.0042882,120.59036
