!CSV A.01.01
!Keysight Technologies,P5020A,MY58100190,A.14.10.03
!Date: Monday, June 08, 2020 12:33:43
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(MAG),S11(DEG),S12(MAG),S12(DEG),S21(MAG),S21(DEG),S22(MAG),S22(DEG)
1000000,0.99709392,-7.1205082,0.0008338815,171.65002,0.029112857,7.2767472,0.95520139,-11.436144
1499500,0.99828213,-11.081132,0.00055123848,46.674084,0.011048147,97.966331,1.0026708,-16.7328
1999000,0.99406886,-15.085555,0.00037372892,30.919157,0.01498404,56.259075,0.96456617,-23.827827
2498500,0.99591559,-18.359768,0.0018541599,117.65329,0.012678147,163.80347,0.98264331,-31.063223
2998000,0.99602503,-22.196108,0.0007336518,-102.63219,0.042272288,70.089073,0.99642491,-33.233837
3497500,0.99472004,-25.799314,0.0010782302,-88.445534,0.007391498,-46.295654,0.92292225,-41.392971
3997000,0.99295527,-29.186163,0.00033269526,28.984457,0.018821079,-34.252308,0.91665184,-44.854694
4496500,0.99079961,-33.048,0.00066910195,47.681293,0.03620889,-49.069748,0.91592216,-53.329342
4996000,0.98987997,-36.631485,0.00084941788,-71.266335,0.0059751263,52.128605,0.89842188,-58.814514
5495500,0.98868746,-40.315693,0.00029927463,95.124184,0.017043309,-85.525612,0.89307654,-64.710342
5995000,0.98766917,-43.962955,0.0011648713,-28.150909,0.025019836,19.324551,0.88970053,-67.970291
6494500,0.98604542,-47.520363,0.00046361855,62.451862,0.028829556,-60.887421,0.86303967,-72.11174
6994000,0.98224199,-51.321941,0.00059124909,66.404167,0.02945393,172.15067,0.83971512,-77.829865
7493500,0.97887617,-54.974918,0.00025536609,149.28577,0.028734064,2.7041569,0.82763004,-83.288689
7993000,0.97695923,-58.728897,0.00030638219,117.16131,0.035200831,15.673961,0.83669686,-86.899689
8492500,0.97319037,-62.227581,0.0015675167,-75.414009,0.029725725,37.153683,0.81124485,-89.230278
8992000,0.9709267,-65.743462,0.00057389005,-155.89491,0.07302282,62.848198,0.8045851,-96.407852
9491500,0.96516156,-69.199409,0.00082824152,-67.004227,0.064338192,104.21521,0.80556834,-97.871269
9991000,0.96536291,-72.912376,0.00096632115,162.81651,0.0719845,19.327024,0.76455337,-104.66505
10490500,0.95833707,-76.516876,0.00044003653,-171.77081,0.024328565,-114.81331,0.74586165,-109.05405
10990000,0.95422655,-80.094887,0.00030106847,-164.11708,0.065255858,-23.666065,0.75597751,-112.31682
11489500,0.94978672,-83.732422,0.0010874596,176.38965,0.039620694,-4.7012029,0.71483386,-115.5637
11989000,0.94396627,-87.430588,0.00048015677,-120.17809,0.097803988,-34.146145,0.73783219,-121.43698
12488500,0.93794835,-90.867805,0.0011726037,71.433128,0.10944888,28.878572,0.72318494,-122.31525
12988000,0.93084574,-94.669022,0.0012025364,-155.46341,0.056528207,-51.566898,0.68532956,-126.49935
13487500,0.92381448,-98.170097,0.00065119943,110.40598,0.087641671,25.553747,0.69935769,-129.88281
13987000,0.91674829,-101.65998,0.00031395143,94.34211,0.11315274,1.977965,0.6612221,-133.37939
14486500,0.90825158,-105.23972,0.00069557416,-87.800568,0.10928855,9.3036861,0.7075482,-135.71782
14986000,0.90164751,-108.54556,0.00026430158,129.1543,0.086691529,47.929253,0.68758231,-143.20049
15485500,0.89388841,-111.91589,0.00092527398,-73.170135,0.24152929,11.928112,0.67351234,-142.13646
15985000,0.8855983,-115.18578,0.00090033939,-53.702229,0.19978729,-34.528381,0.6714313,-147.05347
16484500,0.87916088,-118.51013,0.00062943459,-106.33433,0.057670891,7.3832912,0.65994138,-149.36534
16984000,0.87267172,-121.78719,0.00067318056,167.79951,0.15205359,-35.816006,0.64976829,-149.64464
17483500,0.86644018,-125.00679,0.00021467551,-64.894386,0.13236479,-41.93861,0.63138741,-156.34879
17983000,0.86146349,-128.23715,0.00057195901,74.989571,0.065531507,-15.308773,0.63995624,-158.71944
18482500,0.85405833,-131.6721,0.00056166406,-111.42059,0.25605941,-51.470791,0.60652995,-163.72585
18982000,0.84966928,-134.74631,0.00059872773,142.55734,0.23455885,-45.559422,0.65296602,-163.04016
19481500,0.8434971,-137.97183,0.00034132987,74.90226,0.12813711,-42.053818,0.62670451,-167.08354
19981000,0.83897263,-141.14824,0.0018557335,31.397919,0.23193361,-40.969852,0.61239576,-166.70961
20480500,0.83286273,-144.37906,0.00028162717,-101.3246,0.26636383,-60.812904,0.61788958,-169.92363
20980000,0.8274672,-147.64661,0.00057215086,139.31642,0.29901516,-16.562733,0.62955993,-171.65479
21479500,0.82274264,-150.70251,0.0012927215,48.754822,0.21624476,-55.686207,0.62565809,-174.7211
21979000,0.81617093,-153.96289,0.0010018589,-120.59821,0.20148668,-50.840546,0.57009095,-177.56168
22478500,0.81159121,-157.2002,0.00090613449,23.227409,0.21165343,-80.788185,0.60406226,-179.26068
22978000,0.80722481,-160.28285,0.00017527114,-79.912407,0.32356957,-39.52742,0.60824329,175.08377
23477500,0.80030984,-163.59341,0.00086166663,-144.59012,0.24582465,-41.475372,0.59483117,171.49779
23977000,0.79771543,-166.63283,0.00069553504,-16.697588,0.31915414,-29.97979,0.58148563,173.86885
24476500,0.79519391,-169.88051,0.0012571379,111.32755,0.39359352,-17.630672,0.63326234,172.65767
24976000,0.78861749,-173.1058,0.00069202844,-78.574081,0.28488564,-74.503494,0.57566226,167.08174
25475500,0.78388005,-176.08096,0.0010052897,-68.910995,0.34821171,-10.699757,0.61854726,166.70265
25975000,0.77883112,-179.59482,0.0010524911,-22.137783,0.34250996,-45.684834,0.57378572,166.0361
26474500,0.77127987,177.15393,0.00076641439,76.739761,0.51687354,-49.356792,0.60572678,161.82042
26974000,0.76958686,174.07248,0.00092406693,105.75512,0.50779432,-36.027023,0.60162693,161.92458
27473500,0.76936775,170.85583,0.00079736195,-2.7913108,0.57621098,-55.987789,0.58488041,158.26393
