!CSV A.01.01
!Keysight Technologies,P5024A,MY58100101,A.13.90.09
!Date: Friday, January 24, 2020 14:19:27
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),B(DB),B(DEG)
10940000,-86.164322,0
11070000,-85.586342,0
13950000,-85.833443,0
15910000,-85.487717,0
18690000,-85.342674,0
20410000,-84.857925,0
22250000,-85.912643,0
23080000,-85.778763,0
26630000,-85.617958,0
28710000,-85.446312,0
30750000,-60.125618,0
32740000,-58.430614,0
33600000,-58.785835,0
35460000,-58.922306,0
36980000,-59.156483,0
40820000,-59.364056,0
41020000,-59.657104,0
43490000,-59.172138,0
45090000,-58.96225,0
47320000,-58.73241,0
49660000,-58.629032,0
52230000,-58.617352,0
54590000,-58.110855,0
54880000,-57.894379,0
57720000,-57.355392,0
59520000,-57.246445,0
62700000,-58.789948,0
63120000,-58.627213,0
65510000,-58.70319,0
67850000,-58.113068,0
69850000,-57.601326,0
71210000,-57.21043,0
74480000,-56.614792,0
75960000,-56.726521,0
77810000,-56.683884,0
80470000,-56.449692,0
81090000,-55.836811,0
83180000,-55.897747,0
84870000,-55.606491,0
87520000,-55.444405,0
89910000,-55.452789,0
90630000,-55.332748,0
94080000,-55.093857,0
94810000,-55.109844,0
98010000,-55.025414,0
98870000,-54.704792,0
100590000,-55.314285,0
103590000,-54.426914,0
105500000,-54.425446,0
108400000,-54.664566,0
108900000,-54.570591,0
111520000,-54.54258,0
114190000,-54.145927,0
114650000,-54.252872,0
118360000,-53.909542,0
118570000,-54.122757,0
121010000,-54.037209,0
124080000,-54.124332,0
125920000,-53.847603,0
126960000,-53.975502,0
128980000,-53.71162,0
131560000,-53.669056,0
133620000,-54.010132,0
135700000,-53.711838,0
138160000,-53.862843,0
139740000,-53.748756,0
141450000,-53.484631,0
142490000,-53.756695,0
146200000,-53.793728,0
146480000,-54.099144,0
149010000,-54.167274,0
150490000,-53.892605,0
153560000,-53.985218,0
155190000,-53.992382,0
156760000,-54.357353,0
158950000,-54.135777,0
160350000,-54.136787,0
162920000,-54.090309,0
166110000,-53.877254,0
166460000,-54.234615,0
168350000,-54.266308,0
172070000,-54.588348,0
173130000,-54.11673,0
175670000,-54.141296,0
177940000,-53.823742,0
178320000,-54.312263,0
180640000,-54.394897,0
182850000,-54.258648,0
185460000,-54.106598,0
187150000,-54.125607,0
188780000,-54.338017,0
190610000,-54.349884,0
193690000,-54.352421,0
194410000,-54.177635,0
197360000,-54.032169,0
198240000,-54.216282,0
201170000,-54.546253,0
203270000,-54.63802,0
204930000,-54.611446,0
206710000,-54.421516,0
209290000,-54.279713,0
211010000,-54.352528,0
212950000,-54.86356,0
215290000,-54.697212,0
216050000,-54.520298,0
219060000,-54.165272,0
221380000,-54.171116,0
222020000,-54.339695,0
224510000,-54.557411,0
226580000,-54.467167,0
229420000,-54.314629,0
231100000,-54.557411,0
233790000,-54.494831,0
234080000,-54.773937,0
237000000,-54.776958,0
239600000,-54.500874,0
240520000,-54.515614,0
242700000,-54.507553,0
244250000,-54.413151,0
247560000,-54.809788,0
249010000,-54.81567,0
250130000,-54.539448,0
252000000,-54.596684,0
255570000,-54.412201,0
255860000,-54.436897,0
259120000,-54.668854,0
260890000,-54.690006,0
262290000,-54.614071,0
265510000,-54.316681,0
265770000,-54.46793,0
268450000,-54.176598,0
270210000,-54.8564,0
271780000,-54.926666,0
274710000,-54.621384,0
276910000,-54.435741,0
277730000,-54.722702,0
280390000,-54.823891,0
283590000,-54.708851,0
283790000,-54.578087,0
286980000,-54.266487,0
287870000,-54.167274,0
291130000,-54.269985,0
293410000,-54.829041,0
293850000,-54.562931,0
297170000,-54.451141,0
297660000,-54.409981,0
301380000,-54.190048,0
301560000,-54.520145,0
305470000,-54.782917,0
307420000,-54.831284,0
307760000,-54.710724,0
310040000,-54.277924,0
311520000,-54.484379,0
315250000,-54.406227,0
317290000,-54.757626,0
319340000,-54.679268,0
319920000,-54.2673,0
323240000,-54.260639,0
323540000,-54.293484,0
325870000,-54.583462,0
329300000,-54.846622,0
329460000,-54.493916,0
333080000,-54.037388,0
333400000,-54.359879,0
337300000,-54.504341,0
339280000,-54.600212,0
339830000,-54.143894,0
341810000,-54.58506,0
345060000,-54.243912,0
347270000,-54.232082,0
348100000,-54.372116,0
350030000,-54.647591,0
353060000,-54.657112,0
354790000,-54.478127,0
355730000,-54.340588,0
358710000,-54.584442,0
359460000,-54.781521,0
363090000,-54.831566,0
