Frequency [Hz],Gain,phase [rad]
1000000.0,114.33257149034077,-0.1473426062809047
1499500.0,113.80519120195902,-0.22093377911102602
1998999.9999999998,113.12151226308464,-0.2945215634883097
2498500.0,112.30138584187324,-0.3681014894220949
2998000.0,111.17728352705483,-0.44166390841955566
3497500.0,110.0531812122364,-0.5152263274170165
3997000.0000000005,108.52626716286858,-0.5887378882715925
4496500.0,106.98418622139232,-0.662247534187005
4996000.0,105.20264366301207,-0.7356957356996385
5495500.0,103.27284447957945,-0.8091058954588496
5995000.0,101.2478169937731,-0.882468540318506
6494500.0,98.9672967999391,-0.9557037051112462
6994000.0,96.6867766061051,-1.0289388699039863
7493500.0,94.12098868733085,-1.1019036332491616
7993000.0,91.53221272582212,-1.1748466065371785
8492500.0,88.79182979531492,-1.2475175607938398
8992000.0,85.94135990373368,-1.3199909928078628
9491500.0,83.04135084406622,-1.3922930278247878
9991000.0,79.97847911163457,-1.4640315860186353
10490500.0,76.91560737920295,-1.5357701442124825
10990000.0,73.70936749054366,-1.6065041239969848
11489500.0,70.48488809879309,-1.6771102998710175
11989000.0,67.20077139978925,-1.7467770779668341
12488500.0,63.86606505161682,-1.8156469756161902
12988000.0,60.51993428874566,-1.8839946142156325
13487500.0,57.12662465285044,-1.9501855039529807
13987000.0,53.73331501695523,-2.016376393690329
14486500.0,50.33487546695877,-2.078990787585767
14986000.0,46.93552245348438,-2.140968329037657
15485500.0,43.56140694174057,-2.199497652452186
15985000.000000002,40.21225256286817,-2.254616518305621
16484500.000000002,36.881513456564505,-2.3078917724236923
16984000.0,33.6499108815015,-2.351242151864167
17483500.0,30.418308306438476,-2.3945925313046414
17983000.0,27.3616956429057,-2.420376226807269
18482500.0,24.345980590681474,-2.4420543404201314
18982000.0,21.516775772102402,-2.443896983404348
19481500.0,18.902620468609882,-2.422868986762864
19981000.0,16.38509238471366,-2.392502125097095
20480500.0,14.587263443814788,-2.292577501315992
20980000.0,12.789434502915917,-2.1926528775348886
21479500.0,12.129153479868911,-2.039229513662156
21979000.0,11.804312704795068,-1.8700304357637005
22478500.0,12.094042288740154,-1.7221130092365708
22978000.0,13.21125856277944,-1.602850207838303
23477500.0,14.379159149730208,-1.4902558864212194
23977000.0,16.129295781251667,-1.4542657287879952
24476500.0,17.879432412773124,-1.418275571154771
24976000.0,19.70417677767964,-1.4168873198023102
25475500.0,21.55596104050239,-1.4280397525195567
25975000.0,23.36011725349042,-1.4480707213291895
26474500.0,25.089113331061856,-1.482112592901388
26974000.0,26.808597324955205,-1.516626494759421
27473500.0,28.3099868972713,-1.5619631748477505
27973000.0,29.81137646958739,-1.60729985493608
28472500.0,31.11311940331105,-1.6564410634429865
28972000.0,32.327534886484926,-1.70724641099917
29471500.0,33.42838845512722,-1.7588047956156776
29971000.0,34.317969714630216,-1.8117641418068324
30470500.0,35.206329955102966,-1.8647233077335061
30970000.0,35.747397497113234,-1.9176312012913215
31469500.000000004,36.288465039123516,-1.9705390948491373
31969000.000000004,36.59339875082017,-2.022250937195291
32468500.000000004,36.77527680446606,-2.073339485248043
32968000.000000004,36.84660620215661,-2.1233247582405728
33467500.000000004,36.67337780146363,-2.170869345569331
