"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+006, -2.58859035976E+001, +0.00000000000E+000
+2.00000000000E+006, -1.36332701030E+001, +0.00000000000E+000
+3.00000000000E+006, -6.77750417902E+000, +0.00000000000E+000
+4.00000000000E+006, -1.89648417400E+000, +0.00000000000E+000
+5.00000000000E+006, +1.85011238309E+000, +0.00000000000E+000
+6.00000000000E+006, +4.88885804936E+000, +0.00000000000E+000
+7.00000000000E+006, +7.43786087476E+000, +0.00000000000E+000
+8.00000000000E+006, +9.59743944658E+000, +0.00000000000E+000
+9.00000000000E+006, +1.14774910988E+001, +0.00000000000E+000
+1.00000000000E+007, +1.31228891940E+001, +0.00000000000E+000
+1.10000000000E+007, +1.45897782942E+001, +0.00000000000E+000
+1.20000000000E+007, +1.58886885791E+001, +0.00000000000E+000
+1.30000000000E+007, +1.70638482171E+001, +0.00000000000E+000
+1.40000000000E+007, +1.81257210548E+001, +0.00000000000E+000
+1.50000000000E+007, +1.90745378257E+001, +0.00000000000E+000
+1.60000000000E+007, +1.99728602482E+001, +0.00000000000E+000
+1.70000000000E+007, +2.07723892461E+001, +0.00000000000E+000
+1.80000000000E+007, +2.15115310968E+001, +0.00000000000E+000
+1.90000000000E+007, +2.21913704841E+001, +0.00000000000E+000
+2.00000000000E+007, +2.28165714318E+001, +0.00000000000E+000
+2.10000000000E+007, +2.33954812318E+001, +0.00000000000E+000
+2.20000000000E+007, +2.39222279172E+001, +0.00000000000E+000
+2.30000000000E+007, +2.44188273429E+001, +0.00000000000E+000
+2.40000000000E+007, +2.48814695454E+001, +0.00000000000E+000
+2.50000000000E+007, +2.53085586721E+001, +0.00000000000E+000
+2.60000000000E+007, +2.57109297604E+001, +0.00000000000E+000
+2.70000000000E+007, +2.60888079708E+001, +0.00000000000E+000
+2.80000000000E+007, +2.64360891224E+001, +0.00000000000E+000
+2.90000000000E+007, +2.67681635659E+001, +0.00000000000E+000
+3.00000000000E+007, +2.70784489529E+001, +0.00000000000E+000
+3.10000000000E+007, +2.73684524983E+001, +0.00000000000E+000
+3.20000000000E+007, +2.76403488204E+001, +0.00000000000E+000
+3.30000000000E+007, +2.79024962373E+001, +0.00000000000E+000
+3.40000000000E+007, +2.81351431788E+001, +0.00000000000E+000
+3.50000000000E+007, +2.83612497653E+001, +0.00000000000E+000
+3.60000000000E+007, +2.85774522942E+001, +0.00000000000E+000
+3.70000000000E+007, +2.87809829394E+001, +0.00000000000E+000
+3.80000000000E+007, +2.89809812704E+001, +0.00000000000E+000
+3.90000000000E+007, +2.91520063756E+001, +0.00000000000E+000
+4.00000000000E+007, +2.93374865774E+001, +0.00000000000E+000
+4.10000000000E+007, +2.94941711490E+001, +0.00000000000E+000
+4.20000000000E+007, +2.96521101647E+001, +0.00000000000E+000
+4.30000000000E+007, +2.98024162955E+001, +0.00000000000E+000
+4.40000000000E+007, +2.99460287033E+001, +0.00000000000E+000
+4.50000000000E+007, +3.00781426619E+001, +0.00000000000E+000
+4.60000000000E+007, +3.02016312517E+001, +0.00000000000E+000
+4.70000000000E+007, +3.03287207071E+001, +0.00000000000E+000
+4.80000000000E+007, +3.04381391860E+001, +0.00000000000E+000
+4.90000000000E+007, +3.05391236381E+001, +0.00000000000E+000
+5.00000000000E+007, +3.06613766423E+001, +0.00000000000E+000
+5.10000000000E+007, +3.07474659704E+001, +0.00000000000E+000
+5.20000000000E+007, +3.08482821928E+001, +0.00000000000E+000
+5.30000000000E+007, +3.09370108632E+001, +0.00000000000E+000
+5.40000000000E+007, +3.10108694453E+001, +0.00000000000E+000
+5.50000000000E+007, +3.11041556173E+001, +0.00000000000E+000
+5.60000000000E+007, +3.11807321051E+001, +0.00000000000E+000
+5.70000000000E+007, +3.12505700301E+001, +0.00000000000E+000
+5.80000000000E+007, +3.13244479080E+001, +0.00000000000E+000
+5.90000000000E+007, +3.13925940262E+001, +0.00000000000E+000
+6.00000000000E+007, +3.14515991002E+001, +0.00000000000E+000
+6.10000000000E+007, +3.15022879558E+001, +0.00000000000E+000
+6.20000000000E+007, +3.15666751421E+001, +0.00000000000E+000
+6.30000000000E+007, +3.16128980210E+001, +0.00000000000E+000
+6.40000000000E+007, +3.16660404487E+001, +0.00000000000E+000
+6.50000000000E+007, +3.17197122010E+001, +0.00000000000E+000
+6.60000000000E+007, +3.17733783006E+001, +0.00000000000E+000
+6.70000000000E+007, +3.18017285773E+001, +0.00000000000E+000
+6.80000000000E+007, +3.18369611216E+001, +0.00000000000E+000
+6.90000000000E+007, +3.18839536621E+001, +0.00000000000E+000
+7.00000000000E+007, +3.19277607458E+001, +0.00000000000E+000
+7.10000000000E+007, +3.19638817251E+001, +0.00000000000E+000
+7.20000000000E+007, +3.19927775166E+001, +0.00000000000E+000
+7.30000000000E+007, +3.20231472583E+001, +0.00000000000E+000
+7.40000000000E+007, +3.20534660151E+001, +0.00000000000E+000
+7.50000000000E+007, +3.20728266325E+001, +0.00000000000E+000
+7.60000000000E+007, +3.21117856283E+001, +0.00000000000E+000
+7.70000000000E+007, +3.21301518347E+001, +0.00000000000E+000
+7.80000000000E+007, +3.21630714562E+001, +0.00000000000E+000
+7.90000000000E+007, +3.21764307667E+001, +0.00000000000E+000
+8.00000000000E+007, +3.22003865647E+001, +0.00000000000E+000
+8.10000000000E+007, +3.22228259482E+001, +0.00000000000E+000
+8.20000000000E+007, +3.22450181248E+001, +0.00000000000E+000
+8.30000000000E+007, +3.22510627337E+001, +0.00000000000E+000
+8.40000000000E+007, +3.22775950692E+001, +0.00000000000E+000
+8.50000000000E+007, +3.23026437858E+001, +0.00000000000E+000
+8.60000000000E+007, +3.23136085265E+001, +0.00000000000E+000
+8.70000000000E+007, +3.23340255952E+001, +0.00000000000E+000
+8.80000000000E+007, +3.23531456572E+001, +0.00000000000E+000
+8.90000000000E+007, +3.23656315718E+001, +0.00000000000E+000
+9.00000000000E+007, +3.23745399297E+001, +0.00000000000E+000
+9.10000000000E+007, +3.23889172904E+001, +0.00000000000E+000
+9.20000000000E+007, +3.24154680706E+001, +0.00000000000E+000
+9.30000000000E+007, +3.24219437602E+001, +0.00000000000E+000
+9.40000000000E+007, +3.24378787617E+001, +0.00000000000E+000
+9.50000000000E+007, +3.24473447464E+001, +0.00000000000E+000
+9.60000000000E+007, +3.24678405060E+001, +0.00000000000E+000
+9.70000000000E+007, +3.24787016188E+001, +0.00000000000E+000
+9.80000000000E+007, +3.24893976869E+001, +0.00000000000E+000
+9.90000000000E+007, +3.25042455002E+001, +0.00000000000E+000
+1.00000000000E+008, +3.25170201020E+001, +0.00000000000E+000
+1.01000000000E+008, +3.25398235781E+001, +0.00000000000E+000
+1.02000000000E+008, +3.25398103467E+001, +0.00000000000E+000
+1.03000000000E+008, +3.25488700653E+001, +0.00000000000E+000
+1.04000000000E+008, +3.25711533859E+001, +0.00000000000E+000
+1.05000000000E+008, +3.25924368495E+001, +0.00000000000E+000
+1.06000000000E+008, +3.26021512595E+001, +0.00000000000E+000
+1.07000000000E+008, +3.26097605787E+001, +0.00000000000E+000
+1.08000000000E+008, +3.26295714735E+001, +0.00000000000E+000
+1.09000000000E+008, +3.26382484647E+001, +0.00000000000E+000
+1.10000000000E+008, +3.26506149304E+001, +0.00000000000E+000
+1.11000000000E+008, +3.26668033594E+001, +0.00000000000E+000
+1.12000000000E+008, +3.26762910230E+001, +0.00000000000E+000
+1.13000000000E+008, +3.26833351794E+001, +0.00000000000E+000
+1.14000000000E+008, +3.27087614231E+001, +0.00000000000E+000
+1.15000000000E+008, +3.27185665086E+001, +0.00000000000E+000
+1.16000000000E+008, +3.27269151363E+001, +0.00000000000E+000
+1.17000000000E+008, +3.27468200489E+001, +0.00000000000E+000
+1.18000000000E+008, +3.27622477786E+001, +0.00000000000E+000
+1.19000000000E+008, +3.27745326496E+001, +0.00000000000E+000
+1.20000000000E+008, +3.27838368924E+001, +0.00000000000E+000
+1.21000000000E+008, +3.28041046969E+001, +0.00000000000E+000
+1.22000000000E+008, +3.28120800604E+001, +0.00000000000E+000
+1.23000000000E+008, +3.28209228553E+001, +0.00000000000E+000
+1.24000000000E+008, +3.28322280859E+001, +0.00000000000E+000
+1.25000000000E+008, +3.28447787066E+001, +0.00000000000E+000
