"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+006, -1.78494773956E+002, +0.00000000000E+000
+2.00000000000E+006, +1.70548153017E+002, +0.00000000000E+000
+3.00000000000E+006, +1.62796385429E+002, +0.00000000000E+000
+4.00000000000E+006, +1.55360851442E+002, +0.00000000000E+000
+5.00000000000E+006, +1.48205684723E+002, +0.00000000000E+000
+6.00000000000E+006, +1.41315089369E+002, +0.00000000000E+000
+7.00000000000E+006, +1.34730536410E+002, +0.00000000000E+000
+8.00000000000E+006, +1.28099780040E+002, +0.00000000000E+000
+9.00000000000E+006, +1.21630675545E+002, +0.00000000000E+000
+1.00000000000E+007, +1.15242817366E+002, +0.00000000000E+000
+1.10000000000E+007, +1.08964214687E+002, +0.00000000000E+000
+1.20000000000E+007, +1.02777338928E+002, +0.00000000000E+000
+1.30000000000E+007, +9.67088868264E+001, +0.00000000000E+000
+1.40000000000E+007, +9.06988939877E+001, +0.00000000000E+000
+1.50000000000E+007, +8.47749484820E+001, +0.00000000000E+000
+1.60000000000E+007, +7.89076323649E+001, +0.00000000000E+000
+1.70000000000E+007, +7.32647377174E+001, +0.00000000000E+000
+1.80000000000E+007, +6.75782845046E+001, +0.00000000000E+000
+1.90000000000E+007, +6.19774825106E+001, +0.00000000000E+000
+2.00000000000E+007, +5.64946617005E+001, +0.00000000000E+000
+2.10000000000E+007, +5.11144245749E+001, +0.00000000000E+000
+2.20000000000E+007, +4.57291646678E+001, +0.00000000000E+000
+2.30000000000E+007, +4.05712987733E+001, +0.00000000000E+000
+2.40000000000E+007, +3.53477840789E+001, +0.00000000000E+000
+2.50000000000E+007, +3.02726552011E+001, +0.00000000000E+000
+2.60000000000E+007, +2.52078961629E+001, +0.00000000000E+000
+2.70000000000E+007, +2.03079732361E+001, +0.00000000000E+000
+2.80000000000E+007, +1.53315171271E+001, +0.00000000000E+000
+2.90000000000E+007, +1.05028718313E+001, +0.00000000000E+000
+3.00000000000E+007, +5.75866884050E+000, +0.00000000000E+000
+3.10000000000E+007, +1.04813661471E+000, +0.00000000000E+000
+3.20000000000E+007, -3.64605331004E+000, +0.00000000000E+000
+3.30000000000E+007, -8.21457156666E+000, +0.00000000000E+000
+3.40000000000E+007, -1.28473207950E+001, +0.00000000000E+000
+3.50000000000E+007, -1.73353936573E+001, +0.00000000000E+000
+3.60000000000E+007, -2.18249640041E+001, +0.00000000000E+000
+3.70000000000E+007, -2.62619831856E+001, +0.00000000000E+000
+3.80000000000E+007, -3.06532301451E+001, +0.00000000000E+000
+3.90000000000E+007, -3.49508804702E+001, +0.00000000000E+000
+4.00000000000E+007, -3.93310147373E+001, +0.00000000000E+000
+4.10000000000E+007, -4.35116840544E+001, +0.00000000000E+000
+4.20000000000E+007, -4.77711716668E+001, +0.00000000000E+000
+4.30000000000E+007, -5.19585148011E+001, +0.00000000000E+000
+4.40000000000E+007, -5.61340528248E+001, +0.00000000000E+000
+4.50000000000E+007, -6.01883289437E+001, +0.00000000000E+000
+4.60000000000E+007, -6.43275873409E+001, +0.00000000000E+000
+4.70000000000E+007, -6.83086677321E+001, +0.00000000000E+000
+4.80000000000E+007, -7.24116654135E+001, +0.00000000000E+000
+4.90000000000E+007, -7.62988636718E+001, +0.00000000000E+000
+5.00000000000E+007, -8.03720150757E+001, +0.00000000000E+000
+5.10000000000E+007, -8.42062248329E+001, +0.00000000000E+000
+5.20000000000E+007, -8.81797703825E+001, +0.00000000000E+000
+5.30000000000E+007, -9.20295327781E+001, +0.00000000000E+000
+5.40000000000E+007, -9.59317284913E+001, +0.00000000000E+000
+5.50000000000E+007, -9.97407953587E+001, +0.00000000000E+000
+5.60000000000E+007, -1.03596488280E+002, +0.00000000000E+000
+5.70000000000E+007, -1.07336754244E+002, +0.00000000000E+000
+5.80000000000E+007, -1.11196150564E+002, +0.00000000000E+000
+5.90000000000E+007, -1.14872844967E+002, +0.00000000000E+000
+6.00000000000E+007, -1.18641542602E+002, +0.00000000000E+000
+6.10000000000E+007, -1.22340898669E+002, +0.00000000000E+000
+6.20000000000E+007, -1.26041915370E+002, +0.00000000000E+000
+6.30000000000E+007, -1.29632941556E+002, +0.00000000000E+000
+6.40000000000E+007, -1.33301233328E+002, +0.00000000000E+000
+6.50000000000E+007, -1.36910524957E+002, +0.00000000000E+000
+6.60000000000E+007, -1.40577297411E+002, +0.00000000000E+000
+6.70000000000E+007, -1.44120372423E+002, +0.00000000000E+000
+6.80000000000E+007, -1.47689829431E+002, +0.00000000000E+000
+6.90000000000E+007, -1.51278206221E+002, +0.00000000000E+000
+7.00000000000E+007, -1.54853361122E+002, +0.00000000000E+000
+7.10000000000E+007, -1.58320984550E+002, +0.00000000000E+000
+7.20000000000E+007, -1.61863960498E+002, +0.00000000000E+000
+7.30000000000E+007, -1.65363653204E+002, +0.00000000000E+000
+7.40000000000E+007, -1.68753401633E+002, +0.00000000000E+000
+7.50000000000E+007, -1.72253241328E+002, +0.00000000000E+000
+7.60000000000E+007, -1.75772178682E+002, +0.00000000000E+000
+7.70000000000E+007, -1.79147463173E+002, +0.00000000000E+000
+7.80000000000E+007, +1.77440585425E+002, +0.00000000000E+000
+7.90000000000E+007, +1.74044483703E+002, +0.00000000000E+000
+8.00000000000E+007, +1.70619807881E+002, +0.00000000000E+000
+8.10000000000E+007, +1.67273495395E+002, +0.00000000000E+000
+8.20000000000E+007, +1.63899124731E+002, +0.00000000000E+000
+8.30000000000E+007, +1.60535332401E+002, +0.00000000000E+000
+8.40000000000E+007, +1.57164188438E+002, +0.00000000000E+000
