,0,1,2,3,5,6,7,9,10,22,23
0,(3.087257115060947-0.8161765678369253j),(0.0064385733224912416+0.0011382544425990043j),(2.8829578698868623+0.41318089932987623j),(3.9533677280031645+1.7832240763458673j),(0.17313018560784232-0.11395238613042538j),(0.0934486327658292-0.09388635889602145j),(0.06144541550869579-0.15044331134663474j),(0.08681249566099558-0.0663158497302155j),(0.04762570553741604-0.08884862841894799j),(0.12655452738162543-0.056530277606371894j),(0.11801006626947962-0.04129610489406824j)
1,(3.505982960880646-0.9356613282986543j),(0.01192604070075009+0.005600882860714968j),(3.898318188741458+0.43507974642531555j),(5.374034406693461+1.3512397399663079j),(0.27279846561990834-0.10492301447578042j),(0.10562358498001674-0.16480239981712397j),(0.10867798676882602-0.2346779641380116j),(0.08782431197000143-0.09883555299419704j),(0.05165877543455497-0.1059506918725361j),(0.13435287896770667-0.10144225534157979j),(0.1205568944218496-0.1381309032512144j)
2,(3.442068079012791-2.1054168953407064j),(0.014423800520745593+0.0036185706190310944j),(3.9957171318110722+0.0692298736990522j),(5.643098020617929-0.29940913899422084j),(0.24312138796658497-0.22581317604982337j),(0.0800542611676685-0.24226419704459767j),(0.07497325771590968-0.3061484513211309j),(0.08152957951357921-0.14639743658112203j),(0.03901565255613961-0.13762852538804624j),(0.1360766456640431-0.15081521230079845j),(0.14818587707595068-0.19888856089180978j)
3,(4.483941180219944-3.2931286751480777j),(0.016671845805735434+0.012959298162858167j),(4.749606142115709-1.5264130614218954j),(6.7009037352374-0.47219081889521997j),(0.3259871062402653-0.3554938821118256j),(0.1320727607455876-0.3181755732788101j),(0.06845204872476923-0.47142807837499484j),(0.08640831338978984-0.20376972729280488j),(0.033916707268304216-0.2089419143438347j),(0.21273819542145372-0.23612118192555884j),(0.17856131665909247-0.2931061775595511j)
4,(5.5016578381848165-4.085337546648573j),(0.021314777519331814+0.006679909383933015j),(4.990522325557098-2.2918079370761903j),(7.857186799589006-2.1927469877833685j),(0.3136872131995095-0.5307554505564283j),(0.09276666693976046-0.4443514652549216j),(-0.03336636657297165-0.6218499618320654j),(0.11027653821536595-0.2603552870406432j),(0.021547010976352428-0.29517958559288426j),(0.1948632750737139-0.38018575260695037j),(0.14109232514496786-0.47546894680384466j)
5,(4.19810044450389-6.299687391960087j),(0.030444241064010443+0.0017740295455008284j),(5.258555447436601-3.4980966762807837j),(9.813159089013027-2.9088765086580843j),(0.36764196912718716-0.6714283455019041j),(-0.024703286338819394-0.638101718948731j),(-0.11953696674403852-0.7718847377346855j),(0.04982174577810319-0.3896305922159079j),(-0.08432640507462506-0.40290618935596745j),(0.17366205486858916-0.4993060006586548j),(0.1180231882874519-0.6400090111272717j)
6,(4.713313486847343-8.877809670780408j),(0.03961653484119567-0.00949735228684963j),(6.687000083528817-5.523793309531522j),(10.948069720795223-6.115196907538835j),(0.3895380882003132-1.1322492951956469j),(-0.18613048620645656-0.8740379826447523j),(-0.5135558576925094-1.0829341433651325j),(0.006568922935522709-0.5882878805528606j),(-0.16014939122203672-0.5749747878081762j),(0.15535423729953296-0.7603458385115055j),(0.06229362688978208-0.8850721564990767j)
7,(3.5503593516365837-9.686939536363642j),(0.03815678509466183-0.0029447037717400155j),(6.801495655781565-5.868474911239364j),(10.204482738020863-7.223456526339192j),(0.3024128963814645-1.3802274406152395j),(-0.333982283538772-1.0106670436083312j),(-0.8007988585180185-1.2101669635724328j),(-0.12161147249544013-0.6943469640259814j),(-0.2657621600657199-0.607398865916173j),(0.09773627128200085-0.9558692278085839j),(-0.06038567062713971-1.0699846179253367j)
8,(3.94093430343173-12.42154610933126j),(0.04468712349060771-0.0063899519968643945j),(6.275058491455461-8.390506685976408j),(11.720473518957506-9.737735344373032j),(0.10755240514226447-1.871716244132351j),(-0.5919228378274557-1.2935576520206955j),(-1.0029318294319836-1.6606647860134656j),(-0.20143466340141422-0.8902639020636417j),(-0.4632157086604756-0.781658480821507j),(0.010289897798570837-1.304720029637109j),(-0.25940844170728594-1.5499571921125466j)
9,(2.3935600276573874-15.909089104111578j),(0.05292150617653249-0.02318964773587534j),(6.402796598196701-11.407267943403806j),(13.01670036533752-13.634103595786195j),(-0.11089309853552559-2.5638770687650547j),(-1.1374566433333384-1.6909478276001377j),(-1.716182684477928-1.8928233991223742j),(-0.4659255514142952-1.2483213866134204j),(-0.755372517697993-0.9413697109113743j),(-0.36029945021120535-1.766938821902149j),(-0.6688408693676129-1.891608344234231j)
10,(0.5087897757831348-16.60311530347229j),(0.04887737767463678-0.029352093848307136j),(5.439983660309096-12.755835236136157j),(13.004088903307458-16.222371629439678j),(-0.44991284413266985-3.1085136444276666j),(-1.5728823515838661-1.8165170604093155j),(-2.3664548791346784-1.9989798404102734j),(-0.6841417313696448-1.4728027508376142j),(-1.0625858866719042-1.10828064190569j),(-0.4686647472353559-2.2287306835419742j),(-1.011372390362565-2.1010326426615986j)
11,(-1.6236053696805062-20.757767857589236j),(0.07742886093717292-0.04466338166459097j),(4.5714122803007955-15.861922649779443j),(11.009992057677797-21.789419574719908j),(-1.2171208004241694-4.433288138949197j),(-2.581473083728341-2.321397479264422j),(-3.505790903759702-2.1828465999980735j),(-1.3229791859391244-1.851835397364073j),(-1.646307185182177-1.3055195455296393j),(-1.1747573261986388-2.7861119243803083j),(-1.8239717850606494-2.8970921287787204j)
12,(-6.624547067410899-21.743332757358978j),(0.06995054301898249-0.05731882708588954j),(2.3329473077736065-19.26704668189373j),(11.561688660108636-26.693690671655606j),(-2.491683459294331-5.158938688027703j),(-3.7318215579757457-2.4305877575498402j),(-5.2330857846744525-2.1657249834043673j),(-2.084345377175669-2.140623108498471j),(-2.448879506263161-1.337628113461228j),(-2.078809780294944-3.633618914666359j),(-2.9761680902187213-3.6155761485311455j)
13,(-10.460656246518063-23.36155136076725j),(0.06868005466677654-0.08284313927602491j),(-0.39335239437729896-21.59563281072237j),(6.865951019729456-30.577592914047635j),(-4.510865922138279-6.2073690441276j),(-5.303978565114919-2.245345454843887j),(-7.004022606553152-1.4339769945337038j),(-2.8955882256803585-2.2817861132528066j),(-3.346273730865524-1.1864764640670404j),(-3.3653416855197014-3.990191469742745j),(-4.460868538998244-3.6210254460065396j)
14,(-16.368682614739683-25.94561573316701j),(0.06957070804968339-0.10344541842160405j),(-4.413491014382748-24.496846835801442j),(3.9644319559466545-36.973947330350576j),(-6.597232218486778-7.551984754215741j),(-7.356727793577805-1.931175914294509j),(-9.6336705649118-0.6849082910386115j),(-4.3129672914256085-2.3097681255771993j),(-4.546815829538329-0.8815512375701171j),(-5.008540583711214-4.71631794878423j),(-6.412501744242936-3.9068096109376644j)
