# V_in, V_out
1.219999999999999929e+01,-2.799999999999999822e+00
1.440000000000000036e+01,-4.400000000000000355e+00
1.789999999999999858e+01,-6.000000000000000000e+00
2.039999999999999858e+01,-8.000000000000000000e+00
2.280000000000000071e+01,-9.599999999999999645e+00
2.539999999999999858e+01,-1.240000000000000036e+01
2.800000000000000000e+01,-1.469999999999999929e+01
3.030000000000000071e+01,1.789999999999999858e+01
3.300000000000000000e+01,-2.100000000000000000e+01
3.560000000000000142e+01,-2.469999999999999929e+01
3.800000000000000000e+01,-2.839999999999999858e+01
4.000000000000000000e+01,-3.275999999999999801e+01
4.229999999999999716e+01,-3.689999999999999858e+01
4.489999999999999858e+01,-4.150000000000000000e+01
4.729999999999999716e+01,-4.670000000000000284e+01
5.000000000000000000e+01,-5.160000000000000142e+01
