Auger data			
eV	[m^-2 s^-1 sr^-1]	[m^-2 s^-1 sr^-1]	[m^-2 s^-1 sr^-1]
Log E	E*J	Err up	Err low
16.55	2.22E-09	2.19E-11	2.17E-11
16.65	1.44E-09	1.48E-11	1.46E-11
16.75	9.52E-10	1.06E-11	1.05E-11
16.85	6.06E-10	7.30E-12	7.21E-12
16.95	3.91E-10	5.19E-12	5.12E-12
17.05	2.52E-10	5.23E-13	5.23E-13
17.15	1.59E-10	4.18E-13	4.18E-13
17.25	9.69E-11	3.28E-13	3.28E-13
17.35	5.82E-11	2.55E-13	2.55E-13
17.45	3.47E-11	1.98E-13	1.98E-13
17.55	2.05E-11	1.53E-13	1.53E-13
17.65	1.21E-11	1.18E-13	1.18E-13
17.75	7.03E-12	9.00E-14	9.00E-14
17.85	4.13E-12	6.93E-14	6.93E-14
17.95	2.43E-12	5.34E-14	5.34E-14
18.05	1.39E-12	3.13E-14	3.13E-14
18.15	8.29E-13	2.08E-14	2.08E-14
18.25	5.10E-13	1.35E-14	1.35E-14
18.35	2.89E-13	8.16E-15	8.16E-15
18.45	1.73E-13	5.92E-16	5.92E-16
18.55	1.02E-13	4.61E-16	4.61E-16
18.65	6.12E-14	3.15E-16	3.15E-16
18.75	3.90E-14	2.54E-16	2.54E-16
18.85	2.73E-14	2.14E-16	2.14E-16
18.95	1.93E-14	1.81E-16	1.81E-16
19.05	1.34E-14	1.51E-16	1.51E-16
19.15	9.23E-15	1.25E-16	1.25E-16
19.25	5.83E-15	9.98E-17	9.98E-17
19.35	3.76E-15	8.03E-17	8.03E-17
19.45	2.30E-15	6.31E-17	6.31E-17
19.55	1.46E-15	5.06E-17	5.06E-17
19.65	8.24E-16	3.85E-17	3.85E-17
19.75	3.60E-16	2.56E-17	2.56E-17
19.85	1.62E-16	1.72E-17	1.72E-17
19.95	3.69E-17	8.86E-18	8.86E-18
20.05	1.63E-17	6.29E-18	6.29E-18
20.15	1.31E-17	7.79E-18	5.18E-18
